playername,playerid,vsname,vsid,date,Play
A_Adams,7411,Y Sanchez,1160,2016-05-23,Carlos Sanchez flied out to center (Fly).
A_Adams,7411,K Suzuki,8259,2016-08-01,Kurt Suzuki flied out to shortstop (Fly).
A_Adams,7411,R Fuentes,1032,2016-06-02,Reymond Fuentes out on a dropped third strike.
A_Adams,7411,D Santana,1032,2016-08-01,Danny Santana grounded out to shortstop (Grounder).
A_Adams,7411,M Trumbo,6876,2016-05-29,Mark Trumbo grounded out to shortstop (Grounder).
A_Adams,7411,J Rollins,971&,2016-05-23,Jimmy Rollins struck out swinging.
A_Adams,7411,D Murphy,4316,2016-07-26,Daniel Murphy fouled out to third (Fly).
A_Adams,7411,K Suzuki,8259,2016-08-02,Kurt Suzuki flied out to right (Fly).
A_Adams,7411,M Sano,1216,2016-08-02,Miguel Sano struck out swinging.
A_Adams,7411,D Butera,3411,2016-06-02,Drew Butera struck out looking.
A_Adams,7411,A Avila,7476,2016-09-24,Alex Avila struck out swinging.
A_Adams,7411,B Swihart,1317,2016-05-22,Blake Swihart struck out looking.
A_Adams,7411,E Rosario,1215,2016-07-17,Eddie Rosario flied out to center (Fliner (Liner)).
A_Adams,7411,C Joseph,7087,2016-07-22,Caleb Joseph grounded into a double play to second (Grounder). J.J. Hardy out at second.
A_Adams,7411,D Pedroia,8370,2016-05-22,Dustin Pedroia grounded out to third (Grounder).
A_Adams,7411,X Bogaerts,1216,2016-05-22,Xander Bogaerts grounded out to shortstop (Grounder).
A_Adams,7411,W Merrifield,1128,2016-06-05,Whit Merrifield struck out swinging.
A_Adams,7411,E Aybar,4082,2016-09-18,Erick Aybar grounded out to second (Grounder). Justin Upton advanced to 2B.
A_Adams,7411,P Janish,7412,2016-05-28,Paul Janish struck out looking.
A_Adams,7411,J Borbon,3209,2016-07-22,Julio Borbon flied out to center (Fliner (Liner)).
A_Adams,7411,M Cabrera,4022,2016-09-12,Melky Cabrera struck out swinging.
A_Adams,7411,M Moreland,3086,2016-05-30,Mitch Moreland flied out to left (Fliner (Liner)).
A_Adams,7411,Y Alonso,2530,2016-07-31,Yonder Alonso flied out to left (Fly).
A_Adams,7411,T Cruz,2802,2016-06-05,Tony Cruz struck out swinging.
A_Adams,7411,O Narvaez,1333,2016-09-12,Omar Narvaez flied out to center (Fliner (Fly)).
A_Adams,7411,D Machado,1147,2016-09-27,Dixon Machado grounded out to shortstop (Grounder).
A_Adams,7411,A Romine,1159,2016-09-27,Andrew Romine homered (Fliner (Fly)). Tyler Collins scored.
A_Adams,7411,S Moya,1185,2016-09-27,Steven Moya singled to right (Liner).
A_Adams,7411,N Castellanos,1173,2016-09-27,Nick Castellanos hit a ground rule double (Grounder).
A_Adams,7411,T Collins,1272,2016-09-27,Tyler Collins tripled to center (Fliner (Liner)). Nick Castellanos scored.
A_Adams,7411,J Dyson,4866,2016-07-20,Jarrod Dyson singled to center (Grounder).
A_Adams,7411,A Gordon,5209,2016-07-20,Alex Gordon doubled to right (Fliner (Fly)). Cheslor Cuthbert scored.
A_Adams,7411,A Escobar,6310,2016-06-05,Alcides Escobar doubled to left (Grounder).
A_Adams,7411,J Hardy,3797,2016-07-22,J.J. Hardy singled to left (Fliner (Liner)).
A_Adams,7411,T Frazier,785&,2016-09-12,Todd Frazier homered (Fly). J.B. Shuck scored.
A_Adams,7411,B Lawrie,5247,2016-05-23,Brett Lawrie was intentionally walked.
A_Adams,7411,J Shuck,6677,2016-09-24,J.B. Shuck advanced on error to 2B. Error by Austin Adams.
A_Adams,7411,M Kepler,1214,2016-08-02,Max Kepler walked.
A_Adams,7411,M Wieters,4298,2016-05-29,Matt Wieters singled to right (Liner).
A_Adams,7411,Y Sanchez,1160,2016-09-24,Carlos Sanchez singled to right (Liner). Todd Frazier scored. Avisail Garcia advanced to 3B.
A_Adams,7411,E Rosario,1215,2016-08-01,Eddie Rosario walked. Eduardo Escobar advanced to 2B.
A_Adams,7411,A Jackson,9848,2016-05-23,Austin Jackson walked. Jose Abreu scored. Brett Lawrie advanced to 3B. Dioner Navarro advanced to 2B.
A_Adams,7411,N Mazara,1455,2016-05-30,Nomar Mazara homered (Fly). Prince Fielder scored. Adrian Beltre scored.
A_Adams,7411,E Escobar,6153,2016-08-01,Eduardo Escobar singled to right (Liner). Kennys Vargas advanced to 3B.
A_Adams,7411,C Cuthbert,1047,2016-06-02,Cheslor Cuthbert homered (Fliner (Fly)).
