playername,playerid,vsname,vsid,date,Play
A_Almora,1410,S Solis,1145,2016-06-14,Albert Almora doubled to left (Liner). Addison Russell scored.
A_Almora,1410,J Niese,4424,2016-07-10,Albert Almora homered (Fliner (Fly)). Javier Baez scored.
A_Almora,1410,Y Petit,4020,2016-06-15,Albert Almora advanced on a wild pitch to 2B.
A_Almora,1410,D Phelps,6316,2016-06-23,Albert Almora singled to second (Fly). Addison Russell advanced to 2B.
A_Almora,1410,C Kuhl,1497,2016-09-26,Albert Almora singled to third (Bunt Grounder). Jason Heyward advanced to 3B. Addison Russell advanced to 2B.
A_Almora,1410,B Norris,9492,2016-06-10,Albert Almora doubled to left (Fliner (Liner)).
A_Almora,1410,R Iglesias,1713,2016-10-02,Albert Almora walked.
A_Almora,1410,Z Davies,1318,2016-09-17,Albert Almora singled to center (Liner). Willson Contreras advanced to 2B.
A_Almora,1410,C Hamels,4972,2016-07-17,Albert Almora reached on error to third (Grounder). Error by Adrian Beltre.
A_Almora,1410,M Perez,6902,2016-07-15,Albert Almora reached on error to third (Grounder). Error by Adrian Beltre.
A_Almora,1410,C Reed,1523,2016-06-29,Albert Almora homered (Fly).
A_Almora,1410,E Goeddel,1171,2016-07-18,Albert Almora singled to left (Liner). Matt Szczur scored. Albert Almora advanced to 3B on error. Error by Yoenis Cespedes.
A_Almora,1410,J Nicasio,7731,2016-09-27,Albert Almora tripled to left (Fliner (Fly)).
A_Almora,1410,S Maness,1223,2016-06-22,Albert Almora walked.
A_Almora,1410,F Liriano,3201,2016-06-17,Albert Almora advanced on a wild pitch to 2B.
A_Almora,1410,A Caminero,8992,2016-06-17,Albert Almora singled to shortstop (Grounder). Dexter Fowler scored. Matt Szczur advanced to 3B. Anthony Rizzo out at third. Albert Almora
A_Almora,1410,S Brault,1529,2016-09-26,Albert Almora doubled to right (Fliner (Liner)). Jason Heyward scored. Addison Russell advanced to 3B.
A_Almora,1410,J deGrom,1095,2016-07-01,Albert Almora singled to center (Grounder).
A_Almora,1410,A Reed,1058,2016-07-20,Albert Almora singled to right (Liner).
A_Almora,1410,C Withrow,7161,2016-06-12,Albert Almora singled to center (Grounder). Anthony Rizzo scored. Ben Zobrist advanced to 2B.
A_Almora,1410,A Bastardo,8844,2016-07-03,Albert Almora singled to center (Fliner (Liner)).
A_Almora,1410,T Cingrani,1255,2016-09-21,Albert Almora flied out to left (Fly).
A_Almora,1410,J Rondon,5791,2016-06-19,Albert Almora grounded out to third (Grounder).
A_Almora,1410,B Wood,1345,2016-07-04,Albert Almora grounded out to second (Grounder).
A_Almora,1410,B Boyer,2237,2016-09-06,Albert Almora flied out to right (Fly).
A_Almora,1410,M Feliz,1190,2016-09-11,Albert Almora struck out swinging.
A_Almora,1410,J Leclerc,1452,2016-07-15,Albert Almora grounded into a double play to third (Grounder). Jason Heyward advanced to 3B. Javier Baez out at second.
A_Almora,1410,J Smith,1094,2016-07-04,Albert Almora struck out swinging.
A_Almora,1410,R Ohlendorf,8268,2016-09-21,Albert Almora flied out to center (Fly).
A_Almora,1410,C Reed,1523,2016-07-04,Albert Almora grounded out to second (Grounder).
A_Almora,1410,M Wacha,1407,2016-06-22,Albert Almora flied out to center (Fliner (Fly)).
A_Almora,1410,C Reed,1523,2016-06-29,Albert Almora struck out swinging.
A_Almora,1410,J Barnes,1232,2016-09-17,Albert Almora struck out swinging.
A_Almora,1410,E Goeddel,1171,2016-06-30,Albert Almora reached on fielder's choice to shortstop (Grounder). Addison Russell out at second.
A_Almora,1410,J Hughes,9325,2016-06-18,Albert Almora grounded out to shortstop (Grounder).
A_Almora,1410,B Oberholtzer,3855,2016-06-08,Albert Almora grounded out to third (Grounder).
A_Almora,1410,B Norris,9492,2016-06-10,Albert Almora grounded out to second (Grounder).
A_Almora,1410,S Kelley,7773,2016-06-15,Albert Almora grounded out to shortstop (Grounder).
A_Almora,1410,M Melancon,4264,2016-06-18,Albert Almora grounded out to second (Grounder).
A_Almora,1410,M Perez,6902,2016-07-15,Albert Almora flied out to center (Fly).
A_Almora,1410,I Nova,1994,2016-09-29,Albert Almora grounded out to third (Grounder).
A_Almora,1410,F Liriano,3201,2016-06-17,Albert Almora struck out swinging.
A_Almora,1410,T Koehler,6570,2016-06-24,Albert Almora flied out to right (Fliner (Fly)).
A_Almora,1410,S Kelley,7773,2016-06-13,Albert Almora struck out swinging.
A_Almora,1410,W Chen,1307,2016-06-23,Albert Almora grounded out to second (Grounder).
A_Almora,1410,J Garcia,8137,2016-06-20,Albert Almora grounded out to third (Grounder).
A_Almora,1410,J Johnson,3656,2016-06-10,Albert Almora struck out swinging.
A_Almora,1410,T Koehler,6570,2016-06-24,Albert Almora struck out swinging.
A_Almora,1410,J Niese,4424,2016-06-18,Albert Almora grounded out to first (Grounder).
A_Almora,1410,L Harrell,7541,2016-07-07,Albert Almora grounded out to shortstop (Grounder).
A_Almora,1410,S Matz,1336,2016-07-18,Albert Almora flied out to left (Fly).
A_Almora,1410,J Garcia,8137,2016-06-20,Albert Almora struck out swinging.
A_Almora,1410,J Niese,4424,2016-06-18,Albert Almora flied out to right (Fliner (Fly)).
A_Almora,1410,J Eickhoff,1266,2016-06-07,Albert Almora grounded out to third (Grounder).
A_Almora,1410,J Garcia,8137,2016-06-20,Albert Almora flied out to right (Fliner (Fly)).
A_Almora,1410,T Watson,3132,2016-07-08,Albert Almora grounded into a double play to shortstop (Grounder). Javier Baez out at second.
A_Almora,1410,T Watson,3132,2016-07-10,Albert Almora struck out swinging.
A_Almora,1410,W Chen,1307,2016-06-23,Albert Almora flied out to center (Fly).
A_Almora,1410,S Strasburg,1013,2016-06-15,Albert Almora flied out to center (Fly). Miguel Montero out at second.
A_Almora,1410,A Wainwright,2233,2016-06-21,Albert Almora grounded into a double play to second (Grounder). Willson Contreras scored. Addison Russell out at second.
A_Almora,1410,C Torres,7624,2016-09-16,Albert Almora flied out to left (Fliner (Liner)).
