playername,playerid,vsname,vsid,date,Play
A_Bregman,1767,F Hernandez,4772,2016-09-27,Alex Bregman singled to left (Fliner (Liner)). Yulieski Gurriel scored. Tony Kemp advanced to 2B.
A_Bregman,1767,J Manship,6865,2016-09-05,Alex Bregman homered (Fliner (Fly)). George Springer scored.
A_Bregman,1767,F Liriano,3201,2016-08-12,Alex Bregman doubled to center (Fly). George Springer advanced to 3B.
A_Bregman,1767,T Bauer,1270,2016-09-08,Alex Bregman doubled to center (Fliner (Fly)). George Springer scored.
A_Bregman,1767,B Snell,1354,2016-08-27,Alex Bregman homered (Fliner (Fly)). George Springer scored.
A_Bregman,1767,J Happ,7410,2016-08-04,Alex Bregman singled to left (Fliner (Liner)). George Springer advanced to 2B.
A_Bregman,1767,C Kluber,2429,2016-09-06,Alex Bregman tripled to right (Fliner (Fly)). George Springer scored.
A_Bregman,1767,K Graveman,1551,2016-08-30,Alex Bregman singled to left (Liner). George Springer scored.
A_Bregman,1767,G Cole,1312,2016-08-24,Alex Bregman doubled to shortstop (Grounder). George Springer advanced to 3B.
A_Bregman,1767,F Liriano,3201,2016-08-12,Alex Bregman singled to center (Liner). Teoscar Hernandez advanced to 3B. George Springer advanced to 2B.
A_Bregman,1767,J Garcia,8137,2016-08-16,Alex Bregman singled to shortstop (Grounder). Jake Marisnick advanced to 3B. George Springer advanced to 2B.
A_Bregman,1767,H Santiago,4026,2016-08-09,Alex Bregman walked.
A_Bregman,1767,D Betances,6216,2016-07-26,Alex Bregman walked. Carlos Correa advanced to 3B. Evan Gattis advanced to 2B.
A_Bregman,1767,R Osuna,1376,2016-08-04,Alex Bregman walked.
A_Bregman,1767,J Lester,4930,2016-09-09,Alex Bregman singled to left (Grounder).
A_Bregman,1767,L Harrell,7541,2016-08-06,Alex Bregman doubled to left (Fliner (Fly)).
A_Bregman,1767,H Santiago,4026,2016-08-09,Alex Bregman doubled to left (Liner).
A_Bregman,1767,N Feliz,18&p,2016-08-22,Alex Bregman homered (Fly).
A_Bregman,1767,M Tanaka,1576,2016-07-27,Alex Bregman walked. Preston Tucker advanced to 2B.
A_Bregman,1767,D Holland,4141,2016-09-14,Alex Bregman doubled to left (Liner).
A_Bregman,1767,C Tillman,5279,2016-08-20,Alex Bregman singled to center (Grounder). Jason Castro advanced to 3B. George Springer advanced to 2B.
A_Bregman,1767,J Lester,4930,2016-09-09,Alex Bregman advanced on a stolen base to 2B.
A_Bregman,1767,Y Darvish,1307,2016-09-04,Alex Bregman singled to second (Grounder).
A_Bregman,1767,C Martinez,1168,2016-08-17,Alex Bregman singled to center (Liner). Teoscar Hernandez scored.
A_Bregman,1767,A Sanchez,1149,2016-08-13,Alex Bregman singled to right (Fliner (Liner)).
A_Bregman,1767,C Carrasco,6632,2016-09-07,Alex Bregman singled to center (Fliner (Liner)).
A_Bregman,1767,Y Darvish,1307,2016-09-04,Alex Bregman advanced on a stolen base to 2B.
A_Bregman,1767,Y Gallardo,8173,2016-08-21,Alex Bregman walked.
A_Bregman,1767,R Detwiler,2859,2016-08-31,Alex Bregman advanced on a wild pitch to 2B.
A_Bregman,1767,L Harrell,7541,2016-08-06,Alex Bregman singled to center (Liner).
A_Bregman,1767,J Arrieta,4153,2016-09-11,Alex Bregman doubled to left (Fliner (Liner)). George Springer scored.
A_Bregman,1767,P Garner,1088,2016-09-08,Alex Bregman advanced on a wild pitch to score.
A_Bregman,1767,T Barnette,3555,2016-09-04,Alex Bregman advanced on a wild pitch to 2B.
