playername,playerid,vsname,vsid,date,Play
A_Caminero,8992,N Arenado,9777,2016-04-26,Nolan Arenado grounded into a double play to shortstop (Grounder). Cristhian Adames out at second.
A_Caminero,8992,J Heyward,4940,2016-07-09,Jason Heyward flied out to third (Fly).
A_Caminero,8992,T Barnhart,1020,2016-05-01,Tucker Barnhart struck out swinging.
A_Caminero,8992,J Gyorko,1081,2016-07-04,Jedd Gyorko struck out swinging.
A_Caminero,8992,M Semien,1253,2016-08-13,Marcus Semien flied out to center (Fly).
A_Caminero,8992,P Corbin,9323,2016-04-24,Patrick Corbin struck out swinging.
A_Caminero,8992,C Gonzalez,7287,2016-04-26,Carlos Gonzalez flied out to center (Fliner (Fly)).
A_Caminero,8992,A Russell,1410,2016-07-09,Addison Russell grounded out to pitcher (Grounder).
A_Caminero,8992,C McGehee,6086,2016-08-09,Casey McGehee grounded out to shortstop (Grounder).
A_Caminero,8992,W Contreras,1160,2016-07-10,Willson Contreras flied out to left (Fly).
A_Caminero,8992,J Iglesias,1023,2016-08-10,Jose Iglesias grounded out to shortstop (Grounder).
A_Caminero,8992,R Braun,3410,2016-08-19,Ryan Braun grounded out to pitcher (Grounder).
A_Caminero,8992,J Martinez,6184,2016-08-09,J.D. Martinez flied out to center (Fly).
A_Caminero,8992,G Garcia,1095,2016-07-04,Greg Garcia grounded out to second (Grounder).
A_Caminero,8992,C Perez,1064,2016-08-17,Carlos Perez flied out to right (Fly).
A_Caminero,8992,I Kinsler,6195,2016-04-13,Ian Kinsler flied out to left (Fly).
A_Caminero,8992,B Moss,4467,2016-04-05,Brandon Moss grounded out to first (Grounder).
A_Caminero,8992,O Arcia,1318,2016-08-19,Orlando Arcia grounded out to shortstop (Grounder).
A_Caminero,8992,T Collins,1272,2016-08-09,Tyler Collins struck out swinging.
A_Caminero,8992,M Zunino,1326,2016-07-26,Mike Zunino grounded out to first (Grounder).
A_Caminero,8992,J Baez,1297,2016-07-09,Javier Baez struck out swinging.
A_Caminero,8992,R Healy,1544,2016-10-02,Ryon Healy struck out swinging.
A_Caminero,8992,C Herrmann,9284,2016-04-23,Chris Herrmann flied out to left (Fly).
A_Caminero,8992,A Amarista,9063,2016-04-19,Alexi Amarista was caught stealing.
A_Caminero,8992,S Schebler,1222,2016-04-09,Scott Schebler was caught stealing.
A_Caminero,8992,J Gyorko,1081,2016-04-05,Jedd Gyorko struck out looking.
A_Caminero,8992,Y Tomas,1717,2016-04-23,Yasmany Tomas struck out swinging.
A_Caminero,8992,Y Alonso,2530,2016-08-14,Yonder Alonso struck out swinging.
A_Caminero,8992,S Gennett,1033,2016-08-19,Scooter Gennett flied out to left (Fliner (Fly)).
A_Caminero,8992,J Wendle,1385,2016-10-02,Joey Wendle struck out looking.
A_Caminero,8992,S Gennett,1033,2016-08-21,Scooter Gennett struck out swinging.
A_Caminero,8992,I De Jesus,9886,2016-05-01,Ivan De Jesus grounded out to shortstop (Grounder). Scott Schebler advanced to 3B.
A_Caminero,8992,K Davis,9112,2016-08-14,Khris Davis struck out swinging.
A_Caminero,8992,P Bourjos,2578,2016-07-22,Peter Bourjos flied out to shortstop (Fly).
A_Caminero,8992,J Lucroy,7870,2016-04-17,Jonathan Lucroy grounded out to third (Grounder).
