playername,playerid,vsname,vsid,date,Play
A_Conley,1445,C Carter,9911,2016-04-29,Chris Carter grounded into a double play to third (Grounder). Ryan Braun out at second.
A_Conley,1445,F Galvis,6609,2016-05-16,Freddy Galvis grounded into a double play to third (Grounder). Tommy Joseph out at second.
A_Conley,1445,N Markakis,5930,2016-07-03,Nick Markakis reached on fielder's choice to third (Grounder). Freddie Freeman out at second.
A_Conley,1445,A Cabrera,4962,2016-04-13,Asdrubal Cabrera struck out swinging.
A_Conley,1445,J Peterson,1232,2016-07-03,Jace Peterson grounded into a double play to shortstop (Grounder). Matt Wisler out at second.
A_Conley,1445,D LeMahieu,9874,2016-08-07,DJ LeMahieu lined out to shortstop (Liner).
A_Conley,1445,W Flores,5827,2016-07-22,Wilmer Flores flied out to second (Fly).
A_Conley,1445,A Garcia,1377,2016-07-03,Adonis Garcia grounded out to shortstop (Grounder).
A_Conley,1445,A McCutchen,9847,2016-06-01,Andrew McCutchen grounded into a double play to second (Grounder). Jordy Mercer out at second.
A_Conley,1445,J Panik,1193,2016-04-24,Joe Panik grounded into a double play to shortstop (Grounder). Angel Pagan out at second.
A_Conley,1445,Z Davies,1318,2016-05-10,Zachary Davies struck out swinging.
A_Conley,1445,M Cabrera,1744,2016-06-28,Miguel Cabrera struck out swinging.
A_Conley,1445,K Bryant,1542,2016-08-01,Kris Bryant grounded into a double play to third (Grounder). Kyle Hendricks advanced to 3B. Dexter Fowler out at second.
A_Conley,1445,B Posey,9166,2016-04-24,Buster Posey flied out to right (Fly).
A_Conley,1445,D Dahl,1374,2016-08-07,David Dahl grounded out to second (Grounder).
A_Conley,1445,Y Cespedes,1311,2016-04-13,Yoenis Cespedes struck out swinging.
A_Conley,1445,T Goeddel,1318,2016-07-27,Tyler Goeddel struck out swinging.
A_Conley,1445,J Upton,5222,2016-06-28,Justin Upton struck out swinging.
A_Conley,1445,B Harper,1157,2016-04-19,Bryce Harper struck out swinging.
A_Conley,1445,J Gray,1491,2016-06-17,Jon Gray flied out to left (Fliner (Liner)).
A_Conley,1445,T Pham,2967,2016-07-17,Tommy Pham struck out swinging.
A_Conley,1445,T Plouffe,7462,2016-06-07,Trevor Plouffe struck out looking.
A_Conley,1445,Y Tomas,1717,2016-05-05,Yasmany Tomas struck out swinging.
A_Conley,1445,N Markakis,5930,2016-05-27,Nick Markakis struck out looking.
A_Conley,1445,M Franco,1217,2016-05-16,Maikel Franco struck out looking.
A_Conley,1445,P Bourjos,2578,2016-05-16,Peter Bourjos struck out swinging.
A_Conley,1445,C Ruiz,2579,2016-05-16,Carlos Ruiz flied out to right (Fliner (Fly)).
A_Conley,1445,F Freeman,5361,2016-05-27,Freddie Freeman struck out swinging.
A_Conley,1445,G Parra,8553,2016-08-07,Gerardo Parra grounded into a double play to second (Grounder). Nolan Arenado out at second.
A_Conley,1445,A Garcia,1377,2016-07-03,Adonis Garcia flied out to center (Fly).
A_Conley,1445,N Markakis,5930,2016-06-22,Nick Markakis grounded into a double play to shortstop (Grounder). Jeff Francoeur out at second.
