playername,playerid,vsname,vsid,date,Play
A_Jackson,9848,L Gregerson,4090,2016-05-17,Austin Jackson doubled to center (Fliner (Liner)).
A_Jackson,9848,K Gibson,1012,2016-04-11,Austin Jackson singled to center (Grounder). Brett Lawrie scored. Avisail Garcia scored. Dioner Navarro advanced to 2B.
A_Jackson,9848,M Tanaka,1576,2016-05-15,Austin Jackson singled to center (Fliner (Liner)). Tyler Saladino scored. Austin Jackson advanced to 2B.
A_Jackson,9848,E Volquez,3990,2016-05-29,Austin Jackson singled to center (Fliner (Liner)). Tyler Saladino scored.
A_Jackson,9848,U Jimenez,3374,2016-05-01,Austin Jackson doubled to center (Fliner (Liner)). Dioner Navarro advanced to 3B.
A_Jackson,9848,M Givens,1043,2016-04-30,Austin Jackson singled to right (Fliner (Liner)). Brett Lawrie scored.
A_Jackson,9848,C Hamels,4972,2016-05-11,Austin Jackson singled to center (Grounder). Dioner Navarro scored.
A_Jackson,9848,M Clevinger,1280,2016-05-23,Austin Jackson singled to right (Fliner (Fly)). Brett Lawrie scored.
A_Jackson,9848,G Richards,9784,2016-04-20,Austin Jackson reached on a sacrifice with error to pitcher (Bunt Grounder). Alex Avila scored on error. Austin Jackson advanced to 2B. Error by Garrett Richards.
A_Jackson,9848,B Shaw,8110,2016-04-09,Austin Jackson singled to left (Liner).
A_Jackson,9848,C Kluber,2429,2016-05-25,Austin Jackson singled to right (Grounder). Avisail Garcia advanced to 3B.
A_Jackson,9848,M Clevinger,1280,2016-05-23,Austin Jackson doubled to left (Liner).
A_Jackson,9848,S Gray,1276,2016-04-06,Austin Jackson hit a ground rule double (Fliner (Fly)).
A_Jackson,9848,J Ross,1297,2016-06-07,Austin Jackson walked. Adam Eaton advanced to 2B.
A_Jackson,9848,B Shaw,8110,2016-05-23,Austin Jackson tripled to center (Fliner (Fly)).
A_Jackson,9848,M Estrada,1118,2016-04-27,Austin Jackson walked.
A_Jackson,9848,J Diekman,5003,2016-05-09,Austin Jackson singled to center (Grounder).
A_Jackson,9848,S Wright,8185,2016-05-03,Austin Jackson walked.
A_Jackson,9848,R Pressly,7005,2016-05-07,Austin Jackson walked.
