playername,playerid,vsname,vsid,date,Play
A_Judge,1564,E Volquez,3990,2016-08-30,Aaron Judge homered (Fliner (Fly)). Brian McCann scored.
A_Judge,1564,J Odorizzi,6397,2016-08-14,Aaron Judge homered (Fliner (Fly)).
A_Judge,1564,R Nolasco,3830,2016-08-20,Aaron Judge singled to right (Grounder). Starlin Castro scored. Brian McCann scored.
A_Judge,1564,J De Leon,1546,2016-09-12,Aaron Judge homered (Fly).
A_Judge,1564,J Benoit,1437,2016-08-17,Aaron Judge singled to left (Liner). Chase Headley scored. Gary Sanchez advanced to 2B.
A_Judge,1564,J Urias,1476,2016-09-13,Aaron Judge walked. Brian McCann advanced to 3B. Chase Headley advanced to 2B.
A_Judge,1564,Y Gallardo,8173,2016-08-26,Aaron Judge walked. Chase Headley advanced to 2B.
A_Judge,1564,A Sanchez,1149,2016-09-06,Aaron Judge singled to center (Grounder).
A_Judge,1564,T Walker,1183,2016-08-23,Aaron Judge hit a sacrifice fly to center (Fly). Mark Teixeira scored.
A_Judge,1564,H Iwakuma,1304,2016-08-24,Aaron Judge was hit by a pitch.
A_Judge,1564,T Walker,1183,2016-08-23,Aaron Judge walked.
A_Judge,1564,A Cobb,6562,2016-09-08,Aaron Judge singled to left (Liner).
A_Judge,1564,J Marks,1026,2016-09-09,Aaron Judge walked. Tyler Austin advanced to 2B.
A_Judge,1564,M Wright,1258,2016-08-26,Aaron Judge doubled to left (Fly).
A_Judge,1564,B Oberholtzer,3855,2016-08-19,Aaron Judge flied out to right (Fliner (Fly)).
A_Judge,1564,V Worley,6435,2016-08-26,Aaron Judge flied out to right (Fliner (Fly)).
A_Judge,1564,B Oberholtzer,3855,2016-08-19,Aaron Judge reached on fielder's choice to shortstop (Grounder). Starlin Castro out at second.
A_Judge,1564,D Farquhar,8501,2016-08-13,Aaron Judge struck out looking.
A_Judge,1564,B Schultz,5028,2016-09-06,Aaron Judge struck out looking.
A_Judge,1564,M Estrada,1118,2016-08-16,Aaron Judge grounded out to shortstop (Grounder).
A_Judge,1564,M Morin,1344,2016-08-19,Aaron Judge struck out swinging.
A_Judge,1564,R Osuna,1376,2016-09-07,Aaron Judge flied out to left (Fly).
A_Judge,1564,J Marks,1026,2016-09-09,Aaron Judge struck out swinging.
A_Judge,1564,D Bundy,1291,2016-09-02,Aaron Judge struck out swinging.
A_Judge,1564,V Worley,6435,2016-08-26,Aaron Judge out on a dropped third strike.
A_Judge,1564,R Nolasco,3830,2016-08-20,Aaron Judge struck out swinging.
A_Judge,1564,B Flynn,1202,2016-08-30,Aaron Judge flied out to left (Fliner (Liner)).
A_Judge,1564,R Dickey,1245,2016-09-05,Aaron Judge struck out swinging.
A_Judge,1564,P Baez,5420,2016-09-12,Aaron Judge struck out swinging.
A_Judge,1564,C Martin,1218,2016-08-22,Aaron Judge struck out swinging.
A_Judge,1564,W Miley,8779,2016-09-04,Aaron Judge struck out swinging.
A_Judge,1564,A Colome,6661,2016-09-11,Aaron Judge flied out to center (Fly).
A_Judge,1564,E Ramirez,1031,2016-08-13,Aaron Judge flied out to second (Fly).
A_Judge,1564,K Gausman,1410,2016-09-03,Aaron Judge struck out swinging.
A_Judge,1564,J Weaver,4235,2016-08-19,Aaron Judge struck out swinging.
A_Judge,1564,A Cobb,6562,2016-09-08,Aaron Judge was caught stealing.
A_Judge,1564,J De Leon,1546,2016-09-12,Aaron Judge grounded out to shortstop (Grounder).
A_Judge,1564,P Moylan,4891,2016-08-30,Aaron Judge flied out to center (Fly).
A_Judge,1564,K Gausman,1410,2016-08-28,Aaron Judge struck out swinging.
A_Judge,1564,A Sanchez,1149,2016-09-06,Aaron Judge grounded out to second (Grounder).
A_Judge,1564,R Dickey,1245,2016-09-05,Aaron Judge struck out swinging.
A_Judge,1564,C Martin,1218,2016-08-22,Aaron Judge grounded out to shortstop (Grounder).
A_Judge,1564,A Sanchez,1149,2016-09-06,Aaron Judge struck out looking.
A_Judge,1564,C Whitley,1098,2016-09-11,Aaron Judge flied out to second (Fliner (Fly)).
A_Judge,1564,H Iwakuma,1304,2016-08-24,Aaron Judge grounded into a double play to shortstop (Grounder). Starlin Castro out at second.
A_Judge,1564,J Happ,7410,2016-08-17,Aaron Judge struck out swinging.
A_Judge,1564,R Dickey,1245,2016-08-15,Aaron Judge struck out swinging.
A_Judge,1564,C Young,3196,2016-08-31,Aaron Judge struck out looking.
