playername,playerid,vsname,vsid,date,Play
A_McCutchen,9847,C Torres,7624,2016-08-25,Andrew McCutchen singled to right (Grounder). John Jaso scored.
A_McCutchen,9847,C Torres,7624,2016-09-03,Andrew McCutchen homered (Fliner (Fly)).
A_McCutchen,9847,K Maeda,1849,2016-06-25,Andrew McCutchen homered (Fly). John Jaso scored. Starling Marte scored.
A_McCutchen,9847,C Bergman,1092,2016-04-26,Andrew McCutchen homered (Fliner (Fly)). Gregory Polanco scored. Jordy Mercer scored.
A_McCutchen,9847,K Maeda,1849,2016-06-25,Andrew McCutchen homered (Fly).
A_McCutchen,9847,M Wacha,1407,2016-04-05,Andrew McCutchen doubled to left (Fliner (Fly)). John Jaso scored.
A_McCutchen,9847,J Lester,4930,2016-07-09,Andrew McCutchen homered (Fliner (Fly)).
A_McCutchen,9847,J Paxton,1182,2016-07-27,Andrew McCutchen doubled to right (Fliner (Liner)). Jordy Mercer scored. David Freese advanced to 3B.
A_McCutchen,9847,B Finnegan,1620,2016-09-17,Andrew McCutchen singled to left (Fliner (Liner)). Trevor Williams scored. Jordy Mercer scored. David Freese advanced to 2B.
A_McCutchen,9847,J Lackey,1507,2016-07-10,Andrew McCutchen homered (Fly).
A_McCutchen,9847,A Ramos,8350,2016-05-31,Andrew McCutchen walked. Matt Joyce advanced to 3B. John Jaso advanced to 2B.
A_McCutchen,9847,J Eickhoff,1266,2016-09-15,Andrew McCutchen homered (Fliner (Fly)).
A_McCutchen,9847,S Bracho,1505,2016-04-22,Andrew McCutchen singled to left (Liner). David Freese scored. Jordy Mercer advanced to 2B.
A_McCutchen,9847,J Hammel,4538,2016-05-02,Andrew McCutchen homered (Fly).
A_McCutchen,9847,A Wainwright,2233,2016-05-07,Andrew McCutchen doubled to left (Fliner (Liner)). John Jaso advanced to 3B.
A_McCutchen,9847,W Peralta,7738,2016-08-25,Andrew McCutchen homered (Fly).
A_McCutchen,9847,C Rea,1231,2016-04-19,Starling Marte advanced on a stolen base to 3B. Andrew McCutchen scored.
A_McCutchen,9847,M Melancon,4264,2016-09-23,Andrew McCutchen singled to right (Fliner (Liner)).
A_McCutchen,9847,J Grimm,1172,2016-09-27,Andrew McCutchen singled to center (Fliner (Liner)). David Freese scored. Adam Frazier scored. Gregory Polanco advanced to 2B.
A_McCutchen,9847,T Cingrani,1255,2016-09-10,Andrew McCutchen walked.
A_McCutchen,9847,H Bailey,8362,2016-08-06,Andrew McCutchen singled to center (Liner). Starling Marte scored.
A_McCutchen,9847,S Kazmir,4897,2016-06-27,Andrew McCutchen doubled to center (Fliner (Liner)). Jordy Mercer advanced to 3B.
A_McCutchen,9847,W Peralta,7738,2016-08-25,Andrew McCutchen singled to center (Grounder). Starling Marte scored.
A_McCutchen,9847,J Musgrove,1297,2016-08-23,Andrew McCutchen doubled to center (Fliner (Liner)). Matt Joyce scored.
A_McCutchen,9847,R Ray,1148,2016-04-24,Andrew McCutchen singled to left (Grounder). Jordy Mercer advanced to 3B.
A_McCutchen,9847,A DeSclafani,1305,2016-09-17,Andrew McCutchen singled to right (Fliner (Liner)). Matt Joyce scored. Josh Bell scored.
A_McCutchen,9847,A Reed,1058,2016-06-08,Andrew McCutchen singled to center (Grounder).
A_McCutchen,9847,J Gray,1491,2016-04-27,Andrew McCutchen singled to right (Grounder). John Jaso advanced to 3B.
A_McCutchen,9847,R de la Rosa,3862,2016-05-25,Andrew McCutchen singled to left (Liner). John Jaso advanced to 2B.
A_McCutchen,9847,M Foltynewicz,1081,2016-05-19,Andrew McCutchen singled to right (Fliner (Liner)). John Jaso scored.
A_McCutchen,9847,D Law,1313,2016-08-16,Andrew McCutchen walked.
A_McCutchen,9847,P Strop,4070,2016-07-10,Andrew McCutchen hit a sacrifice fly to right (Fly). Josh Bell scored. Starling Marte advanced to 2B.
A_McCutchen,9847,J Thompson,1437,2016-09-14,Andrew McCutchen homered (Fly).
A_McCutchen,9847,C Martinez,1168,2016-09-30,Andrew McCutchen singled to center (Liner). Gregory Polanco advanced to 2B.
A_McCutchen,9847,D Straily,9460,2016-05-09,Andrew McCutchen singled to center (Grounder).
A_McCutchen,9847,J Grimm,1172,2016-08-31,Andrew McCutchen walked. Jordy Mercer scored. Matt Joyce advanced to 3B. Josh Harrison advanced to 2B.
A_McCutchen,9847,J Henderson,6653,2016-06-08,Andrew McCutchen walked.
A_McCutchen,9847,J Arrieta,4153,2016-05-03,Andrew McCutchen walked. John Jaso advanced to 2B.
A_McCutchen,9847,N Syndergaard,1176,2016-06-08,Andrew McCutchen walked. John Jaso advanced to 2B.
A_McCutchen,9847,M Lorenzen,1484,2016-08-07,Andrew McCutchen singled to left (Liner). Starling Marte advanced to 2B.
