playername,playerid,vsname,vsid,date,Play
A_Meyer,1283,J Donaldson,5038,2016-09-18,Josh Donaldson grounded into a double play to third (Grounder). Devon Travis out at second.
A_Meyer,1283,J Altuve,5417,2016-09-23,Jose Altuve grounded out to shortstop (Grounder).
A_Meyer,1283,Y Gurriel,1919,2016-09-23,Yulieski Gurriel flied out to shortstop (Fly).
A_Meyer,1283,R Healy,1544,2016-09-07,Ryon Healy fouled out to first (Fly).
A_Meyer,1283,K Davis,9112,2016-09-07,Khris Davis struck out looking.
A_Meyer,1283,J Smolinski,5408,2016-09-28,Jake Smolinski struck out swinging.
A_Meyer,1283,T Hernandez,1306,2016-09-23,Teoscar Hernandez struck out swinging.
A_Meyer,1283,K Pillar,1243,2016-09-18,Kevin Pillar struck out swinging.
A_Meyer,1283,M Gonzalez,5497,2016-09-23,Marwin Gonzalez flied out to center (Fly).
A_Meyer,1283,D Valencia,6364,2016-09-28,Danny Valencia struck out swinging.
A_Meyer,1283,R Martin,4616,2016-09-18,Russell Martin struck out swinging.
A_Meyer,1283,R Cano,3269,2016-09-13,Robinson Cano flied out to shortstop (Fly).
A_Meyer,1283,D Travis,1386,2016-09-18,Devon Travis grounded out to third (Grounder).
A_Meyer,1283,T Kemp,1489,2016-09-23,Tony Kemp flied out to center (Fly).
A_Meyer,1283,C Correa,1416,2016-09-23,Carlos Correa flied out to right (Fliner (Fly)).
A_Meyer,1283,T Tulowitzki,3531,2016-09-18,Troy Tulowitzki reached on fielder's choice to shortstop (Grounder). Jose Bautista out at second.
A_Meyer,1283,E Encarnacion,2151,2016-09-18,Edwin Encarnacion struck out swinging.
A_Meyer,1283,T White,1556,2016-05-03,Tyler White struck out looking.
A_Meyer,1283,C Rasmus,9893,2016-05-03,Colby Rasmus flied out to center (Fly).
A_Meyer,1283,R Martin,4616,2016-09-18,Russell Martin struck out looking.
A_Meyer,1283,J Bautista,1887,2016-09-18,Jose Bautista struck out swinging.
A_Meyer,1283,J Wendle,1385,2016-09-28,Joey Wendle grounded out to third (Grounder).
A_Meyer,1283,P Tucker,1363,2016-05-03,Preston Tucker struck out swinging.
A_Meyer,1283,M Zunino,1326,2016-09-13,Mike Zunino flied out to center (Fly).
A_Meyer,1283,S Vogt,5000,2016-09-28,Stephen Vogt flied out to center (Fly).
A_Meyer,1283,M Semien,1253,2016-09-28,Marcus Semien struck out swinging.
A_Meyer,1283,Y Alonso,2530,2016-09-07,Yonder Alonso struck out looking.
A_Meyer,1283,Y Gurriel,1919,2016-09-23,Yulieski Gurriel flied out to center (Fly).
A_Meyer,1283,N Aoki,1307,2016-09-13,Nori Aoki grounded out to second (Grounder).
A_Meyer,1283,T Kemp,1489,2016-09-23,Tony Kemp struck out swinging.
A_Meyer,1283,D Navarro,3179,2016-09-18,Dioner Navarro struck out swinging.
A_Meyer,1283,S Vogt,5000,2016-09-07,Stephen Vogt struck out swinging.
A_Meyer,1283,R Cano,3269,2016-09-13,Robinson Cano flied out to left (Fly).
A_Meyer,1283,L Martin,1184,2016-09-13,Leonys Martin grounded out to third (Grounder).
A_Meyer,1283,J Martinez,6184,2016-04-29,J.D. Martinez struck out swinging.
A_Meyer,1283,D Vogelbach,1413,2016-09-13,Dan Vogelbach struck out looking.
A_Meyer,1283,M Aviles,5986,2016-04-29,Mike Aviles flied out to center (Fliner (Liner)).
A_Meyer,1283,N Castellanos,1173,2016-04-29,Nick Castellanos singled to left (Grounder). Victor Martinez scored. Justin Upton advanced to 3B.
A_Meyer,1283,V Martinez,393&,2016-04-29,Victor Martinez doubled to left (Grounder).
A_Meyer,1283,B Wilson,6564,2016-04-29,Bobby Wilson singled to right (Fliner (Liner)). Mike Aviles advanced to 2B.
A_Meyer,1283,K Marte,1361,2016-09-13,Ketel Marte doubled to center (Fliner (Fly)).
A_Meyer,1283,N Cruz,2434,2016-09-13,Nelson Cruz walked.
A_Meyer,1283,R Healy,1544,2016-09-07,Ryon Healy walked.
A_Meyer,1283,M Gonzalez,5497,2016-09-23,Marwin Gonzalez hit a sacrifice fly to left (Fly). Carlos Correa scored.
A_Meyer,1283,L Martin,1184,2016-09-13,Leonys Martin advanced on a stolen base to 2B.
A_Meyer,1283,K Marte,1361,2016-09-13,Ketel Marte hit a sacrifice fly to center (Fliner (Fly)). Leonys Martin scored.
A_Meyer,1283,R Healy,1544,2016-09-28,Ryon Healy advanced on a passed ball to 3B. Passed ball by Jett Bandy.
A_Meyer,1283,L Martin,1184,2016-09-13,Leonys Martin singled to center (Grounder).
A_Meyer,1283,J Altuve,5417,2016-05-03,Jose Altuve advanced on a stolen base to 2B.
A_Meyer,1283,R Healy,1544,2016-09-28,Ryon Healy doubled to right (Fly).
A_Meyer,1283,M Saunders,9981,2016-09-18,Michael Saunders walked.
A_Meyer,1283,D Travis,1386,2016-09-18,Devon Travis walked.
A_Meyer,1283,G Springer,1285,2016-05-03,George Springer walked.
A_Meyer,1283,S Vogt,5000,2016-09-28,Stephen Vogt doubled to right (Liner).
A_Meyer,1283,J Castro,8722,2016-09-23,Jason Castro singled to left (Fliner (Liner)).
A_Meyer,1283,G Springer,1285,2016-05-03,Carlos Correa advanced on a wild pitch to 3B. George Springer scored.
