playername,playerid,vsname,vsid,date,Play
A_Miller,6785,C Gomez,4881,2016-07-25,Carlos Gomez grounded into a double play to shortstop (Grounder). Evan Gattis out at second.
A_Miller,6785,D Ortiz,745&,2016-05-06,David Ortiz struck out looking.
A_Miller,6785,C Colon,1114,2016-09-20,Christian Colon struck out looking.
A_Miller,6785,M Wieters,4298,2016-07-18,Matt Wieters grounded into a double play to shortstop (Grounder). Mark Trumbo out at second.
A_Miller,6785,R Pena,8841,2016-07-22,Ramiro Pena struck out looking.
A_Miller,6785,C Santana,2396,2016-07-09,Carlos Santana reached on fielder's choice to third (Grounder). Francisco Lindor out at third. Mike Napoli advanced to 2B.
A_Miller,6785,M Betts,1361,2016-05-06,Mookie Betts struck out swinging.
A_Miller,6785,D Navarro,3179,2016-08-18,Dioner Navarro flied out to center (Fly).
A_Miller,6785,K Davis,9112,2016-05-22,Khris Davis grounded out to third (Grounder).
A_Miller,6785,O Infante,1609,2016-05-10,Omar Infante struck out swinging.
A_Miller,6785,W Merrifield,1128,2016-09-20,Whit Merrifield struck out looking.
A_Miller,6785,Y Gomes,9627,2016-07-09,Yan Gomes lined out to shortstop (Liner).
A_Miller,6785,B Dozier,9810,2016-06-18,Brian Dozier struck out swinging.
A_Miller,6785,T Plouffe,7462,2016-08-30,Trevor Plouffe flied out to left (Fly).
A_Miller,6785,N Cruz,2434,2016-04-17,Nelson Cruz struck out looking.
A_Miller,6785,R Davis,3708,2016-07-09,Rajai Davis grounded out to third (Grounder).
A_Miller,6785,B Crawford,5343,2016-07-22,Brandon Crawford struck out swinging.
A_Miller,6785,R Martin,4616,2016-04-12,Russell Martin grounded out to third (Grounder).
A_Miller,6785,N Ahmed,1214,2016-05-18,Nick Ahmed struck out swinging.
A_Miller,6785,J Dyson,4866,2016-09-21,Jarrod Dyson struck out swinging.
A_Miller,6785,D Murphy,4316,2016-08-09,Daniel Murphy flied out to center (Fly).
A_Miller,6785,S Pearce,9957,2016-05-29,Steve Pearce struck out swinging.
A_Miller,6785,Y Alonso,2530,2016-05-19,Yonder Alonso grounded out to second (Grounder).
A_Miller,6785,T Frazier,785&,2016-08-18,Todd Frazier struck out swinging.
A_Miller,6785,C McGehee,6086,2016-09-17,Casey McGehee struck out looking.
A_Miller,6785,B Goodwin,1285,2016-08-09,Brian Goodwin flied out to second (Fly).
A_Miller,6785,E Longoria,9368,2016-04-23,Evan Longoria flied out to second (Fly).
A_Miller,6785,J Mauer,1857,2016-09-10,Joe Mauer flied out to left (Fliner (Liner)).
A_Miller,6785,J Abreu,1567,2016-05-14,Jose Abreu struck out swinging.
A_Miller,6785,Y Escobar,4191,2016-08-14,Yunel Escobar grounded out to third (Grounder).
A_Miller,6785,A Jackson,9848,2016-05-14,Austin Jackson struck out swinging.
A_Miller,6785,J Mauer,1857,2016-06-24,Joe Mauer grounded out to shortstop (Grounder).
A_Miller,6785,B Belt,1026,2016-07-22,Brandon Belt flied out to right (Fly).
A_Miller,6785,M Upton Jr.,5015,2016-07-03,Melvin Upton Jr. struck out swinging.
A_Miller,6785,R Odor,1228,2016-04-25,Rougned Odor flied out to left (Fly).
A_Miller,6785,H Kim,1871,2016-06-04,Hyun Soo Kim grounded out to first (Grounder).
A_Miller,6785,M Gonzalez,5497,2016-04-07,Marwin Gonzalez struck out swinging.
A_Miller,6785,Y Solarte,5352,2016-07-02,Yangervis Solarte grounded out to shortstop (Grounder).
A_Miller,6785,J Mauer,1857,2016-08-29,Joe Mauer grounded out to second (Grounder).
A_Miller,6785,M Wieters,4298,2016-06-04,Matt Wieters flied out to left (Fly).
A_Miller,6785,K Calhoun,1120,2016-06-06,Kole Calhoun struck out looking.
A_Miller,6785,B Park,1849,2016-06-25,Byung-ho Park struck out swinging.
A_Miller,6785,D Span,8347,2016-07-23,Denard Span flied out to center (Fly).
