playername,playerid,vsname,vsid,date,Play
A_Pollock,9256,R Iglesias,1713,2016-08-26,A.J. Pollock reached on fielder's choice to second (Grounder). Phil Gosselin scored.
A_Pollock,9256,R Stripling,1327,2016-09-06,A.J. Pollock homered (Fly).
A_Pollock,9256,J Cueto,6893,2016-08-30,A.J. Pollock walked. Jean Segura advanced to 3B. Michael Bourn advanced to 2B.
A_Pollock,9256,T Chatwood,4338,2016-09-03,A.J. Pollock singled to left (Grounder). Phil Gosselin advanced to 2B.
A_Pollock,9256,H Strickland,7836,2016-08-31,A.J. Pollock advanced on a stolen base to 3B.
A_Pollock,9256,J Smith,1094,2016-08-28,A.J. Pollock singled to center (Liner).
A_Pollock,9256,J Smith,1094,2016-08-28,A.J. Pollock advanced on a stolen base to 3B.
A_Pollock,9256,C Bergman,1092,2016-09-03,A.J. Pollock singled to left (Fliner (Liner)).
A_Pollock,9256,C Gearrin,7947,2016-08-30,A.J. Pollock advanced on a stolen base to 2B.
A_Pollock,9256,B Stewart,1672,2016-09-07,A.J. Pollock walked.
A_Pollock,9256,A DeSclafani,1305,2016-08-27,A.J. Pollock flied out to right (Fly).
A_Pollock,9256,J Chavez,5448,2016-09-05,A.J. Pollock flied out to center (Fly).
A_Pollock,9256,A DeSclafani,1305,2016-08-27,A.J. Pollock struck out looking.
A_Pollock,9256,T Chatwood,4338,2016-09-03,A.J. Pollock grounded out to shortstop (Grounder).
A_Pollock,9256,M Moore,1890,2016-08-31,A.J. Pollock fouled out to catcher (Fly).
A_Pollock,9256,M Bumgarner,5524,2016-09-09,A.J. Pollock flied out to center (Fly).
A_Pollock,9256,B Finnegan,1620,2016-08-26,A.J. Pollock struck out swinging.
A_Pollock,9256,M Moore,1890,2016-08-31,A.J. Pollock struck out looking.
A_Pollock,9256,K Jansen,3096,2016-09-06,A.J. Pollock flied out to center (Fly).
A_Pollock,9256,K Maeda,1849,2016-09-05,A.J. Pollock grounded out to catcher (Grounder).
A_Pollock,9256,J de la Rosa,2047,2016-09-02,A.J. Pollock grounded out to shortstop (Grounder).
A_Pollock,9256,R Stripling,1327,2016-09-06,A.J. Pollock struck out swinging.
A_Pollock,9256,S Casilla,2873,2016-08-31,A.J. Pollock reached on fielder's choice to third (Grounder). Jean Segura out at second.
A_Pollock,9256,S Romo,9817,2016-08-31,A.J. Pollock flied out to left (Fly).
A_Pollock,9256,B Stewart,1672,2016-09-07,A.J. Pollock flied out to center (Fly).
