playername,playerid,vsname,vsid,date,Play
A_Ranaudo,1142,E Rosario,1215,2016-09-04,Eddie Rosario struck out swinging.
A_Ranaudo,1142,V Martinez,393&,2016-08-30,Victor Martinez flied out to third (Fly).
A_Ranaudo,1142,A Garcia,5760,2016-05-10,Avisail Garcia grounded out to shortstop (Grounder).
A_Ranaudo,1142,J Saltalamacchia,5557,2016-05-07,Jarrod Saltalamacchia struck out swinging.
A_Ranaudo,1142,J Jones,1481,2016-08-30,JaCoby Jones grounded out to pitcher (Grounder).
A_Ranaudo,1142,E Rosario,1215,2016-09-04,Eddie Rosario fouled out to third (Fly).
A_Ranaudo,1142,M Montero,3364,2016-07-27,Miguel Montero grounded out to third (Grounder).
A_Ranaudo,1142,B Buxton,1416,2016-09-04,Byron Buxton fouled out to first (Fly).
A_Ranaudo,1142,S Smith,7331,2016-08-25,Seth Smith flied out to right (Fliner (Liner)).
A_Ranaudo,1142,J Ramirez,1351,2016-08-17,Jose Ramirez flied out to right (Fliner (Fly)). Francisco Lindor advanced to 3B.
A_Ranaudo,1142,K Bryant,1542,2016-07-27,Kris Bryant fouled out to first (Fly).
A_Ranaudo,1142,T Naquin,1335,2016-08-17,Tyler Naquin struck out swinging.
A_Ranaudo,1142,F Lindor,1291,2016-08-17,Francisco Lindor grounded out to second (Grounder).
A_Ranaudo,1142,A Russell,1410,2016-07-27,Addison Russell flied out to first (Fly).
A_Ranaudo,1142,N Cruz,2434,2016-08-25,Nelson Cruz struck out swinging.
A_Ranaudo,1142,A Rizzo,3473,2016-07-27,Anthony Rizzo struck out swinging.
A_Ranaudo,1142,J Hammel,4538,2016-07-27,Jason Hammel grounded out to third (Grounder).
A_Ranaudo,1142,M Zunino,1326,2016-08-25,Mike Zunino struck out swinging.
A_Ranaudo,1142,J Polanco,1315,2016-09-04,Jorge Polanco flied out to left (Fly).
A_Ranaudo,1142,J Baez,1297,2016-07-27,Javier Baez flied out to center (Fliner (Fly)).
A_Ranaudo,1142,J Upton,5222,2016-08-30,Justin Upton flied out to center (Fly).
A_Ranaudo,1142,A Russell,1410,2016-07-27,Addison Russell flied out to right (Fliner (Fly)).
