playername,playerid,vsname,vsid,date,Play
A_Rendon,1286,R Delgado,5985,2016-09-27,Anthony Rendon homered (Fliner (Fly)). Wilmer Difo scored. Trea Turner scored.
A_Rendon,1286,W Perez,1159,2016-09-06,Anthony Rendon homered (Fly). Jayson Werth scored. Daniel Murphy scored. Bryce Harper scored.
A_Rendon,1286,J Peavy,1051,2016-07-30,Anthony Rendon homered (Fly). Bryce Harper scored.
A_Rendon,1286,M Foltynewicz,1081,2016-08-12,Anthony Rendon homered (Fliner (Fly)). Daniel Murphy scored.
A_Rendon,1286,A Ramos,8350,2016-05-21,Anthony Rendon walked. Daniel Murphy advanced to 3B. Michael Taylor advanced to 2B.
A_Rendon,1286,D Salazar,5867,2016-07-26,Anthony Rendon homered (Fly). Wilson Ramos scored.
A_Rendon,1286,R Whalen,1416,2016-08-18,Anthony Rendon reached on error to left (Fly). Trea Turner scored on error. Bryce Harper scored on error. Anthony Rendon advanced to 2B. Error by Matt Kemp.
A_Rendon,1286,R Montero,1276,2016-09-12,Anthony Rendon homered (Fly). Daniel Murphy scored. Bryce Harper scored.
A_Rendon,1286,D Straily,9460,2016-06-04,Anthony Rendon homered (Fliner (Fly)). Wilson Ramos scored.
A_Rendon,1286,J Thompson,1437,2016-09-09,Anthony Rendon doubled to right (Fly). Daniel Murphy scored.
A_Rendon,1286,D Wright,1517,2016-06-05,Anthony Rendon reached on fielder's choice and error to third (Grounder). Bryce Harper scored on error. Daniel Murphy scored on error. Wilson Ramos advanced to 3B on error. Anthony Rendon Error by Tucker Barnhart.
A_Rendon,1286,M Harvey,1171,2016-05-24,Anthony Rendon homered (Fliner (Fly)).
A_Rendon,1286,T Jenkins,1137,2016-08-20,Anthony Rendon singled to left (Fliner (Liner)). Bryce Harper scored. Anthony Rendon advanced to 2B.
A_Rendon,1286,D Bundy,1291,2016-08-22,Anthony Rendon homered (Fly).
A_Rendon,1286,M Harvey,1171,2016-05-19,Anthony Rendon doubled to left (Fliner (Liner)). Bryce Harper scored. Daniel Murphy scored. Ryan Zimmerman advanced to 3B.
A_Rendon,1286,D Otero,7385,2016-08-10,Anthony Rendon doubled to left (Grounder). Jayson Werth scored. Daniel Murphy scored.
A_Rendon,1286,J Lackey,1507,2016-05-06,Anthony Rendon homered (Fly).
A_Rendon,1286,M Garza,3340,2016-06-25,Anthony Rendon singled to center (Grounder). Ryan Zimmerman advanced to 3B.
A_Rendon,1286,B Wood,1345,2016-07-02,Anthony Rendon walked.
A_Rendon,1286,J Thompson,1437,2016-08-29,Anthony Rendon singled to center (Fliner (Liner)). Bryce Harper scored.
A_Rendon,1286,A Conley,1445,2016-05-22,Anthony Rendon doubled to left (Fliner (Liner)). Daniel Murphy scored. Ryan Zimmerman advanced to 3B.
A_Rendon,1286,T Jenkins,1137,2016-08-14,Anthony Rendon homered (Fly). Ben Revere scored. Bryce Harper scored.
A_Rendon,1286,J Nicolino,1175,2016-05-14,Anthony Rendon singled to left (Liner). Michael Taylor scored.
A_Rendon,1286,C Kershaw,2036,2016-06-20,Anthony Rendon singled to right (Grounder). Ryan Zimmerman scored. Wilson Ramos advanced to 2B.
A_Rendon,1286,Z Britton,3240,2016-08-24,Anthony Rendon doubled to right (Fliner (Fly)). Bryce Harper scored.
A_Rendon,1286,J Hoffman,1743,2016-08-26,Anthony Rendon doubled to left (Grounder).
A_Rendon,1286,A Cashner,8782,2016-09-30,Anthony Rendon homered (Fly).
A_Rendon,1286,F Herrmann,7960,2016-09-09,Anthony Rendon singled to left (Fliner (Fly)).
A_Rendon,1286,M Garza,3340,2016-06-25,Anthony Rendon doubled to left (Fliner (Liner)). Ryan Zimmerman advanced to 3B.
A_Rendon,1286,A Morgan,1258,2016-06-01,Anthony Rendon doubled to center (Fliner (Fly)).
A_Rendon,1286,C Fien,3926,2016-06-22,Anthony Rendon walked.
A_Rendon,1286,K Hendricks,1204,2016-06-13,Anthony Rendon doubled to left (Fliner (Liner)).
A_Rendon,1286,J Nicolino,1175,2016-05-20,Anthony Rendon doubled to left (Fliner (Liner)).
A_Rendon,1286,M Albers,4300,2016-06-07,Anthony Rendon reached on fielder's choice and error to shortstop (Grounder). Ryan Zimmerman advanced to 2B on error. Error by Tyler Saladino.
A_Rendon,1286,N Syndergaard,1176,2016-05-17,Anthony Rendon singled to left (Liner). Ryan Zimmerman advanced to 3B.
A_Rendon,1286,A Vizcaino,5498,2016-08-18,Anthony Rendon was hit by a pitch. Jayson Werth scored. Daniel Murphy advanced to 3B. Bryce Harper advanced to 2B.
A_Rendon,1286,J Gomez,9033,2016-04-26,Anthony Rendon singled to center (Fliner (Liner)).
A_Rendon,1286,T May,6398,2016-04-24,Anthony Rendon singled to right (Fliner (Liner)).
A_Rendon,1286,A Adams,7411,2016-07-26,Anthony Rendon doubled to left (Grounder).
A_Rendon,1286,A Sanchez,3284,2016-05-09,Anthony Rendon walked.
A_Rendon,1286,J Jeffress,9490,2016-07-05,Anthony Rendon singled to right (Grounder).
A_Rendon,1286,J Samardzija,3254,2016-07-29,Anthony Rendon singled to center (Grounder). Jayson Werth scored.
A_Rendon,1286,A Morgan,1258,2016-08-31,Anthony Rendon doubled to left (Fliner (Liner)).
A_Rendon,1286,S Miller,1019,2016-09-28,Anthony Rendon singled to center (Liner).
A_Rendon,1286,T Koehler,6570,2016-04-10,Anthony Rendon singled to center (Fliner (Liner)).
A_Rendon,1286,C Rusin,9895,2016-08-16,Anthony Rendon singled to right (Fliner (Fly)).
