playername,playerid,vsname,vsid,date,Play
A_Rosario,7125,A Conley,1445,2016-07-17,Greg Garcia advanced on a wild pitch to 3B. Alberto Rosario scored.
A_Rosario,7125,B Colon,375&,2016-07-26,Alberto Rosario doubled to right (Liner).
A_Rosario,7125,K Maeda,1849,2016-07-23,Alberto Rosario singled to right (Fliner (Liner)). Alberto Rosario advanced to 2B on error. Error by Andrew Toles.
A_Rosario,7125,J Guerra,5702,2016-07-10,Alberto Rosario singled to right (Liner).
A_Rosario,7125,R Iglesias,1713,2016-08-04,Alberto Rosario singled to right (Liner).
A_Rosario,7125,S Gonzalez,1469,2016-08-21,Alberto Rosario singled to left (Liner).
A_Rosario,7125,A De Los Santos,1296,2016-09-26,Alberto Rosario flied out to second (Fly).
A_Rosario,7125,M Carasiti,1327,2016-09-21,Alberto Rosario grounded out to first (Grounder).
A_Rosario,7125,A Ramos,8350,2016-07-30,Alberto Rosario lined out to shortstop (Liner).
A_Rosario,7125,T Cingrani,1255,2016-09-03,Alberto Rosario grounded into a double play to second (Grounder). Greg Garcia out at second.
A_Rosario,7125,J Arrieta,4153,2016-08-12,Alberto Rosario grounded out to shortstop (Grounder).
A_Rosario,7125,W Smith,8048,2016-07-10,Alberto Rosario sacrificed to pitcher (Bunt Grounder). Kolten Wong advanced to 2B.
A_Rosario,7125,P Clemens,8037,2016-07-20,Alberto Rosario grounded out to shortstop (Grounder).
A_Rosario,7125,K Maeda,1849,2016-07-23,Alberto Rosario grounded out to shortstop (Grounder).
A_Rosario,7125,K Jansen,3096,2016-07-24,Alberto Rosario struck out swinging.
A_Rosario,7125,A Triggs,1353,2016-08-28,Alberto Rosario struck out looking.
A_Rosario,7125,P Clemens,8037,2016-07-20,Alberto Rosario flied out to left (Fliner (Fly)).
A_Rosario,7125,K Quackenbush,1236,2016-07-20,Alberto Rosario flied out to center (Fliner (Fly)).
A_Rosario,7125,K Barraclough,1371,2016-07-17,Alberto Rosario struck out looking.
A_Rosario,7125,J Guerra,5702,2016-07-10,Alberto Rosario grounded out to third (Grounder).
A_Rosario,7125,D Straily,9460,2016-09-03,Alberto Rosario flied out to center (Fliner (Fly)). Greg Garcia out at second.
