playername,playerid,vsname,vsid,date,Play
A_Russell,1410,J Diaz,3397,2016-04-11,Addison Russell homered (Fly). Ben Zobrist scored. Jorge Soler scored.
A_Russell,1410,C Gearrin,7947,2016-09-01,Addison Russell singled to left (Fliner (Liner)). Dexter Fowler scored. Kris Bryant scored. Ben Zobrist advanced to 2B.
A_Russell,1410,Y Petit,4020,2016-06-15,Addison Russell singled to center (Grounder). Albert Almora scored. Addison Russell advanced to 2B.
A_Russell,1410,C Torres,7624,2016-04-26,Addison Russell tripled to center (Fliner (Fly)). Kris Bryant scored. Ben Zobrist scored.
A_Russell,1410,S Casilla,2873,2016-09-04,Addison Russell doubled to left (Fliner (Liner)).
A_Russell,1410,F Liriano,3201,2016-05-13,Addison Russell homered (Fly). Ben Zobrist scored. Jorge Soler scored.
A_Russell,1410,S Cishek,6483,2016-07-31,Addison Russell singled to left (Fliner (Liner)). Anthony Rizzo scored. Ben Zobrist advanced to 3B. Addison Russell advanced to 2B.
A_Russell,1410,M Scherzer,3137,2016-06-13,Addison Russell homered (Fliner (Fly)).
A_Russell,1410,A Conley,1445,2016-08-01,Addison Russell singled to right (Liner). Dexter Fowler scored. Anthony Rizzo scored.
A_Russell,1410,T Adleman,1096,2016-09-19,Addison Russell homered (Fly).
A_Russell,1410,S Casilla,2873,2016-09-04,Addison Russell advanced on a wild pitch to 3B.
A_Russell,1410,T Anderson,1288,2016-08-19,Addison Russell homered (Fly). Anthony Rizzo scored.
A_Russell,1410,A Wainwright,2233,2016-06-21,Addison Russell doubled to left (Fliner (Liner)).
A_Russell,1410,G Gonzalez,7448,2016-05-07,Addison Russell singled to center (Grounder). Anthony Rizzo scored. Jorge Soler advanced to 2B.
A_Russell,1410,P Clemens,8037,2016-08-24,Addison Russell reached on error to shortstop (Grounder). Kris Bryant scored on error. Ben Zobrist scored on error. Addison Russell advanced to 2B. Error by Luis Sardinas.
A_Russell,1410,B Boyer,2237,2016-05-18,Addison Russell doubled to left (Fliner (Liner)).
A_Russell,1410,R de la Rosa,3862,2016-04-07,Addison Russell singled to center (Grounder). Anthony Rizzo scored. Kris Bryant scored. Kyle Schwarber advanced to 2B.
A_Russell,1410,J Garcia,8137,2016-09-13,Addison Russell doubled to left (Fliner (Liner)). Ben Zobrist scored.
