playername,playerid,vsname,vsid,date,Play
A_Sampson,1333,D Pedroia,8370,2016-06-18,Dustin Pedroia grounded into a double play to second (Grounder). Mookie Betts out at second.
A_Sampson,1333,H Ramirez,8001,2016-06-18,Hanley Ramirez flied out to second (Fly).
A_Sampson,1333,C Young,3882,2016-06-18,Chris Young reached on fielder's choice to pitcher (Liner). Jackie Bradley Jr. out at second.
A_Sampson,1333,M Betts,1361,2016-06-18,Mookie Betts flied out to center (Fliner (Liner)).
A_Sampson,1333,H Ramirez,8001,2016-06-18,Hanley Ramirez grounded out to pitcher (Grounder).
A_Sampson,1333,T Shaw,1198,2016-06-18,Travis Shaw flied out to right (Fly).
A_Sampson,1333,X Bogaerts,1216,2016-06-18,Xander Bogaerts singled to right (Fliner (Liner)).
A_Sampson,1333,M Betts,1361,2016-06-18,Mookie Betts singled to center (Grounder).
A_Sampson,1333,C Young,3882,2016-06-18,Chris Young singled to left (Fliner (Liner)).
A_Sampson,1333,X Bogaerts,1216,2016-06-18,Xander Bogaerts homered (Fliner (Fly)).
A_Sampson,1333,C Vazquez,9774,2016-06-18,Christian Vazquez singled to right (Fliner (Liner)). Chris Young advanced to 3B.
