playername,playerid,vsname,vsid,date,Play
A_Sanchez,3284,F Gutierrez,3255,2016-06-20,Franklin Gutierrez grounded out to shortstop (Grounder).
A_Sanchez,3284,K Marte,1361,2016-06-20,Ketel Marte lined out to third (Liner).
A_Sanchez,3284,M Cabrera,4022,2016-07-24,Melky Cabrera grounded into a double play to second (Grounder). Adam Eaton advanced to 3B. Tim Anderson out at second.
A_Sanchez,3284,C Cuthbert,1047,2016-09-02,Cheslor Cuthbert flied out to right (Fly).
A_Sanchez,3284,G Petit,3812,2016-05-31,Gregorio Petit picked off.
A_Sanchez,3284,T Frazier,785&,2016-09-07,Todd Frazier grounded out to third (Grounder).
A_Sanchez,3284,D Barney,2430,2016-07-10,Darwin Barney struck out swinging.
A_Sanchez,3284,M Cabrera,4022,2016-06-13,Melky Cabrera grounded out to shortstop (Grounder). Adam Eaton advanced to 3B.
A_Sanchez,3284,T Goeddel,1318,2016-05-25,Tyler Goeddel fouled out to third (Fly).
A_Sanchez,3284,D Gordon,8203,2016-04-06,Dee Gordon flied out to left (Fliner (Fly)).
A_Sanchez,3284,M Wieters,4298,2016-05-14,Matt Wieters grounded into a double play to third (Grounder). Chris Davis out at second.
A_Sanchez,3284,A Eaton,1120,2016-09-07,Adam Eaton struck out swinging.
A_Sanchez,3284,A Escobar,6310,2016-09-02,Alcides Escobar flied out to second (Fliner (Fly)).
A_Sanchez,3284,D Gordon,8203,2016-04-06,Dee Gordon flied out to center (Fly).
A_Sanchez,3284,T Anderson,1517,2016-06-13,Tim Anderson struck out swinging.
A_Sanchez,3284,M Taylor,1148,2016-05-09,Michael Taylor flied out to right (Fliner (Fly)).
A_Sanchez,3284,D Gordon,8203,2016-04-06,Dee Gordon was caught stealing.
A_Sanchez,3284,R Mondesi,1376,2016-09-02,Raul Mondesi struck out swinging.
A_Sanchez,3284,D Santana,1032,2016-08-23,Danny Santana was forced out.
A_Sanchez,3284,D Travis,1386,2016-07-10,Devon Travis struck out swinging.
A_Sanchez,3284,J Rickard,1327,2016-05-14,Joey Rickard flied out to third (Fly).
A_Sanchez,3284,C Tilson,1298,2016-08-02,Charlie Tilson reached on fielder's choice to second (Grounder). Dioner Navarro out at second.
A_Sanchez,3284,F Lindor,1291,2016-05-04,Francisco Lindor grounded into a double play to third (Grounder). Carlos Santana out at second.
A_Sanchez,3284,K Morales,8610,2016-08-17,Kendrys Morales struck out swinging.
A_Sanchez,3284,B Buxton,1416,2016-09-22,Byron Buxton was caught stealing.
A_Sanchez,3284,A Blanco,1907,2016-05-25,Andres Blanco was caught stealing.
A_Sanchez,3284,C Cuthbert,1047,2016-08-17,Cheslor Cuthbert grounded out to shortstop (Grounder).
A_Sanchez,3284,B Harper,1157,2016-05-09,Bryce Harper struck out looking.
A_Sanchez,3284,R Zimmerman,4220,2016-05-09,Ryan Zimmerman grounded out to third (Grounder).
A_Sanchez,3284,M Morse,3035,2016-04-12,Michael Morse reached on fielder's choice to shortstop (Grounder). Josh Harrison out at second.
A_Sanchez,3284,J Centeno,7168,2016-08-23,Juan Centeno grounded out to second (Grounder).
A_Sanchez,3284,A McCutchen,9847,2016-04-12,Andrew McCutchen was caught stealing.
A_Sanchez,3284,M Trumbo,6876,2016-05-14,Mark Trumbo flied out to center (Fliner (Fly)).
A_Sanchez,3284,J Bruce,9892,2016-08-07,Jay Bruce fouled out to shortstop (Fly).
A_Sanchez,3284,Y Sanchez,1160,2016-07-24,Carlos Sanchez flied out to left (Fly).
A_Sanchez,3284,R Odor,1228,2016-08-12,Rougned Odor struck out swinging.
A_Sanchez,3284,T Saladino,1080,2016-08-02,Tyler Saladino flied out to center (Fliner (Fly)).
A_Sanchez,3284,B Dozier,9810,2016-09-22,Brian Dozier fouled out to shortstop (Fly).
A_Sanchez,3284,M Cabrera,4022,2016-08-02,Melky Cabrera flied out to left (Fliner (Fly)).
A_Sanchez,3284,B Dozier,9810,2016-07-19,Brian Dozier struck out swinging.
A_Sanchez,3284,M Machado,1149,2016-05-14,Manny Machado struck out looking.
A_Sanchez,3284,D Travis,1386,2016-07-10,Devon Travis flied out to second (Fly).
A_Sanchez,3284,M Reynolds,1378,2016-08-07,Matt Reynolds grounded out to third (Grounder).
