playername,playerid,vsname,vsid,date,Play
A_Simon,2155,A Presley,5305,2016-05-28,Alex Presley grounded into a double play to shortstop (Grounder). Aaron Hill out at second.
A_Simon,2155,A McCutchen,9847,2016-04-30,Andrew McCutchen reached on fielder's choice to shortstop (Grounder). John Jaso out at second.
A_Simon,2155,F Freeman,5361,2016-06-15,Freddie Freeman grounded out to second (Grounder).
A_Simon,2155,J Harrison,8202,2016-04-08,Josh Harrison reached on error to third (Grounder). Starling Marte out at home. Francisco Cervelli advanced to 2B on error. Error by Eugenio Suarez.
A_Simon,2155,C d'Arnaud,6652,2016-06-15,Chase d'Arnaud struck out swinging.
A_Simon,2155,J Jaso,5887,2016-04-08,John Jaso fouled out to first (Fly).
A_Simon,2155,J Garcia,8137,2016-06-08,Jaime Garcia grounded out to second (Grounder).
A_Simon,2155,S O'Malley,9629,2016-05-22,Shawn O'Malley reached on fielder's choice to second (Grounder). Steve Clevenger out at second.
A_Simon,2155,A Pierzynski,746&,2016-06-15,A.J. Pierzynski grounded out to shortstop (Grounder).
A_Simon,2155,J Heyward,4940,2016-04-13,Jason Heyward struck out swinging.
A_Simon,2155,F Cervelli,5275,2016-04-08,Francisco Cervelli flied out to right (Fliner (Fly)).
A_Simon,2155,K Seager,9785,2016-05-22,Kyle Seager fouled out to third (Fliner (Fly)).
A_Simon,2155,M Reynolds,7619,2016-06-02,Mark Reynolds struck out swinging.
A_Simon,2155,T Story,1256,2016-06-02,Trevor Story flied out to right (Fly).
A_Simon,2155,A McCutchen,9847,2016-04-08,Andrew McCutchen flied out to center (Fliner (Fly)).
A_Simon,2155,R Grichuk,1024,2016-06-08,Randal Grichuk struck out swinging.
A_Simon,2155,G Polanco,1290,2016-05-11,Gregory Polanco struck out swinging.
A_Simon,2155,S Marte,9241,2016-05-11,Starling Marte was caught stealing.
A_Simon,2155,K Bryant,1542,2016-04-24,Kris Bryant flied out to left (Fly).
A_Simon,2155,T Wolters,1147,2016-06-02,Tony Wolters flied out to left (Fly).
A_Simon,2155,J Mercer,6547,2016-05-11,Jordy Mercer flied out to right (Fly).
A_Simon,2155,R Cano,3269,2016-05-22,Robinson Cano reached on fielder's choice to first (Grounder). Nori Aoki out at second.
A_Simon,2155,N Arenado,9777,2016-06-02,Nolan Arenado flied out to center (Fly).
A_Simon,2155,J Garcia,8137,2016-06-08,Jaime Garcia flied out to center (Fly).
A_Simon,2155,A McCutchen,9847,2016-04-08,Andrew McCutchen struck out swinging.
A_Simon,2155,C Blackmon,7859,2016-06-02,Charlie Blackmon flied out to right (Fliner (Liner)).
A_Simon,2155,F Cervelli,5275,2016-05-11,Francisco Cervelli grounded out to shortstop (Grounder).
A_Simon,2155,G Parra,8553,2016-06-02,Gerardo Parra struck out swinging.
A_Simon,2155,M Byrd,950&,2016-05-17,Marlon Byrd struck out swinging.
