playername,playerid,vsname,vsid,date,Play
A_Suarez,6175,J Bautista,1887,2016-05-11,Jose Bautista flied out to shortstop (Fly).
A_Suarez,6175,A Amarista,9063,2016-07-16,Alexi Amarista grounded into a double play to second (Grounder). Alexei Ramirez out at second.
A_Suarez,6175,P Goldschmidt,9218,2016-07-09,Paul Goldschmidt struck out swinging.
A_Suarez,6175,C Richard,3551,2016-09-13,Clayton Richard flied out to left (Fliner (Fly)).
A_Suarez,6175,W Myers,1004,2016-09-13,Wil Myers grounded into a double play to shortstop (Grounder). Luis Sardinas out at second.
A_Suarez,6175,M Betts,1361,2016-06-07,Mookie Betts grounded into a double play to second (Grounder). Christian Vazquez out at second.
A_Suarez,6175,A Dickerson,1264,2016-09-13,Alex Dickerson flied out to right (Fly).
A_Suarez,6175,R Tapia,1435,2016-09-07,Raimel Tapia picked off.
A_Suarez,6175,E Kratz,4403,2016-06-23,Erik Kratz struck out swinging.
A_Suarez,6175,M Bourn,6387,2016-07-09,Michael Bourn flied out to center (Fly). Phil Gosselin advanced to 3B.
A_Suarez,6175,C Carter,9911,2016-06-13,Chris Carter struck out swinging.
A_Suarez,6175,S Gennett,1033,2016-06-13,Scooter Gennett struck out swinging.
A_Suarez,6175,R Ray,1148,2016-07-03,Robbie Ray sacrificed to first (Bunt Grounder). Tuffy Gosewisch advanced to 2B.
A_Suarez,6175,K Nieuwenhuis,6400,2016-06-13,Kirk Nieuwenhuis grounded out to shortstop (Grounder).
A_Suarez,6175,J Niese,4424,2016-06-23,Jon Niese struck out swinging.
A_Suarez,6175,R Braun,3410,2016-06-13,Ryan Braun grounded out to first (Grounder).
A_Suarez,6175,G Parra,8553,2016-05-27,Gerardo Parra flied out to left (Fly).
A_Suarez,6175,J Gyorko,1081,2016-09-18,Jedd Gyorko grounded into a double play to third (Grounder). Stephen Piscotty out at second.
A_Suarez,6175,D Pedroia,8370,2016-06-07,Dustin Pedroia flied out to left (Fliner (Fly)).
A_Suarez,6175,S Piscotty,1336,2016-09-18,Stephen Piscotty grounded out to third (Grounder).
A_Suarez,6175,R Schimpf,9953,2016-09-13,Ryan Schimpf flied out to left (Fly).
A_Suarez,6175,T Jankowski,1376,2016-07-16,Travis Jankowski was caught stealing.
A_Suarez,6175,J Harrison,8202,2016-06-23,Josh Harrison flied out to right (Fly).
A_Suarez,6175,A Garcia,1377,2016-08-27,Adonis Garcia struck out swinging.
A_Suarez,6175,T Chatwood,4338,2016-05-27,Tyler Chatwood struck out swinging.
A_Suarez,6175,J Lucroy,7870,2016-06-13,Jonathan Lucroy grounded out to second (Grounder).
A_Suarez,6175,J Lowrie,4418,2016-06-28,Jed Lowrie flied out to left (Fliner (Liner)).
A_Suarez,6175,C Vazquez,9774,2016-06-07,Christian Vazquez grounded out to shortstop (Grounder).
A_Suarez,6175,S Rodriguez,6589,2016-06-23,Sean Rodriguez flied out to left (Fliner (Liner)).
A_Suarez,6175,A Rizzo,3473,2016-09-02,Anthony Rizzo flied out to center (Fliner (Liner)).
A_Suarez,6175,N Arenado,9777,2016-09-07,Nolan Arenado grounded out to shortstop (Grounder).
A_Suarez,6175,M Semien,1253,2016-06-28,Marcus Semien struck out looking.
A_Suarez,6175,M Carpenter,8090,2016-09-18,Matt Carpenter struck out swinging.
A_Suarez,6175,P Goldschmidt,9218,2016-07-03,Paul Goldschmidt reached on fielder's choice to second (Grounder). Michael Bourn out at second.
A_Suarez,6175,T Gosewisch,5277,2016-07-03,Tuffy Gosewisch grounded out to third (Grounder).
