playername,playerid,vsname,vsid,date,Play
A_Tolliver,1004,J Decker,7945,2016-06-24,Jaff Decker flied out to center (Fly).
A_Tolliver,1004,B Miller,1277,2016-06-24,Brad Miller flied out to right (Fly).
A_Tolliver,1004,L Valbuena,4969,2016-05-26,Luis Valbuena struck out swinging.
A_Tolliver,1004,E Gattis,1100,2016-05-26,Evan Gattis grounded out to shortstop (Grounder).
A_Tolliver,1004,M Betts,1361,2016-05-31,Mookie Betts grounded out to second (Grounder).
A_Tolliver,1004,X Bogaerts,1216,2016-05-31,Xander Bogaerts flied out to right (Fly).
A_Tolliver,1004,M Martinez,7358,2016-05-28,Michael Martinez reached on fielder's choice to shortstop (Grounder). Juan Uribe out at second.
A_Tolliver,1004,J Uribe,454&,2016-05-28,Juan Uribe singled to center (Fliner (Liner)). Jose Ramirez advanced to 2B.
A_Tolliver,1004,F Lindor,1291,2016-05-28,Francisco Lindor reached on error to pitcher (Grounder). Francisco Lindor advanced to 2B. Error by Ashur Tolliver.
A_Tolliver,1004,T Shaw,1198,2016-05-30,Travis Shaw walked.
A_Tolliver,1004,L Morrison,9205,2016-06-24,Logan Morrison singled to center (Fliner (Liner)).
A_Tolliver,1004,D Ortiz,745&,2016-05-30,David Ortiz homered (Fliner (Fly)).
