playername,playerid,vsname,vsid,date,Play
A_Wilson,9239,N Cruz,2434,2016-06-20,Nelson Cruz grounded into a double play to shortstop (Grounder). Shawn O'Malley advanced to 3B. Robinson Cano out at second.
A_Wilson,9239,L Martin,1184,2016-06-20,Leonys Martin struck out swinging.
A_Wilson,9239,A Escobar,6310,2016-09-04,Alcides Escobar lined out to first (Liner).
A_Wilson,9239,K Seager,9785,2016-06-20,Kyle Seager grounded out to second (Grounder).
A_Wilson,9239,R Zimmerman,4220,2016-05-09,Ryan Zimmerman fouled out to first (Fly).
A_Wilson,9239,J Abreu,1567,2016-06-13,Jose Abreu grounded out to pitcher (Liner).
A_Wilson,9239,J Ramirez,1351,2016-09-18,Jose Ramirez picked off.
A_Wilson,9239,C Perez,1064,2016-05-31,Carlos Perez lined out to second (Liner). Johnny Giavotella out at second.
A_Wilson,9239,S Smith,7331,2016-08-09,Seth Smith struck out swinging.
A_Wilson,9239,J Rollins,971&,2016-06-03,Jimmy Rollins struck out looking.
A_Wilson,9239,D Espinosa,9219,2016-05-10,Danny Espinosa flied out to center (Fly).
A_Wilson,9239,K Vargas,1210,2016-09-22,Kennys Vargas flied out to second (Fly).
A_Wilson,9239,C Robinson,6908,2016-05-10,Clint Robinson doubled to center (Fliner (Liner)). Wilson Ramos out at home. Clint Robinson advanced to 2B.
A_Wilson,9239,J Abreu,1567,2016-09-05,Jose Abreu struck out swinging.
A_Wilson,9239,J Werth,1327,2016-05-10,Jayson Werth fouled out to first (Fly).
A_Wilson,9239,J Schoop,1126,2016-09-09,Jonathan Schoop struck out swinging.
A_Wilson,9239,J Hardy,3797,2016-09-09,J.J. Hardy fouled out to first (Fly).
A_Wilson,9239,M Machado,1149,2016-09-09,Manny Machado struck out looking.
A_Wilson,9239,T Frazier,785&,2016-06-13,Todd Frazier grounded out to third (Grounder).
A_Wilson,9239,N Reimold,3441,2016-05-15,Nolan Reimold struck out looking.
A_Wilson,9239,R Perez,2900,2016-09-17,Roberto Perez struck out swinging.
A_Wilson,9239,J Ramirez,1351,2016-07-04,Jose Ramirez struck out looking.
A_Wilson,9239,C Iannetta,8267,2016-06-20,Chris Iannetta struck out swinging.
A_Wilson,9239,S Smith,7331,2016-06-23,Seth Smith lined out to first (Liner).
A_Wilson,9239,R Martin,4616,2016-07-09,Russell Martin flied out to right (Fly).
A_Wilson,9239,T Shaw,1198,2016-08-18,Travis Shaw struck out swinging.
A_Wilson,9239,O Arcia,1030,2016-04-29,Oswaldo Arcia struck out swinging.
A_Wilson,9239,T Anderson,1517,2016-09-07,Tim Anderson struck out swinging.
A_Wilson,9239,W Ramos,1433,2016-05-09,Wilson Ramos grounded out to shortstop (Grounder).
A_Wilson,9239,R Ortega,1032,2016-05-31,Rafael Ortega struck out swinging.
A_Wilson,9239,D Santana,1032,2016-05-01,Danny Santana flied out to right (Fly).
A_Wilson,9239,J Uribe,454&,2016-07-04,Juan Uribe grounded out to pitcher (Liner).
A_Wilson,9239,J Abreu,1567,2016-07-23,Jose Abreu grounded out to pitcher (Grounder).
A_Wilson,9239,J Smoak,9054,2016-07-07,Justin Smoak flied out to left (Fly).
A_Wilson,9239,J Dyson,4866,2016-09-02,Jarrod Dyson flied out to second (Fliner (Fly)).
A_Wilson,9239,B Guyer,2636,2016-09-18,Brandon Guyer flied out to right (Fly).
A_Wilson,9239,B Dozier,9810,2016-05-18,Brian Dozier struck out looking.
A_Wilson,9239,M Cabrera,4022,2016-06-14,Melky Cabrera flied out to left (Fliner (Fly)).
A_Wilson,9239,M Taylor,1148,2016-05-09,Michael Taylor flied out to third (Fly).
A_Wilson,9239,A Eaton,1120,2016-08-29,Adam Eaton grounded out to shortstop (Grounder).
A_Wilson,9239,C Joseph,7087,2016-09-11,Caleb Joseph grounded into a double play to shortstop (Grounder). J.J. Hardy out at second.
A_Wilson,9239,B Dozier,9810,2016-09-22,Brian Dozier grounded out to shortstop (Grounder).
A_Wilson,9239,E Nunez,6848,2016-04-29,Eduardo Nunez grounded out to second (Grounder).
A_Wilson,9239,A Garcia,5760,2016-06-13,Avisail Garcia grounded out to third (Grounder).
A_Wilson,9239,J Ramirez,1351,2016-09-26,Jose Ramirez flied out to center (Fliner (Fly)).
A_Wilson,9239,T Frazier,785&,2016-07-23,Todd Frazier flied out to right (Fly).
A_Wilson,9239,M Kemp,5631,2016-10-01,Matt Kemp flied out to center (Fly).
A_Wilson,9239,E Kratz,4403,2016-04-17,Erik Kratz flied out to center (Fliner (Fly)).
A_Wilson,9239,R Davis,3708,2016-06-25,Rajai Davis reached on fielder's choice to third (Grounder). Tyler Naquin out at home.
A_Wilson,9239,K Pillar,1243,2016-07-09,Kevin Pillar grounded out to shortstop (Grounder).
A_Wilson,9239,B Lawrie,5247,2016-06-14,Brett Lawrie reached on fielder's choice to shortstop (Grounder). Jose Abreu out at second.
A_Wilson,9239,T Anderson,1517,2016-08-29,Tim Anderson fouled out to first (Fly).
A_Wilson,9239,A Garcia,5760,2016-08-29,Avisail Garcia struck out swinging.
A_Wilson,9239,J Mauer,1857,2016-05-01,Joe Mauer flied out to left (Fliner (Fly)).
A_Wilson,9239,J Kipnis,9776,2016-09-26,Jason Kipnis fouled out to third (Fly).
A_Wilson,9239,L Chisenhall,7571,2016-09-26,Lonnie Chisenhall flied out to left (Fly).
A_Wilson,9239,R Grossman,5254,2016-09-14,Robbie Grossman struck out swinging.
A_Wilson,9239,J Polanco,1315,2016-09-14,Jorge Polanco flied out to center (Fliner (Fly)). Brian Dozier advanced to 3B.
A_Wilson,9239,C Cuthbert,1047,2016-08-15,Cheslor Cuthbert flied out to left (Fly).
A_Wilson,9239,T Saladino,1080,2016-07-23,Tyler Saladino flied out to right (Fliner (Fly)).
A_Wilson,9239,A Garcia,1377,2016-10-01,Adonis Garcia grounded out to third (Grounder).
A_Wilson,9239,M Semien,1253,2016-04-27,Marcus Semien struck out swinging.
A_Wilson,9239,J Marisnick,1133,2016-04-17,Jake Marisnick struck out looking.
A_Wilson,9239,F Galvis,6609,2016-05-25,Freddy Galvis reached on fielder's choice to second (Grounder). Odubel Herrera out at second.
A_Wilson,9239,C Dickerson,1076,2016-05-20,Corey Dickerson flied out to center (Fly).
