playername,playerid,vsname,vsid,date,Play
B_Belt,1026,J McGee,7550,2016-05-07,Brandon Belt tripled to right (Fliner (Fly)).
B_Belt,1026,Z Eflin,1377,2016-08-02,Brandon Belt homered (Fly). Buster Posey scored. Brandon Crawford scored.
B_Belt,1026,W Perez,1159,2016-06-01,Brandon Belt homered (Fly). Matt Duffy scored.
B_Belt,1026,T Watson,3132,2016-08-17,Brandon Belt singled to right (Liner). Eduardo Nunez advanced to 3B. Angel Pagan advanced to 2B.
B_Belt,1026,D Overton,1562,2016-06-30,Brandon Belt hit a ground rule double (Fliner (Fly)). Madison Bumgarner scored. Denard Span scored. Angel Pagan advanced to 3B.
B_Belt,1026,K Maeda,1849,2016-08-23,Brandon Belt doubled to right (Fliner (Liner)). Angel Pagan scored.
B_Belt,1026,J de la Rosa,2047,2016-07-06,Brandon Belt tripled to right (Fly). Grant Green scored.
B_Belt,1026,M Leake,1013,2016-09-17,Brandon Belt doubled to center (Fliner (Fly)). Hunter Pence scored.
B_Belt,1026,Z Greinke,1943,2016-09-11,Brandon Belt singled to left (Liner). Angel Pagan scored. Brandon Crawford advanced to 3B. Hunter Pence advanced to 2B.
B_Belt,1026,J Odorizzi,6397,2016-06-19,Brandon Belt homered (Fly).
B_Belt,1026,A Wainwright,2233,2016-06-03,Brandon Belt singled to right (Grounder). Joe Panik scored. Buster Posey advanced to 3B.
B_Belt,1026,R Tepera,1029,2016-05-11,Denard Span advanced on a wild pitch to 2B.
B_Belt,1026,A Reed,1058,2016-04-30,Brandon Belt walked. Matt Duffy advanced to 3B. Buster Posey advanced to 2B.
B_Belt,1026,J de la Rosa,2047,2016-09-07,Brandon Belt homered (Fly). Gorkys Hernandez scored.
B_Belt,1026,R Stripling,1327,2016-08-25,Brandon Belt singled to left (Grounder). Brandon Crawford scored.
B_Belt,1026,G Marquez,1503,2016-09-27,Brandon Belt tripled to center (Fliner (Liner)).
B_Belt,1026,B Shipley,1515,2016-09-09,Brandon Belt singled to left (Fliner (Liner)). Hunter Pence scored.
B_Belt,1026,K Maeda,1849,2016-10-02,Brandon Belt doubled to right (Fliner (Fly)). Denard Span advanced to 3B.
B_Belt,1026,R Porcello,2717,2016-06-07,Brandon Belt singled to right (Grounder). Joe Panik advanced to 3B. Matt Duffy advanced to 2B.
B_Belt,1026,J De La Cruz,1282,2016-08-26,Brandon Belt singled to center (Fliner (Liner)). Buster Posey scored. Brandon Crawford advanced to 2B.
B_Belt,1026,W Peralta,7738,2016-04-04,Brandon Belt singled to left (Fliner (Liner)). Denard Span scored. Buster Posey advanced to 2B.
B_Belt,1026,Y Petit,4020,2016-07-30,Brandon Belt singled to right (Liner). Buster Posey advanced to 3B. Hunter Pence advanced to 2B.
B_Belt,1026,K Jansen,3096,2016-06-10,Brandon Belt doubled to right (Fliner (Liner)).
B_Belt,1026,M Castro,1568,2016-04-13,Brandon Belt homered (Fly).
B_Belt,1026,B Ziegler,7293,2016-04-18,Brandon Belt singled to left (Fliner (Liner)). Buster Posey advanced to 2B.
B_Belt,1026,T Roark,8753,2016-07-28,Brandon Belt walked. Buster Posey advanced to 3B. Brandon Crawford advanced to 2B.
B_Belt,1026,T Cingrani,1255,2016-07-25,Brandon Belt singled to center (Fliner (Liner)).
B_Belt,1026,J Hellickson,4371,2016-06-25,Brandon Belt singled to right (Liner). Joe Panik advanced to 3B.
B_Belt,1026,J Ramirez,8302,2016-05-02,Brandon Belt singled to left (Fliner (Liner)). Buster Posey scored. Hunter Pence advanced to 3B.
B_Belt,1026,S Kazmir,4897,2016-06-11,Brandon Belt walked. Joe Panik advanced to 2B.
