playername,playerid,vsname,vsid,date,Play
B_Boyer,2237,J Harrison,8202,2016-09-03,Josh Harrison grounded into a double play to shortstop (Grounder). Alen Hanson out at second.
B_Boyer,2237,K Plawecki,1380,2016-06-10,Kevin Plawecki fouled out to first (Fly).
B_Boyer,2237,Y Tomas,1717,2016-08-05,Yasmany Tomas struck out swinging.
B_Boyer,2237,T Cahill,6249,2016-05-18,Trevor Cahill lined out to second (Liner).
B_Boyer,2237,M Montero,3364,2016-05-18,Miguel Montero flied out to left (Fliner (Fly)).
B_Boyer,2237,J Pacheco,2677,2016-05-29,Jordan Pacheco struck out looking.
B_Boyer,2237,K Plawecki,1380,2016-05-21,Kevin Plawecki grounded out to third (Grounder).
B_Boyer,2237,T La Stella,1237,2016-05-18,Tommy La Stella lined out to first (Liner).
B_Boyer,2237,G Beckham,9015,2016-08-10,Gordon Beckham flied out to left (Fliner (Liner)).
B_Boyer,2237,J Votto,4314,2016-07-15,Joey Votto struck out looking.
B_Boyer,2237,J Patterson,1511,2016-10-02,Jordan Patterson grounded out to second (Grounder).
B_Boyer,2237,A Ramirez,5133,2016-05-15,Alexei Ramirez fouled out to first (Fly).
B_Boyer,2237,T Thompson,9952,2016-06-19,Trayce Thompson flied out to center (Fly).
B_Boyer,2237,A Pierzynski,746&,2016-05-25,A.J. Pierzynski grounded out to shortstop (Grounder).
B_Boyer,2237,N Arenado,9777,2016-08-24,Nolan Arenado fouled out to shortstop (Fly).
B_Boyer,2237,A Cabrera,4962,2016-05-21,Asdrubal Cabrera fouled out to catcher (Fly).
B_Boyer,2237,C Granderson,4747,2016-06-10,Curtis Granderson flied out to left (Fly).
B_Boyer,2237,N Markakis,5930,2016-08-10,Nick Markakis flied out to left (Fliner (Fly)).
B_Boyer,2237,K Bryant,1542,2016-05-18,Kris Bryant flied out to center (Fly).
B_Boyer,2237,B Hamilton,1019,2016-05-27,Billy Hamilton lined out to shortstop (Liner).
B_Boyer,2237,E Aybar,4082,2016-05-25,Erick Aybar flied out to center (Fliner (Fly)).
B_Boyer,2237,J Pederson,1189,2016-06-19,Joc Pederson flied out to third (Fly).
B_Boyer,2237,E Suarez,1255,2016-05-27,Eugenio Suarez grounded out to shortstop (Grounder).
B_Boyer,2237,G Polanco,1290,2016-08-26,Gregory Polanco struck out swinging.
B_Boyer,2237,C d'Arnaud,6652,2016-05-25,Chase d'Arnaud reached on fielder's choice to second (Grounder). Ender Inciarte out at second.
B_Boyer,2237,R Grichuk,1024,2016-07-09,Randal Grichuk flied out to center (Fly).
B_Boyer,2237,F Freeman,5361,2016-05-25,Freddie Freeman flied out to left (Fliner (Fly)).
B_Boyer,2237,H Kendrick,4229,2016-06-19,Howie Kendrick struck out swinging.
B_Boyer,2237,K Suzuki,8259,2016-04-18,Kurt Suzuki grounded out to shortstop (Grounder).
B_Boyer,2237,B Butler,7399,2016-06-21,Billy Butler grounded out to first (Grounder). Khris Davis advanced to 3B.
B_Boyer,2237,J Bruce,9892,2016-05-29,Jay Bruce flied out to center (Fliner (Fly)).
B_Boyer,2237,M Szczur,1125,2016-07-24,Matt Szczur was caught stealing.
B_Boyer,2237,Z Cozart,2616,2016-07-15,Zack Cozart grounded out to catcher (Grounder).
B_Boyer,2237,J Pederson,1189,2016-06-28,Joc Pederson fouled out to shortstop (Fly).
B_Boyer,2237,J Peralta,1738,2016-07-09,Jhonny Peralta grounded out to shortstop (Grounder).
B_Boyer,2237,S Marte,9241,2016-08-27,Starling Marte grounded out to second (Grounder).
B_Boyer,2237,D Span,8347,2016-06-13,Denard Span grounded out to second (Grounder).
B_Boyer,2237,B Buxton,1416,2016-04-18,Byron Buxton flied out to right (Fly).
B_Boyer,2237,A Hechavarria,1045,2016-05-01,Adeiny Hechavarria flied out to center (Fliner (Fly)).
B_Boyer,2237,A De Aza,3371,2016-06-12,Alejandro De Aza reached on fielder's choice to second (Grounder). Kelly Johnson scored. Wilmer Flores out at second.
B_Boyer,2237,C Taylor,1375,2016-06-28,Chris Taylor struck out swinging.
B_Boyer,2237,I De Jesus,9886,2016-05-27,Ivan De Jesus struck out swinging.
B_Boyer,2237,Y Alonso,2530,2016-06-08,Yonder Alonso grounded out to shortstop (Grounder).
B_Boyer,2237,M Szczur,1125,2016-08-18,Matt Szczur grounded out to second (Grounder).
B_Boyer,2237,K Plawecki,1380,2016-06-12,Kevin Plawecki flied out to right (Fliner (Fly)).
B_Boyer,2237,C Kuhl,1497,2016-09-21,Chad Kuhl grounded out to shortstop (Grounder).
B_Boyer,2237,J Panik,1193,2016-06-13,Joe Panik flied out to left (Fliner (Fly)).
B_Boyer,2237,J Castro,8722,2016-04-09,Jason Castro grounded out to shortstop (Grounder).
B_Boyer,2237,F Cervelli,5275,2016-09-21,Francisco Cervelli grounded out to pitcher (Grounder).
B_Boyer,2237,A Duvall,1095,2016-05-29,Adam Duvall flied out to right (Fly).
B_Boyer,2237,K Bryant,1542,2016-07-24,Kris Bryant struck out looking.
B_Boyer,2237,A Rizzo,3473,2016-07-22,Anthony Rizzo grounded into a double play to second (Grounder). Dexter Fowler out at second.
B_Boyer,2237,C Yelich,1147,2016-05-01,Christian Yelich grounded out to second (Grounder).
B_Boyer,2237,S Rodriguez,6589,2016-09-21,Sean Rodriguez flied out to left (Fliner (Liner)).
B_Boyer,2237,M Ozuna,1032,2016-05-01,Marcell Ozuna grounded out to third (Grounder). Justin Bour advanced to 2B.
B_Boyer,2237,E Andrus,8709,2016-09-27,Elvis Andrus fouled out to third (Fly).
B_Boyer,2237,M Ozuna,1032,2016-05-10,Marcell Ozuna grounded out to third (Grounder).
B_Boyer,2237,C Figueroa,8790,2016-04-17,Cole Figueroa flied out to left (Fliner (Liner)).
B_Boyer,2237,J Altuve,5417,2016-04-09,Jose Altuve grounded out to third (Grounder).
B_Boyer,2237,S Smith,7331,2016-08-20,Seth Smith grounded into a double play to first (Grounder). Nori Aoki out at second.
B_Boyer,2237,B Phillips,791&,2016-09-13,Brandon Phillips struck out swinging.
B_Boyer,2237,J Harrison,8202,2016-04-17,Josh Harrison flied out to left (Fliner (Liner)).
B_Boyer,2237,M Moreland,3086,2016-09-27,Mitch Moreland grounded out to second (Grounder).
B_Boyer,2237,B Revere,4712,2016-06-26,Ben Revere grounded out to second (Grounder).
B_Boyer,2237,M Kemp,5631,2016-05-14,Matt Kemp flied out to second (Fly).
B_Boyer,2237,C Hernandez,1055,2016-06-03,Cesar Hernandez grounded out to third (Grounder).
B_Boyer,2237,J Polanco,1315,2016-04-20,Jorge Polanco flied out to shortstop (Fly).
B_Boyer,2237,B Zobrist,7435,2016-08-18,Ben Zobrist grounded out to second (Grounder).
B_Boyer,2237,C Coghlan,6878,2016-06-08,Chris Coghlan grounded out to shortstop (Grounder).
B_Boyer,2237,M Rojas,7802,2016-04-29,Miguel Rojas struck out swinging.
B_Boyer,2237,B Wallace,8434,2016-05-14,Brett Wallace grounded out to second (Grounder).
B_Boyer,2237,T Barnhart,1020,2016-05-06,Tucker Barnhart struck out swinging.
B_Boyer,2237,J Mathis,3448,2016-04-29,Jeff Mathis grounded out to shortstop (Grounder).
B_Boyer,2237,Y Molina,7007,2016-07-03,Yadier Molina grounded out to shortstop (Grounder).
B_Boyer,2237,D Ruf,9929,2016-04-22,Darin Ruf grounded out to second (Grounder).
B_Boyer,2237,K Suzuki,8259,2016-04-20,Kurt Suzuki lined out to first (Fliner (Liner)).
B_Boyer,2237,Z Cozart,2616,2016-05-06,Zack Cozart flied out to right (Fly).
B_Boyer,2237,C Hernandez,1055,2016-04-22,Cesar Hernandez grounded out to pitcher (Grounder).
B_Boyer,2237,S Schebler,1222,2016-08-13,Scott Schebler grounded out to second (Grounder).
B_Boyer,2237,B Drury,1161,2016-08-07,Brandon Drury grounded out to shortstop (Grounder).
B_Boyer,2237,A Gonzalez,1908,2016-06-30,Adrian Gonzalez grounded out to shortstop (Grounder).
B_Boyer,2237,C Utley,1679,2016-06-30,Chase Utley struck out swinging.
B_Boyer,2237,M Bourn,6387,2016-08-07,Michael Bourn struck out swinging.
B_Boyer,2237,P Goldschmidt,9218,2016-08-07,Paul Goldschmidt flied out to right (Fliner (Liner)).
B_Boyer,2237,J Lamb,1332,2016-08-07,Jake Lamb flied out to left (Fly).
B_Boyer,2237,D Fowler,4062,2016-09-06,Dexter Fowler flied out to right (Fliner (Fly)).
B_Boyer,2237,M Duffy,1383,2016-06-15,Matt Duffy flied out to center (Fliner (Fly)).
B_Boyer,2237,J Rondon,1414,2016-08-03,Jose Rondon flied out to left (Fly).
B_Boyer,2237,G Blanco,3123,2016-04-04,Gregor Blanco reached on fielder's choice to first (Grounder). Ehire Adrianza out at second.
B_Boyer,2237,G Blanco,3123,2016-06-15,Gregor Blanco flied out to third (Fly).
B_Boyer,2237,A Rosales,9682,2016-08-03,Adam Rosales walked. Yangervis Solarte advanced to 2B.
B_Boyer,2237,J Blash,1124,2016-08-03,Jabari Blash was hit by a pitch. Yangervis Solarte advanced to 3B. Adam Rosales advanced to 2B.
B_Boyer,2237,A Pagan,2918,2016-06-15,Angel Pagan doubled to right (Fliner (Fly)).
B_Boyer,2237,M Montero,3364,2016-09-06,Miguel Montero doubled to right (Fliner (Liner)).
B_Boyer,2237,R Pena,8841,2016-06-15,Ramiro Pena singled to right (Grounder). Angel Pagan scored. Jarrett Parker scored.
B_Boyer,2237,B Moss,4467,2016-07-03,Brandon Moss reached on error to second (Grounder). Error by Scooter Gennett.
B_Boyer,2237,J Peralta,1738,2016-07-03,Jhonny Peralta singled to second (Grounder). Brandon Moss advanced to 2B.
B_Boyer,2237,T Holt,1139,2016-05-29,Tyler Holt advanced on defensive indifference to 2B.
B_Boyer,2237,K Seager,9785,2016-08-20,Kyle Seager walked.
B_Boyer,2237,I De Jesus,9886,2016-05-29,Ivan De Jesus advanced on defensive indifference to 2B.
B_Boyer,2237,K Bryant,1542,2016-04-26,Kris Bryant walked.
B_Boyer,2237,K Marte,1361,2016-08-20,Ketel Marte singled to shortstop (Grounder).
B_Boyer,2237,J Jaso,5887,2016-04-17,John Jaso walked. Gregory Polanco advanced to 3B. Jordy Mercer advanced to 2B.
B_Boyer,2237,M Prado,3312,2016-04-29,Martin Prado singled to center (Grounder). Ichiro Suzuki advanced to 2B.
B_Boyer,2237,J Parker,1162,2016-06-13,Jarrett Parker walked. Matt Duffy advanced to 3B. Brandon Crawford advanced to 2B.
B_Boyer,2237,J Mercer,6547,2016-04-17,Jordy Mercer singled to right (Liner). Gregory Polanco advanced to 2B.
B_Boyer,2237,J Mercer,6547,2016-07-21,Jordy Mercer singled to center (Liner).
B_Boyer,2237,A Duvall,1095,2016-09-13,Adam Duvall doubled to right (Fliner (Fly)).
B_Boyer,2237,T Holt,1139,2016-05-29,Tyler Holt singled to center (Fliner (Liner)).
B_Boyer,2237,B Belt,1026,2016-06-13,Brandon Belt singled to left (Fliner (Fly)).
B_Boyer,2237,A McCutchen,9847,2016-08-27,Andrew McCutchen was intentionally walked.
B_Boyer,2237,M Rojas,7802,2016-05-10,Miguel Rojas singled to right (Fliner (Liner)).
B_Boyer,2237,E Nunez,6848,2016-04-18,Eduardo Nunez advanced on a stolen base to 2B.
B_Boyer,2237,T Thompson,9952,2016-06-28,Trayce Thompson singled to second (Grounder). Adrian Gonzalez advanced to 2B.
B_Boyer,2237,J Realmuto,1173,2016-05-01,J.T. Realmuto singled to center (Liner). Justin Bour advanced to 3B.
B_Boyer,2237,S Schebler,1222,2016-09-13,Scott Schebler singled to center (Grounder). Adam Duvall scored.
B_Boyer,2237,J Baez,1297,2016-04-26,Javier Baez advanced on a stolen base to 2B.
B_Boyer,2237,J Baez,1297,2016-04-26,Javier Baez singled to center (Fliner (Liner)).
B_Boyer,2237,R Cano,3269,2016-08-20,Robinson Cano doubled to left (Liner).
B_Boyer,2237,K Johnson,2234,2016-06-10,Kelly Johnson was intentionally walked.
B_Boyer,2237,D Dietrich,1054,2016-05-10,Derek Dietrich singled to right (Liner). Miguel Rojas advanced to 2B.
B_Boyer,2237,I De Jesus,9886,2016-05-29,Ivan De Jesus singled to center (Liner). Tyler Holt scored.
B_Boyer,2237,Y Molina,7007,2016-07-09,Yadier Molina doubled to right (Fliner (Liner)).
B_Boyer,2237,E Inciarte,4922,2016-05-25,Ender Inciarte singled to center (Grounder).
B_Boyer,2237,M Muncy,1330,2016-06-21,Max Muncy walked. Marcus Semien advanced to 2B.
B_Boyer,2237,B Hamilton,1019,2016-07-15,Billy Hamilton advanced on a stolen base to 3B.
B_Boyer,2237,K Bryant,1542,2016-08-16,Kris Bryant singled to third (Grounder). Matt Szczur advanced to 2B.
B_Boyer,2237,J Bour,9744,2016-04-29,Justin Bour homered (Fly).
B_Boyer,2237,B Hamilton,1019,2016-07-15,Billy Hamilton singled to catcher (Bunt Grounder). Billy Hamilton advanced to 2B on error. Error by Jonathan Lucroy.
B_Boyer,2237,T Barnhart,1020,2016-05-29,Tucker Barnhart singled to center (Fliner (Fly)). Ivan De Jesus scored.
B_Boyer,2237,A McCutchen,9847,2016-08-26,Andrew McCutchen doubled to left (Fliner (Liner)).
B_Boyer,2237,S Rodriguez,6589,2016-08-27,Sean Rodriguez singled to center (Grounder).
B_Boyer,2237,J Hammel,4538,2016-08-16,Jason Hammel hit a ground rule double (Fliner (Fly)).
B_Boyer,2237,K Davis,9112,2016-06-21,Khris Davis singled to left (Fliner (Liner)).
B_Boyer,2237,K Bryant,1542,2016-08-18,Kris Bryant homered (Fly).
B_Boyer,2237,D Fowler,4062,2016-05-18,Dexter Fowler singled to first (Grounder).
B_Boyer,2237,J Bruce,9892,2016-07-15,Jay Bruce doubled to left (Fliner (Fly)). Billy Hamilton scored.
B_Boyer,2237,J Gyorko,1081,2016-07-09,Jedd Gyorko singled to center (Fliner (Liner)). Yadier Molina scored. Jedd Gyorko out.
B_Boyer,2237,B Dozier,9810,2016-04-18,Brian Dozier doubled to center (Grounder). Eduardo Nunez scored.
B_Boyer,2237,A Russell,1410,2016-05-18,Addison Russell doubled to left (Fliner (Liner)).
B_Boyer,2237,S Piscotty,1336,2016-07-03,Stephen Piscotty homered (Fly). Tommy Pham scored. Matt Carpenter scored. Matt Holliday scored.
B_Boyer,2237,B Crawford,5343,2016-06-13,Brandon Crawford singled to center (Fliner (Liner)). Brandon Belt scored. Buster Posey scored. Matt Duffy advanced to 2B.
B_Boyer,2237,W Castillo,3256,2016-08-05,Welington Castillo walked. Paul Goldschmidt scored. Jake Lamb advanced to 3B. David Peralta advanced to 2B.
B_Boyer,2237,G Polanco,1290,2016-08-27,Gregory Polanco doubled to center (Fliner (Liner)). Sean Rodriguez scored. Josh Bell scored. Andrew McCutchen scored.
B_Boyer,2237,M Montero,3364,2016-09-16,Miguel Montero homered (Fly).
