playername,playerid,vsname,vsid,date,Play
B_Butler,7399,J Wilson,4301,2016-05-29,Billy Butler singled to right (Fliner (Fly)). Khris Davis scored. Yonder Alonso scored. Marcus Semien advanced to 3B.
B_Butler,7399,G Kontos,9486,2016-06-28,Billy Butler singled to center (Grounder). Stephen Vogt scored. Marcus Semien scored. Yonder Alonso advanced to 2B.
B_Butler,7399,R Osuna,1376,2016-09-25,Billy Butler singled to left (Fliner (Liner)). Rob Refsnyder advanced to 2B.
B_Butler,7399,J Tomlin,9388,2016-07-30,Billy Butler homered (Fly).
B_Butler,7399,M Boyd,1544,2016-05-28,Billy Butler homered (Fly).
B_Butler,7399,J Weaver,4235,2016-08-03,Billy Butler singled to center (Fliner (Liner)). Yonder Alonso advanced to 3B.
B_Butler,7399,W Saupold,1321,2016-05-28,Billy Butler singled to right (Liner). Danny Valencia scored. Khris Davis scored.
B_Butler,7399,T Rogers,1344,2016-07-04,Billy Butler singled to shortstop (Fliner (Fly)). Khris Davis advanced to 3B. Stephen Vogt advanced to 2B.
B_Butler,7399,C Sale,1060,2016-04-04,Billy Butler doubled to left (Fliner (Liner)).
B_Butler,7399,J Jeffress,9490,2016-06-07,Billy Butler reached on error to shortstop (Grounder). Jed Lowrie scored on error. Error by Jonathan Villar.
B_Butler,7399,F Hernandez,4772,2016-05-04,Billy Butler reached on fielder's choice to first (Grounder). Josh Reddick scored. Khris Davis advanced to 3B.
B_Butler,7399,F Salas,4971,2016-08-03,Billy Butler singled to right (Grounder). Khris Davis advanced to 2B.
B_Butler,7399,C Whitley,1098,2016-09-22,Billy Butler singled to right (Grounder).
B_Butler,7399,B Snell,1354,2016-07-24,Billy Butler singled to right (Fliner (Liner)). Danny Valencia scored. Khris Davis advanced to 3B.
B_Butler,7399,J Jeffress,9490,2016-08-16,Billy Butler walked.
B_Butler,7399,H Iwakuma,1304,2016-08-13,Billy Butler doubled to left (Fliner (Liner)).
B_Butler,7399,J Happ,7410,2016-04-23,Billy Butler singled to right (Liner). Jed Lowrie advanced to 2B.
B_Butler,7399,H Santiago,4026,2016-06-26,Billy Butler singled to left (Grounder).
B_Butler,7399,W Harris,3192,2016-07-08,Billy Butler doubled to left (Liner).
B_Butler,7399,C Sale,1060,2016-04-04,Billy Butler doubled to right (Liner).
B_Butler,7399,M Perez,6902,2016-07-25,Billy Butler singled to right (Fliner (Liner)).
B_Butler,7399,H Iwakuma,1304,2016-08-13,Billy Butler singled to left (Fliner (Liner)).
B_Butler,7399,J Lamb,8493,2016-06-12,Billy Butler singled to center (Grounder).
B_Butler,7399,C Hamels,4972,2016-05-17,Billy Butler walked.
B_Butler,7399,J Smith,1094,2016-06-12,Billy Butler doubled to center (Fliner (Liner)).
B_Butler,7399,C Rodon,1613,2016-04-06,Billy Butler singled to right (Grounder). Danny Valencia advanced to 2B.
B_Butler,7399,D Price,3184,2016-09-02,Billy Butler walked.
B_Butler,7399,T Bauer,1270,2016-07-29,Billy Butler singled to center (Liner).
B_Butler,7399,D Price,3184,2016-09-17,Billy Butler singled to center (Grounder).
B_Butler,7399,C Sabathia,404&,2016-05-20,Billy Butler walked.
B_Butler,7399,C Ramos,3357,2016-06-13,Billy Butler walked. Khris Davis advanced to 2B.
B_Butler,7399,S O'Sullivan,9137,2016-05-10,Billy Butler singled to center (Fliner (Liner)).
B_Butler,7399,J Wilson,4301,2016-04-25,Billy Butler doubled to center (Fliner (Fly)).
B_Butler,7399,J Lamb,8493,2016-06-12,Billy Butler singled to right (Fliner (Fly)). Khris Davis advanced to 2B.
B_Butler,7399,W Miley,8779,2016-10-01,Billy Butler singled to left (Liner).
B_Butler,7399,P Dean,1135,2016-06-01,Jake Smolinski advanced on a wild pitch to 2B.
B_Butler,7399,J Verlander,8700,2016-04-27,Billy Butler doubled to center (Fly). Jed Lowrie scored.
B_Butler,7399,K Gausman,1410,2016-08-08,Billy Butler singled to center (Fliner (Liner)).
