playername,playerid,vsname,vsid,date,Play
B_Colon,375&,J Panik,1193,2016-08-20,Joe Panik grounded into a double play to shortstop (Grounder). Hunter Pence out at second.
B_Colon,375&,H Perez,5751,2016-06-09,Hernan Perez grounded into a double play to pitcher (Grounder). Kirk Nieuwenhuis out at second.
B_Colon,375&,A Blanco,1907,2016-10-01,Andres Blanco grounded into a double play to second (Grounder). Cesar Hernandez out at second.
B_Colon,375&,J Peraza,1359,2016-09-05,Jose Peraza lined out to third (Liner).
B_Colon,375&,B Zobrist,7435,2016-07-02,Ben Zobrist non-force gdp to first (Grounder). Jake Arrieta out at second.
B_Colon,375&,G Sanchez,1144,2016-08-04,Gary Sanchez grounded out to pitcher (Grounder).
B_Colon,375&,J Blash,1124,2016-05-07,Jabari Blash struck out looking.
B_Colon,375&,Z Cozart,2616,2016-09-05,Zack Cozart grounded into a double play to third (Grounder). Jose Peraza out at second.
B_Colon,375&,J Peraza,1359,2016-09-05,Jose Peraza flied out to right (Fliner (Liner)).
B_Colon,375&,E Nunez,6848,2016-08-20,Eduardo Nunez struck out swinging.
B_Colon,375&,A Rendon,1286,2016-05-18,Anthony Rendon flied out to second (Fliner (Fly)).
B_Colon,375&,A Diaz,1593,2016-07-26,Aledmys Diaz grounded into a double play to third (Grounder). Greg Garcia out at second.
B_Colon,375&,R Flores,1116,2016-06-09,Ramon Flores flied out to shortstop (Fly).
B_Colon,375&,B Posey,9166,2016-08-20,Buster Posey grounded out to second (Grounder).
B_Colon,375&,J Kipnis,9776,2016-04-15,Jason Kipnis flied out to third (Fliner (Liner)).
B_Colon,375&,C Hernandez,1055,2016-08-26,Cesar Hernandez flied out to center (Fliner (Liner)).
B_Colon,375&,J Esch,1275,2016-08-31,Jake Esch struck out swinging.
B_Colon,375&,T Naquin,1335,2016-04-15,Tyler Naquin reached on fielder's choice to pitcher (Bunt Grounder). Marlon Byrd out at third. Juan Uribe advanced to 2B.
B_Colon,375&,R Braun,3410,2016-06-09,Ryan Braun grounded into a double play to shortstop (Grounder). Scooter Gennett out at second.
B_Colon,375&,H Perez,5751,2016-06-09,Hernan Perez was caught stealing.
B_Colon,375&,D Dietrich,1054,2016-06-04,Derek Dietrich lined out to second (Liner).
B_Colon,375&,M Prado,3312,2016-06-04,Martin Prado reached on fielder's choice to third (Grounder). Miguel Rojas out at third. Justin Nicolino advanced to 2B.
B_Colon,375&,J Esch,1275,2016-08-31,Jake Esch grounded out to pitcher (Grounder).
B_Colon,375&,J Werth,1327,2016-07-07,Jayson Werth grounded out to third (Grounder).
B_Colon,375&,J Lamb,1332,2016-08-10,Jake Lamb grounded out to pitcher (Grounder).
B_Colon,375&,A Gonzalez,1908,2016-05-12,Adrian Gonzalez flied out to right (Fly).
B_Colon,375&,B Harper,1157,2016-07-07,Bryce Harper grounded into a double play to second (Grounder). Daniel Murphy out at second.
B_Colon,375&,J Jay,5227,2016-05-07,Jon Jay flied out to center (Fly).
B_Colon,375&,Y Gomes,9627,2016-04-15,Yan Gomes struck out swinging.
B_Colon,375&,C Hernandez,1055,2016-04-09,Cesar Hernandez was caught stealing.
B_Colon,375&,X Scruggs,7409,2016-08-31,Xavier Scruggs struck out swinging.
B_Colon,375&,A Ramirez,5133,2016-05-07,Alexei Ramirez flied out to left (Fly).
B_Colon,375&,J Garcia,8137,2016-07-26,Jaime Garcia struck out swinging.
B_Colon,375&,M Montero,3364,2016-07-20,Miguel Montero flied out to left (Fliner (Liner)).
B_Colon,375&,M Franco,1217,2016-04-20,Maikel Franco flied out to center (Fliner (Liner)).
B_Colon,375&,M Rojas,7802,2016-08-31,Miguel Rojas grounded out to shortstop (Grounder). J.T. Realmuto advanced to 3B.
B_Colon,375&,M Kemp,5631,2016-05-07,Matt Kemp grounded out to second (Grounder).
B_Colon,375&,K Nieuwenhuis,6400,2016-06-09,Kirk Nieuwenhuis struck out swinging.
B_Colon,375&,Y Tomas,1717,2016-08-15,Yasmany Tomas flied out to right (Fliner (Liner)).
B_Colon,375&,A Ramirez,5133,2016-05-07,Alexei Ramirez fouled out to shortstop (Fly).
B_Colon,375&,A Altherr,1127,2016-10-01,Aaron Altherr flied out to third (Fly).
B_Colon,375&,C Owings,1003,2016-08-10,Chris Owings grounded out to pitcher (Grounder).
B_Colon,375&,B Drury,1161,2016-08-10,Brandon Drury flied out to first (Fly).
B_Colon,375&,A Diaz,1593,2016-07-26,Aledmys Diaz flied out to center (Fliner (Fly)).
B_Colon,375&,I De Jesus,9886,2016-04-26,Ivan De Jesus grounded out to shortstop (Grounder).
B_Colon,375&,F Lindor,1291,2016-04-15,Francisco Lindor flied out to center (Fly).
B_Colon,375&,C Rupp,1114,2016-08-26,Cameron Rupp struck out looking.
B_Colon,375&,Y Puig,1422,2016-05-29,Yasiel Puig fouled out to first (Fliner (Fly)).
B_Colon,375&,M Bourn,6387,2016-08-10,Michael Bourn grounded out to first (Grounder).
B_Colon,375&,H Pence,8252,2016-08-20,Hunter Pence flied out to center (Fly).
B_Colon,375&,G Stanton,4949,2016-06-04,Giancarlo Stanton grounded into a double play to pitcher (Grounder). Christian Yelich out at second.
B_Colon,375&,P Bourjos,2578,2016-04-20,Peter Bourjos flied out to right (Fly).
B_Colon,375&,B Snyder,9856,2016-09-10,Brandon Snyder flied out to right (Fly).
B_Colon,375&,P Bourjos,2578,2016-04-20,Peter Bourjos grounded out to second (Grounder).
B_Colon,375&,B Finnegan,1620,2016-04-26,Brandon Finnegan struck out looking.
B_Colon,375&,A McCutchen,9847,2016-06-16,Andrew McCutchen flied out to right (Fly).
B_Colon,375&,S Castro,4579,2016-08-04,Starlin Castro grounded out to shortstop (Grounder).
B_Colon,375&,A Russell,1410,2016-07-02,Addison Russell flied out to left (Fly).
B_Colon,375&,S Brito,1294,2016-08-10,Socrates Brito fouled out to catcher (Fly).
B_Colon,375&,A Garcia,1377,2016-09-21,Adonis Garcia grounded out to pitcher (Grounder).
B_Colon,375&,J Weeks,2498,2016-05-07,Jemile Weeks sacrificed to pitcher (Bunt Grounder). Derek Norris advanced to 2B.
