playername,playerid,vsname,vsid,date,Play
B_Crawford,5343,B Hand,9111,2016-05-25,Brandon Crawford singled to center (Fliner (Fly)). Matt Duffy scored.
B_Crawford,5343,D Hayes,1052,2016-05-02,Brandon Crawford homered (Fliner (Fly)). Brandon Belt scored. Gregor Blanco scored.
B_Crawford,5343,M Rzepczynski,6612,2016-06-28,Brandon Crawford tripled to center (Fliner (Liner)). Jarrett Parker scored. Denard Span scored. Buster Posey scored.
B_Crawford,5343,D McGowan,8600,2016-08-08,Brandon Crawford tripled to right (Fliner (Liner)).
B_Crawford,5343,B Ziegler,7293,2016-05-15,Brandon Crawford singled to right (Grounder). Hunter Pence scored. Brandon Belt advanced to 3B. Brandon Crawford advanced to 2B.
B_Crawford,5343,K Graveman,1551,2016-06-28,Brandon Crawford doubled to right (Fly). Angel Pagan scored. Buster Posey scored.
B_Crawford,5343,E Ramirez,1031,2016-06-18,Brandon Crawford singled to right (Fliner (Liner)). Buster Posey scored. Brandon Crawford out.
B_Crawford,5343,B Oberholtzer,3855,2016-06-26,Brandon Crawford singled to center (Liner). Angel Pagan scored.
B_Crawford,5343,C Archer,6345,2016-06-17,Brandon Crawford doubled to center (Fliner (Fly)). Brandon Belt scored. Buster Posey scored.
B_Crawford,5343,C Rea,1231,2016-05-17,Brandon Crawford homered (Fly). Brandon Belt scored. Hunter Pence scored.
B_Crawford,5343,B Boyer,2237,2016-06-13,Brandon Crawford singled to center (Fliner (Liner)). Brandon Belt scored. Buster Posey scored. Matt Duffy advanced to 2B.
B_Crawford,5343,I Nova,1994,2016-08-17,Brandon Crawford tripled to right (Fly). Angel Pagan scored. Buster Posey scored.
B_Crawford,5343,C Kershaw,2036,2016-10-01,Brandon Crawford singled to third (Grounder). Angel Pagan scored on error. Brandon Crawford advanced to 3B. Error by Justin Turner.
B_Crawford,5343,M Garza,3340,2016-06-14,Brandon Crawford singled to left (Grounder). Joe Panik scored. Buster Posey advanced to 3B.
B_Crawford,5343,R Porcello,2717,2016-06-07,Brandon Crawford walked. Joe Panik scored. Matt Duffy advanced to 3B. Brandon Belt advanced to 2B.
B_Crawford,5343,N Wittgren,1559,2016-08-08,Hunter Pence advanced on a wild pitch to 3B. Brandon Crawford scored.
