playername,playerid,vsname,vsid,date,Play
B_Ellington,1723,A Rendon,1286,2016-09-19,Anthony Rendon grounded into a double play to third (Grounder). Jayson Werth out at second.
B_Ellington,1723,B Crawford,5343,2016-08-09,Brandon Crawford flied out to left (Fliner (Fly)).
B_Ellington,1723,A Duvall,1095,2016-08-15,Adam Duvall flied out to right (Fly).
B_Ellington,1723,B Crawford,5343,2016-08-10,Brandon Crawford grounded into a double play to first (Grounder). Buster Posey out at second.
B_Ellington,1723,C Gillaspie,9009,2016-08-08,Conor Gillaspie flied out to center (Fly).
B_Ellington,1723,A Recker,4063,2016-09-24,Anthony Recker struck out looking.
B_Ellington,1723,T Story,1256,2016-06-20,Trevor Story struck out looking.
B_Ellington,1723,T Flowers,9134,2016-09-12,Tyler Flowers flied out to right (Fliner (Fly)).
B_Ellington,1723,C Heisey,3978,2016-10-02,Chris Heisey flied out to second (Fly).
B_Ellington,1723,R Raburn,2218,2016-08-05,Ryan Raburn struck out swinging.
B_Ellington,1723,K Bryant,1542,2016-06-24,Kris Bryant struck out swinging.
B_Ellington,1723,M Szczur,1125,2016-06-24,Matt Szczur flied out to right (Fliner (Fly)).
B_Ellington,1723,J Lobaton,4243,2016-09-30,Jose Lobaton grounded out to second (Grounder).
B_Ellington,1723,T Wood,9884,2016-06-24,Travis Wood struck out swinging.
B_Ellington,1723,J Mauer,1857,2016-06-08,Joe Mauer struck out swinging.
B_Ellington,1723,Y Cespedes,1311,2016-09-26,Yoenis Cespedes flied out to third (Fly).
B_Ellington,1723,W Ramos,1433,2016-09-19,Wilson Ramos flied out to center (Fly).
B_Ellington,1723,W Castillo,3256,2016-06-10,Welington Castillo struck out swinging.
B_Ellington,1723,J Reyes,1736,2016-09-26,Jose Reyes flied out to center (Fliner (Fly)).
B_Ellington,1723,M Franco,1217,2016-09-05,Maikel Franco fouled out to catcher (Fly).
B_Ellington,1723,C Coghlan,6878,2016-06-24,Chris Coghlan struck out swinging.
B_Ellington,1723,A Ramirez,5133,2016-06-15,Alexei Ramirez lined out to second (Liner).
B_Ellington,1723,M Aviles,5986,2016-06-28,Mike Aviles fouled out to first (Fly).
B_Ellington,1723,W Contreras,1160,2016-06-26,Willson Contreras struck out swinging.
B_Ellington,1723,J Loney,4556,2016-09-28,James Loney flied out to left (Fliner (Fly)).
B_Ellington,1723,J Iglesias,1023,2016-06-28,Jose Iglesias flied out to right (Fliner (Fly)).
B_Ellington,1723,C Maybin,5223,2016-06-28,Cameron Maybin grounded out to third (Grounder).
B_Ellington,1723,A De Aza,3371,2016-09-01,Alejandro De Aza flied out to center (Fly).
B_Ellington,1723,M Montero,3364,2016-06-26,Miguel Montero flied out to right (Fliner (Fly)). Anthony Rizzo advanced to 3B.
B_Ellington,1723,Y Solarte,5352,2016-06-15,Yangervis Solarte grounded out to second (Grounder).
B_Ellington,1723,R Rivera,3648,2016-09-28,Rene Rivera grounded out to shortstop (Grounder).
B_Ellington,1723,I Kinsler,6195,2016-06-28,Ian Kinsler flied out to second (Fly).
B_Ellington,1723,E Suarez,1255,2016-08-16,Eugenio Suarez struck out looking.
B_Ellington,1723,I De Jesus,9886,2016-08-18,Ivan De Jesus struck out swinging.
B_Ellington,1723,L Chisenhall,7571,2016-09-03,Lonnie Chisenhall flied out to right (Fliner (Fly)).
B_Ellington,1723,J Votto,4314,2016-08-18,Joey Votto lined out to first (Liner).
B_Ellington,1723,N Markakis,5930,2016-06-30,Nick Markakis grounded out to pitcher (Grounder).
B_Ellington,1723,A Garcia,1377,2016-06-30,Adonis Garcia struck out swinging.
B_Ellington,1723,R Hill,4806,2016-09-10,Rich Hill struck out looking.
B_Ellington,1723,T Naquin,1335,2016-09-03,Tyler Naquin grounded out to shortstop (Grounder).
B_Ellington,1723,H Kendrick,4229,2016-09-10,Howie Kendrick fouled out to right (Fly).
B_Ellington,1723,J Votto,4314,2016-08-16,Joey Votto hit a sacrifice fly to left (Fly). Tony Renda scored.
B_Ellington,1723,J Peterson,1232,2016-06-30,Jace Peterson flied out to left (Fly). Emilio Bonifacio advanced to 3B.
B_Ellington,1723,M Franco,1217,2016-09-17,Maikel Franco flied out to center (Fly).
B_Ellington,1723,K Wong,1253,2016-07-30,Kolten Wong flied out to center (Fly).
B_Ellington,1723,J Hellickson,4371,2016-09-17,Jeremy Hellickson struck out looking.
B_Ellington,1723,R Grichuk,1024,2016-07-30,Randal Grichuk struck out swinging.
B_Ellington,1723,A Altherr,1127,2016-09-17,Aaron Altherr struck out looking.
B_Ellington,1723,S Piscotty,1336,2016-07-30,Stephen Piscotty reached on interference. Error by Jeff Mathis.
B_Ellington,1723,H Sanchez,1028,2016-06-13,Hector Sanchez walked.
B_Ellington,1723,F Freeman,5361,2016-06-30,Freddie Freeman was intentionally walked.
B_Ellington,1723,P Goldschmidt,9218,2016-06-10,Paul Goldschmidt was intentionally walked.
B_Ellington,1723,R Grossman,5254,2016-06-08,Robbie Grossman walked.
B_Ellington,1723,M Upton Jr.,5015,2016-06-15,Melvin Upton Jr. was hit by a pitch.
B_Ellington,1723,V Martinez,393&,2016-06-28,Victor Martinez singled to right (Grounder).
B_Ellington,1723,R Cabrera,1032,2016-08-18,Ramon Cabrera singled to right (Fliner (Liner)).
B_Ellington,1723,L Duda,2502,2016-09-26,Lucas Duda walked.
B_Ellington,1723,P Bourjos,2578,2016-09-05,Peter Bourjos advanced on a stolen base to 2B.
B_Ellington,1723,A Rizzo,3473,2016-06-26,Anthony Rizzo singled to right (Fliner (Fly)).
B_Ellington,1723,E Bonifacio,4054,2016-06-30,Emilio Bonifacio reached on error to third (Grounder). Emilio Bonifacio advanced to 2B. Error by Martin Prado.
B_Ellington,1723,C d'Arnaud,6652,2016-06-30,Chase d'Arnaud hit a ground rule double (Fliner (Fly)). Emilio Bonifacio scored.
B_Ellington,1723,S Kieboom,1330,2016-10-02,Spencer Kieboom walked.
B_Ellington,1723,Z Cozart,2616,2016-08-16,Zack Cozart walked. Tony Renda advanced to 2B.
B_Ellington,1723,N Hundley,3376,2016-08-05,Nick Hundley walked. Mark Reynolds advanced to 3B. Daniel Descalso advanced to 2B.
B_Ellington,1723,A Pagan,2918,2016-08-09,Angel Pagan singled to left (Grounder).
B_Ellington,1723,J Pederson,1189,2016-09-10,Joc Pederson homered (Fliner (Liner)).
B_Ellington,1723,B Revere,4712,2016-10-02,Ben Revere singled to left (Grounder). Spencer Kieboom scored. Trea Turner advanced to 2B.
B_Ellington,1723,B Belt,1026,2016-08-09,Brandon Belt walked. Angel Pagan advanced to 2B.
B_Ellington,1723,J Werth,1327,2016-09-19,Jayson Werth singled to shortstop (Grounder).
B_Ellington,1723,J Paredes,5481,2016-09-05,Jimmy Paredes singled to right (Grounder). Freddy Galvis scored. Peter Bourjos scored.
B_Ellington,1723,J Votto,4314,2016-08-15,Joey Votto walked. Ivan De Jesus advanced to 2B.
B_Ellington,1723,J Peterson,1232,2016-09-12,Jace Peterson hit a ground rule double (Fliner (Fly)).
B_Ellington,1723,T Turner,1625,2016-10-02,Trea Turner singled to center (Grounder). Pedro Severino scored. Spencer Kieboom advanced to 2B.
B_Ellington,1723,D LeMahieu,9874,2016-06-20,DJ LeMahieu singled to right (Fliner (Liner)). Cristhian Adames advanced to 3B. Charlie Blackmon advanced to 2B.
B_Ellington,1723,M Reynolds,7619,2016-06-20,Mark Reynolds homered (Fliner (Fly)).
