playername,playerid,vsname,vsid,date,Play
B_Flynn,1202,E Escobar,6153,2016-09-27,Eduardo Escobar grounded into a double play to shortstop (Grounder). Logan Schafer out at second.
B_Flynn,1202,M Kepler,1214,2016-08-19,Max Kepler reached on fielder's choice to shortstop (Grounder). Trevor Plouffe out at second.
B_Flynn,1202,J Mauer,1857,2016-08-19,Joe Mauer struck out looking.
B_Flynn,1202,M Sano,1216,2016-09-27,Miguel Sano flied out to second (Fly).
B_Flynn,1202,F Galvis,6609,2016-07-01,Freddy Galvis lined out to pitcher (Liner). Cameron Rupp out at third.
B_Flynn,1202,E Rosario,1215,2016-09-05,Eddie Rosario flied out to third (Fly).
B_Flynn,1202,N Markakis,5930,2016-05-15,Nick Markakis struck out swinging.
B_Flynn,1202,A Judge,1564,2016-08-29,Aaron Judge struck out swinging.
B_Flynn,1202,E Escobar,6153,2016-09-05,Eduardo Escobar grounded out to third (Grounder).
B_Flynn,1202,J Bradley Jr.,1298,2016-05-18,Jackie Bradley Jr. struck out swinging.
B_Flynn,1202,O Herrera,1147,2016-07-01,Odubel Herrera lined out to shortstop (Liner).
B_Flynn,1202,K Seager,9785,2016-07-10,Kyle Seager non-force gdp to first (Grounder). Robinson Cano out at second.
B_Flynn,1202,F Lindor,1291,2016-07-19,Francisco Lindor reached on fielder's choice to third (Grounder). Jason Kipnis out at second.
B_Flynn,1202,M Smith,1360,2016-05-15,Mallex Smith sacrificed to first (Bunt Grounder). Chase d'Arnaud advanced to 2B.
B_Flynn,1202,S Smith,7331,2016-07-10,Seth Smith struck out swinging.
B_Flynn,1202,D Gregorius,6012,2016-08-30,Didi Gregorius flied out to left (Fly).
B_Flynn,1202,R Davis,3708,2016-07-19,Rajai Davis flied out to right (Fly).
B_Flynn,1202,N Cruz,2434,2016-07-08,Nelson Cruz struck out swinging.
B_Flynn,1202,A De Aza,3371,2016-06-22,Alejandro De Aza struck out looking.
B_Flynn,1202,N Cruz,2434,2016-07-10,Nelson Cruz struck out swinging.
B_Flynn,1202,M Conforto,1637,2016-06-22,Michael Conforto struck out swinging.
B_Flynn,1202,S Castro,4579,2016-05-10,Starlin Castro lined out to second (Liner).
B_Flynn,1202,L Martin,1184,2016-07-08,Leonys Martin flied out to first (Fly).
B_Flynn,1202,C Granderson,4747,2016-06-22,Curtis Granderson grounded out to second (Grounder).
