playername,playerid,vsname,vsid,date,Play
B_Hamilton,1019,W Smith,8048,2016-07-17,Billy Hamilton advanced on a passed ball to score. Passed ball by Jonathan Lucroy.
B_Hamilton,1019,C Friedrich,7942,2016-06-23,Billy Hamilton doubled to left (Grounder). Zack Cozart scored. Billy Hamilton advanced to 3B on error. Error by Yangervis Solarte.
B_Hamilton,1019,T Chatwood,4338,2016-06-01,Billy Hamilton doubled to center (Grounder). Ramon Cabrera scored. Zack Cozart scored.
B_Hamilton,1019,M Bowman,1352,2016-08-09,Billy Hamilton singled to second (Grounder). Tyler Holt scored on error. Billy Hamilton Error by Matt Carpenter.
B_Hamilton,1019,J Lackey,1507,2016-07-05,"Joey Votto advanced on a passed ball to 2B, advanced to 3B on error. Error by David Ross. Passed ball by David Ross."
B_Hamilton,1019,J Garcia,8137,2016-09-03,Joey Votto advanced on a passed ball to 2B. Billy Hamilton scored. Zack Cozart advanced to 3B. Passed ball by Alberto Rosario.
B_Hamilton,1019,Y Darvish,1307,2016-08-24,Billy Hamilton singled to shortstop (Grounder). Tony Renda advanced to 3B on error. Billy Hamilton advanced to 2B. Error by Elvis Andrus.
B_Hamilton,1019,C Rea,1231,2016-06-24,Billy Hamilton tripled to right (Liner).
B_Hamilton,1019,Z Duke,3840,2016-09-02,Billy Hamilton singled to left (Grounder). Ivan De Jesus advanced to 3B.
B_Hamilton,1019,J Fernandez,1153,2016-07-08,Billy Hamilton singled to right (Liner). Billy Hamilton advanced to 2B on error. Error by Giancarlo Stanton.
B_Hamilton,1019,N Wittgren,1559,2016-08-17,Billy Hamilton singled to pitcher (Grounder).
B_Hamilton,1019,J Tomlin,9388,2016-05-19,Billy Hamilton doubled to right (Fliner (Liner)).
B_Hamilton,1019,T Wood,9884,2016-07-05,Billy Hamilton doubled to right (Fliner (Liner)).
B_Hamilton,1019,R Vogelsong,1011,2016-04-08,Billy Hamilton singled to left (Grounder). Jay Bruce scored. Adam Duvall advanced to 3B.
B_Hamilton,1019,C Bettis,1058,2016-05-30,Billy Hamilton singled to left (Fliner (Liner)). Eugenio Suarez advanced to 2B.
B_Hamilton,1019,K Siegrist,8180,2016-08-09,Billy Hamilton walked.
B_Hamilton,1019,G Cole,1312,2016-04-09,Billy Hamilton doubled to left (Fliner (Liner)).
B_Hamilton,1019,J Nelson,1054,2016-05-29,Billy Hamilton doubled to center (Grounder).
B_Hamilton,1019,J Garcia,8137,2016-06-08,Billy Hamilton singled to shortstop (Grounder). Billy Hamilton advanced to 2B on error. Error by Aledmys Diaz.
B_Hamilton,1019,Z Davies,1318,2016-07-17,Billy Hamilton singled to pitcher (Bunt Grounder). Zack Cozart advanced to 2B.
B_Hamilton,1019,D Otero,7385,2016-05-18,Billy Hamilton singled to left (Liner).
B_Hamilton,1019,K Siegrist,8180,2016-08-09,Billy Hamilton advanced on a stolen base to 2B.
B_Hamilton,1019,M Garza,3340,2016-07-15,Billy Hamilton singled to shortstop (Grounder).
B_Hamilton,1019,G Cole,1312,2016-08-07,Billy Hamilton hit a ground rule double (Fliner (Fly)).
B_Hamilton,1019,H Strickland,7836,2016-07-25,Billy Hamilton singled to third (Bunt Grounder). Eugenio Suarez scored. Tucker Barnhart advanced to 2B.
B_Hamilton,1019,M Cain,4732,2016-07-26,Billy Hamilton singled to right (Grounder). Eugenio Suarez scored.
B_Hamilton,1019,N Syndergaard,1176,2016-04-25,Billy Hamilton singled to second (Bunt Fly).
B_Hamilton,1019,M Wisler,1280,2016-07-18,Billy Hamilton singled to center (Grounder).
B_Hamilton,1019,B Colon,375&,2016-04-26,Billy Hamilton singled to first (Grounder).
B_Hamilton,1019,T Wood,9884,2016-07-05,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,M Wisler,1280,2016-07-18,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,N Syndergaard,1176,2016-04-25,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,R Ray,1148,2016-07-23,Billy Hamilton singled to left (Liner).
B_Hamilton,1019,J Garcia,8137,2016-06-08,Billy Hamilton singled to left (Liner).
B_Hamilton,1019,M Leake,1013,2016-06-07,Billy Hamilton singled to left (Liner). Adam Duvall advanced to 2B.
B_Hamilton,1019,G Cole,1312,2016-08-07,Billy Hamilton walked.
B_Hamilton,1019,M Leake,1013,2016-08-09,Billy Hamilton singled to right (Fliner (Liner)).
B_Hamilton,1019,Z Davies,1318,2016-08-13,Billy Hamilton singled to second (Grounder).
B_Hamilton,1019,M Leake,1013,2016-08-04,Billy Hamilton singled to center (Grounder).
B_Hamilton,1019,B Anderson,8223,2016-08-20,Billy Hamilton singled to center (Grounder).
B_Hamilton,1019,Z Godley,1486,2016-08-27,Billy Hamilton singled to left (Liner).
B_Hamilton,1019,J Garcia,8137,2016-09-03,Billy Hamilton singled to left (Grounder).
B_Hamilton,1019,F Liriano,3201,2016-04-30,Billy Hamilton singled to third (Grounder). Jay Bruce advanced to 2B.
B_Hamilton,1019,M Wisler,1280,2016-07-18,Billy Hamilton balked to 2B.
B_Hamilton,1019,S Kazmir,4897,2016-08-22,Billy Hamilton walked.
B_Hamilton,1019,J Niese,4424,2016-05-09,Billy Hamilton singled to right (Fliner (Liner)).
B_Hamilton,1019,W Miley,8779,2016-05-22,Billy Hamilton was hit by a pitch.
B_Hamilton,1019,M Leake,1013,2016-06-07,Billy Hamilton homered (Fly).
B_Hamilton,1019,J Johnson,3656,2016-07-19,Billy Hamilton singled to shortstop (Grounder).
B_Hamilton,1019,M Socolovich,6697,2016-09-03,Billy Hamilton singled to pitcher (Grounder).
B_Hamilton,1019,G Cole,1312,2016-08-07,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,R Ray,1148,2016-07-23,Billy Hamilton advanced on a wild pitch to 3B.
B_Hamilton,1019,G Cole,1312,2016-08-07,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,A Bradley,1291,2016-07-22,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,W Smith,8048,2016-07-17,Billy Hamilton advanced on a stolen base to 3B.
B_Hamilton,1019,M Shoemaker,4776,2016-08-29,Billy Hamilton advanced on a stolen base to 2B.
B_Hamilton,1019,J Hughes,9325,2016-08-07,Billy Hamilton singled to left (Grounder). Tony Renda advanced to 3B.
B_Hamilton,1019,M Belisle,1837,2016-07-02,Zack Cozart advanced on a wild pitch to 2B. Billy Hamilton scored. Tucker Barnhart advanced to 3B.
B_Hamilton,1019,G Cole,1312,2016-08-07,Billy Hamilton advanced on a stolen base to 2B.
B_Hamilton,1019,J Arrieta,4153,2016-06-27,Billy Hamilton walked.
B_Hamilton,1019,M Leake,1013,2016-08-09,Billy Hamilton advanced on error to 2B. Error by Mike Leake.
B_Hamilton,1019,R Ray,1148,2016-07-23,Billy Hamilton advanced on a stolen base to 2B.
B_Hamilton,1019,A Wainwright,2233,2016-08-02,Billy Hamilton advanced on a stolen base to 2B.
B_Hamilton,1019,A Reyes,1501,2016-09-02,Billy Hamilton advanced on error to 2B. Error by Alex Reyes.
B_Hamilton,1019,J Niese,4424,2016-05-09,Billy Hamilton singled to right (Grounder).
