playername,playerid,vsname,vsid,date,Play
B_Holaday,1128,C Rodon,1613,2016-05-10,Bryan Holaday homered (Fliner (Fly)). Ryan Rua scored. Elvis Andrus scored.
B_Holaday,1128,A Sanchez,1149,2016-05-15,Bryan Holaday doubled to center (Fliner (Fly)). Ryan Rua scored.
B_Holaday,1128,V Worley,6435,2016-04-15,Bryan Holaday was hit by a pitch. Ian Desmond scored. Rougned Odor advanced to 3B. Elvis Andrus advanced to 2B.
B_Holaday,1128,C McHugh,7531,2016-06-09,Bryan Holaday singled to left (Grounder). Mitch Moreland advanced to 3B.
B_Holaday,1128,F Liriano,3201,2016-05-29,Bryan Holaday doubled to left (Grounder).
B_Holaday,1128,J Odorizzi,6397,2016-08-25,Bryan Holaday singled to right (Fly).
B_Holaday,1128,S Carroll,888&,2016-05-10,Bryan Holaday doubled to left (Grounder). Elvis Andrus advanced to 3B.
B_Holaday,1128,C Sabathia,404&,2016-09-18,Bryan Holaday singled to right (Fliner (Liner)).
B_Holaday,1128,C Sabathia,404&,2016-04-27,Bryan Holaday walked.
B_Holaday,1128,C Kluber,2429,2016-05-31,Bryan Holaday singled to left (Fliner (Liner)).
B_Holaday,1128,J Quintana,1142,2016-04-22,Bryan Holaday singled to left (Grounder).
B_Holaday,1128,B McCarthy,4662,2016-08-07,Bryan Holaday walked. Brock Holt advanced to 2B.
B_Holaday,1128,D Keuchel,9434,2016-04-21,Bryan Holaday singled to left (Liner).
B_Holaday,1128,C Archer,6345,2016-09-23,Bryan Holaday singled to right (Grounder).
B_Holaday,1128,J Tomlin,9388,2016-05-30,Bryan Holaday singled to right (Liner).
B_Holaday,1128,P Corbin,9323,2016-08-12,Bryan Holaday advanced on a wild pitch to 2B.
B_Holaday,1128,D O'Day,3321,2016-04-15,Bryan Holaday singled to left (Liner).
B_Holaday,1128,J Fields,5070,2016-04-21,Bryan Holaday walked.
B_Holaday,1128,J Happ,7410,2016-05-05,Bryan Holaday walked.
B_Holaday,1128,R Tepera,1029,2016-05-05,Bryan Holaday singled to left (Grounder). Mitch Moreland scored. Ryan Rua advanced to 2B.
B_Holaday,1128,V Nuno,9674,2016-04-12,Bryan Holaday flied out to first (Fly).
B_Holaday,1128,R Merritt,1368,2016-05-30,Bryan Holaday flied out to center (Fly).
B_Holaday,1128,R Merritt,1368,2016-05-30,Bryan Holaday grounded out to third (Grounder).
B_Holaday,1128,N Feliz,18&p,2016-05-29,Bryan Holaday grounded out to third (Grounder).
B_Holaday,1128,M Albers,4300,2016-04-22,Bryan Holaday flied out to center (Fly).
B_Holaday,1128,S Cishek,6483,2016-04-06,Bryan Holaday flied out to center (Fliner (Fly)).
B_Holaday,1128,Z Godley,1486,2016-08-12,Bryan Holaday grounded out to third (Grounder).
B_Holaday,1128,H Hembree,1163,2016-06-26,Bryan Holaday struck out swinging.
