playername,playerid,vsname,vsid,date,Play
B_Holt,9345,C Martin,1218,2016-08-04,Brock Holt singled to center (Grounder). Travis Shaw scored.
B_Holt,9345,N Martinez,1273,2016-07-04,Brock Holt homered (Fly). Hanley Ramirez scored.
B_Holt,9345,M Andriese,1202,2016-09-24,Brock Holt doubled to center (Fliner (Fly)). Mookie Betts scored.
B_Holt,9345,J Peavy,1051,2016-07-19,Brock Holt homered (Fliner (Fly)).
B_Holt,9345,X Cedeno,36&p,2016-04-21,Brock Holt singled to shortstop (Grounder). Travis Shaw advanced to 3B. Brock Holt advanced to 2B on error. Error by Tim Beckham.
B_Holt,9345,M Stroman,1343,2016-04-08,Brock Holt doubled to center (Fliner (Fly)). Travis Shaw scored.
B_Holt,9345,E Ramirez,1031,2016-08-31,Brock Holt singled to left (Grounder). Hanley Ramirez advanced to 3B.
B_Holt,9345,T Lincecum,5705,2016-07-29,Brock Holt singled to right (Grounder). Aaron Hill advanced to 3B. Ryan Hanigan advanced to 2B.
B_Holt,9345,M Pineda,5372,2016-05-06,Brock Holt singled to center (Fliner (Liner)). Hanley Ramirez advanced to 3B. Travis Shaw advanced to 2B.
B_Holt,9345,A Griffin,1113,2016-07-05,Brock Holt doubled to left (Fliner (Fly)).
B_Holt,9345,M Wisler,1280,2016-04-26,Brock Holt doubled to second (Fliner (Fly)). Jackie Bradley Jr. scored.
B_Holt,9345,R Nolasco,3830,2016-07-23,Dustin Pedroia advanced on a wild pitch to 3B. Brock Holt scored. David Ortiz
B_Holt,9345,M Tanaka,1576,2016-04-29,Brock Holt singled to left (Grounder). Travis Shaw advanced to 2B.
B_Holt,9345,K Gibson,1012,2016-07-22,Brock Holt walked.
B_Holt,9345,M Fulmer,1321,2016-07-27,Brock Holt singled to center (Fliner (Liner)).
B_Holt,9345,J Chacin,2608,2016-07-01,Brock Holt doubled to left (Fliner (Liner)).
B_Holt,9345,J Chacin,2608,2016-07-01,Brock Holt doubled to left (Fly). Jackie Bradley Jr. scored.
B_Holt,9345,D Barnes,1138,2016-09-09,Brock Holt doubled to left (Liner).
B_Holt,9345,Y Gallardo,8173,2016-04-11,Brock Holt walked.
B_Holt,9345,C McHugh,7531,2016-05-14,Brock Holt singled to center (Fliner (Liner)).
B_Holt,9345,U Jimenez,3374,2016-04-13,Brock Holt walked.
B_Holt,9345,J Diekman,5003,2016-07-05,Brock Holt was hit by a pitch. Hanley Ramirez advanced to 2B.
B_Holt,9345,E Johnson,1252,2016-05-05,Brock Holt singled to center (Grounder).
B_Holt,9345,D Guerra,8410,2016-07-31,Brock Holt doubled to shortstop (Fliner (Liner)).
B_Holt,9345,M Wright,1258,2016-04-12,Brock Holt was hit by a pitch. Hanley Ramirez advanced to 3B. Travis Shaw advanced to 2B.
B_Holt,9345,M Andriese,1202,2016-08-29,Brock Holt singled to left (Grounder). Chris Young scored. Sandy Leon out at home. Jackie Bradley Jr. advanced to 2B. Brock Holt
B_Holt,9345,R Dickey,1245,2016-04-09,Brock Holt reached on dropped third strike (pb). Passed ball by Josh Thole.
B_Holt,9345,J Odorizzi,6397,2016-08-30,Brock Holt doubled to center (Fliner (Fly)).
B_Holt,9345,B Cecil,2660,2016-04-08,Brock Holt reached on error to second (Grounder). David Ortiz advanced to 3B. Hanley Ramirez advanced to 2B on error. Error by Ryan Goins.
B_Holt,9345,T Hunter,1157,2016-09-22,Brock Holt singled to center (Grounder).
B_Holt,9345,A Sanchez,1149,2016-09-11,Brock Holt walked.
B_Holt,9345,B Mitchell,1147,2016-09-28,Brock Holt walked.
B_Holt,9345,J Verlander,8700,2016-07-25,Brock Holt walked.
B_Holt,9345,Y Ventura,1185,2016-08-28,Brock Holt grounded out to first (Grounder). Chris Young scored. Sandy Leon advanced to 3B. Jackie Bradley Jr. advanced to 2B.
B_Holt,9345,K Giles,1291,2016-04-23,Brock Holt singled to left (Liner). David Ortiz advanced to 2B.
B_Holt,9345,M Pelfrey,5203,2016-07-26,Brock Holt grounded out to second (Grounder). Jackie Bradley Jr. scored. Travis Shaw advanced to 2B.
B_Holt,9345,C Kluber,2429,2016-04-05,Brock Holt singled to left (Fliner (Liner)). Travis Shaw advanced to 2B.
B_Holt,9345,J Biagini,1319,2016-09-11,Brock Holt advanced on error to 3B. Error by Joseph Biagini.
B_Holt,9345,A Suarez,6175,2016-07-20,Brock Holt doubled to left (Fliner (Liner)). Sandy Leon scored.
B_Holt,9345,M Wright,1258,2016-04-12,Brock Holt walked.
B_Holt,9345,D Barnes,1138,2016-09-11,Brock Holt walked.
B_Holt,9345,D Bundy,1291,2016-08-17,Brock Holt doubled to right (Fliner (Fly)).
B_Holt,9345,C Tillman,5279,2016-09-22,Brock Holt singled to center (Fliner (Liner)). Sandy Leon advanced to 2B.
B_Holt,9345,M Estrada,1118,2016-04-16,Brock Holt singled to center (Grounder).
B_Holt,9345,M Fulmer,1321,2016-08-19,Brock Holt singled to center (Grounder). Sandy Leon advanced to 2B.
B_Holt,9345,R Dickey,1245,2016-04-09,Brock Holt doubled to left (Grounder).
B_Holt,9345,J Teheran,6797,2016-04-25,Brock Holt walked.
B_Holt,9345,C Archer,6345,2016-09-23,Brock Holt singled to right (Grounder).
B_Holt,9345,B McCarthy,4662,2016-08-07,Brock Holt walked.
B_Holt,9345,M Givens,1043,2016-08-16,Brock Holt singled to left (Fliner (Liner)).
B_Holt,9345,C Archer,6345,2016-07-08,Brock Holt advanced on a stolen base to 2B.
B_Holt,9345,L Campos,1227,2016-09-07,Brock Holt homered (Fliner (Fly)).
B_Holt,9345,C Shreve,1085,2016-07-15,Brock Holt walked. Hanley Ramirez advanced to 3B. Travis Shaw advanced to 2B.
B_Holt,9345,J Biagini,1319,2016-04-15,Brock Holt walked.
B_Holt,9345,T May,6398,2016-07-24,Brock Holt walked.
B_Holt,9345,L Severino,1589,2016-05-08,Brock Holt singled to right (Fliner (Liner)).
B_Holt,9345,J Lopez,1663,2016-07-19,Brock Holt reached on error to second (Grounder). Error by Grant Green.
B_Holt,9345,R Tepera,1029,2016-09-11,Brock Holt singled to center (Liner).
B_Holt,9345,X Cedeno,36&p,2016-08-29,Brock Holt singled to left (Fliner (Liner)).
B_Holt,9345,X Cedeno,36&p,2016-08-29,Brock Holt advanced on a wild pitch to 2B.
B_Holt,9345,M Dermody,1484,2016-09-09,Brock Holt was hit by a pitch. Jackie Bradley Jr. advanced to 2B.
B_Holt,9345,T May,6398,2016-07-21,Brock Holt walked.
B_Holt,9345,C Smith,4544,2016-09-02,Sandy Leon advanced on a passed ball to 2B. Passed ball by Matt McBride.
B_Holt,9345,S Hathaway,1529,2016-08-14,Brock Holt struck out looking.
B_Holt,9345,R Weber,1016,2016-04-26,Brock Holt grounded out to shortstop (Grounder).
B_Holt,9345,D Coulombe,1329,2016-09-03,Brock Holt struck out looking.
B_Holt,9345,M Rzepczynski,6612,2016-05-10,Brock Holt grounded out to first (Grounder).
B_Holt,9345,H Cervenka,1051,2016-04-27,Brock Holt out on a dropped third strike.
B_Holt,9345,D Leone,1376,2016-08-14,Brock Holt flied out to third (Fly).
B_Holt,9345,H Street,8258,2016-07-03,Brock Holt flied out to right (Fliner (Liner)).
B_Holt,9345,M Roth,1373,2016-07-04,Brock Holt struck out looking.
B_Holt,9345,J Chacin,2608,2016-07-29,Brock Holt grounded out to second (Grounder).
B_Holt,9345,T Bauer,1270,2016-04-05,Brock Holt flied out to left (Fliner (Liner)).
B_Holt,9345,J Aquino,1315,2016-09-19,Brock Holt struck out swinging.
B_Holt,9345,J Soria,6941,2016-08-28,Brock Holt struck out swinging.
B_Holt,9345,S Dyson,1171,2016-07-05,Brock Holt lined out to shortstop (Liner).
B_Holt,9345,R Tepera,1029,2016-09-09,Brock Holt grounded out to first (Grounder).
B_Holt,9345,W Harris,3192,2016-04-22,Brock Holt grounded out to first (Grounder).
B_Holt,9345,J Osich,1152,2016-07-20,Brock Holt flied out to left (Fly).
B_Holt,9345,T Wilson,1269,2016-04-13,Brock Holt grounded out to second (Grounder).
B_Holt,9345,D Farquhar,8501,2016-04-20,Brock Holt flied out to center (Fliner (Liner)).
B_Holt,9345,E Johnson,1252,2016-05-05,Brock Holt hit a sacrifice fly to center (Fly). Travis Shaw scored.
B_Holt,9345,T May,6398,2016-07-24,Brock Holt was caught stealing.
B_Holt,9345,B Duensing,4064,2016-09-19,Brock Holt fouled out to third (Fly).
B_Holt,9345,J Gant,1368,2016-04-27,Brock Holt flied out to right (Fly).
B_Holt,9345,A Mills,1383,2016-05-18,Brock Holt flied out to shortstop (Fliner (Fly)).
B_Holt,9345,M Wisler,1280,2016-04-26,Brock Holt grounded out to second (Grounder).
B_Holt,9345,T Layne,7501,2016-08-09,Brock Holt grounded out to first (Grounder).
