playername,playerid,vsname,vsid,date,Play
B_Kintzler,9939,D Ortiz,745&,2016-07-22,David Ortiz grounded into a double play to second (Grounder). Michael Martinez out at home. Dustin Pedroia advanced to 3B. Xander Bogaerts advanced to 2B.
B_Kintzler,9939,E Hosmer,3516,2016-09-29,Eric Hosmer grounded into a double play to second (Grounder). Drew Butera scored. Jarrod Dyson advanced to 3B. Whit Merrifield out at second.
B_Kintzler,9939,K Pillar,1243,2016-05-19,Kevin Pillar grounded out to third (Grounder).
B_Kintzler,9939,J Bautista,1887,2016-05-19,Jose Bautista grounded out to shortstop (Grounder).
B_Kintzler,9939,R Davis,3708,2016-09-10,Rajai Davis flied out to right (Fliner (Liner)).
B_Kintzler,9939,S Choo,3174,2016-07-03,Shin-Soo Choo grounded out to second (Grounder).
B_Kintzler,9939,A Lind,8027,2016-09-24,Adam Lind flied out to left (Fly).
B_Kintzler,9939,J Abreu,1567,2016-07-30,Jose Abreu grounded out to shortstop (Grounder).
B_Kintzler,9939,T Anderson,1517,2016-09-04,Tim Anderson struck out swinging.
B_Kintzler,9939,E Andrus,8709,2016-07-03,Elvis Andrus flied out to right (Fly).
B_Kintzler,9939,J Profar,1081,2016-07-09,Jurickson Profar grounded out to pitcher (Grounder).
B_Kintzler,9939,G Beckham,9015,2016-08-16,Gordon Beckham grounded out to second (Grounder). A.J. Pierzynski advanced to 3B.
B_Kintzler,9939,T Frazier,785&,2016-05-07,Todd Frazier grounded out to third (Grounder).
B_Kintzler,9939,J Abreu,1567,2016-07-29,Jose Abreu singled to right (Grounder). Melky Cabrera out at third. Jose Abreu
B_Kintzler,9939,J Bour,9744,2016-06-07,Justin Bour flied out to left (Fliner (Liner)).
B_Kintzler,9939,Y Gomes,9627,2016-07-16,Yan Gomes flied out to right (Fly).
B_Kintzler,9939,J Ramirez,1351,2016-09-10,Jose Ramirez grounded out to second (Grounder).
B_Kintzler,9939,D Nava,5450,2016-09-07,Daniel Nava flied out to left (Fly).
B_Kintzler,9939,J Bruce,9892,2016-09-17,Jay Bruce flied out to center (Fliner (Fly)).
B_Kintzler,9939,J Abreu,1567,2016-09-04,Jose Abreu grounded out to third (Grounder). Melky Cabrera advanced to 2B.
B_Kintzler,9939,M Napoli,3057,2016-08-29,Mike Napoli singled to right (Grounder). Francisco Lindor out at third. Mike Napoli
B_Kintzler,9939,A Beltre,639&,2016-07-09,Adrian Beltre flied out to left (Fliner (Fly)).
B_Kintzler,9939,E Inciarte,4922,2016-08-16,Ender Inciarte flied out to center (Fly).
B_Kintzler,9939,D Dietrich,1054,2016-06-07,Derek Dietrich grounded out to first (Grounder).
B_Kintzler,9939,C Santana,2396,2016-07-16,Carlos Santana flied out to left (Fly).
B_Kintzler,9939,J Ramirez,1351,2016-08-29,Jose Ramirez struck out swinging.
B_Kintzler,9939,A Rodriguez,1274,2016-06-19,Alex Rodriguez struck out swinging.
B_Kintzler,9939,A Romine,1159,2016-07-20,Andrew Romine flied out to left (Fly).
B_Kintzler,9939,G Springer,1285,2016-08-08,George Springer grounded out to shortstop (Grounder).
B_Kintzler,9939,G Stanton,4949,2016-06-08,Giancarlo Stanton struck out swinging.
B_Kintzler,9939,L Morrison,9205,2016-06-02,Logan Morrison grounded out to pitcher (Grounder).
B_Kintzler,9939,C Crisp,1572,2016-09-10,Coco Crisp grounded out to catcher (Bunt Grounder). Lonnie Chisenhall advanced to 2B.
B_Kintzler,9939,A Hechavarria,1045,2016-06-07,Adeiny Hechavarria grounded out to pitcher (Bunt Grounder).
B_Kintzler,9939,Y Sanchez,1160,2016-09-04,Carlos Sanchez struck out swinging.
B_Kintzler,9939,O Narvaez,1333,2016-09-04,Omar Narvaez struck out looking.
B_Kintzler,9939,R Howard,2154,2016-06-21,Ryan Howard struck out swinging.
B_Kintzler,9939,K Morales,8610,2016-09-06,Kendrys Morales grounded out to third (Grounder).
B_Kintzler,9939,C Yelich,1147,2016-06-08,Christian Yelich grounded out to third (Grounder).
B_Kintzler,9939,J Shuck,6677,2016-10-02,J.B. Shuck grounded out to shortstop (Grounder).
B_Kintzler,9939,L Morrison,9205,2016-06-05,Logan Morrison grounded out to third (Grounder).
B_Kintzler,9939,T Beckham,7949,2016-08-07,Tim Beckham grounded out to third (Grounder).
B_Kintzler,9939,S Castro,4579,2016-06-19,Starlin Castro flied out to right (Fly).
B_Kintzler,9939,R Goins,9807,2016-05-21,Ryan Goins struck out looking.
B_Kintzler,9939,S Pearce,9957,2016-06-05,Steve Pearce grounded out to first (Grounder).
B_Kintzler,9939,X Bogaerts,1216,2016-07-23,Xander Bogaerts grounded out to third (Grounder).
B_Kintzler,9939,M Wieters,4298,2016-07-28,Matt Wieters grounded into a double play to second (Grounder). Pedro Alvarez out at second.
B_Kintzler,9939,R Mondesi,1376,2016-08-21,Raul Mondesi struck out swinging.
B_Kintzler,9939,A Eaton,1120,2016-10-02,Adam Eaton grounded out to shortstop (Grounder).
B_Kintzler,9939,E Gattis,1100,2016-08-08,Evan Gattis struck out swinging.
B_Kintzler,9939,M Napoli,3057,2016-08-02,Mike Napoli struck out swinging.
B_Kintzler,9939,D Gregorius,6012,2016-06-19,Didi Gregorius grounded out to shortstop (Grounder).
B_Kintzler,9939,R Davis,3708,2016-05-13,Rajai Davis flied out to first (Fly).
B_Kintzler,9939,N Franklin,1016,2016-08-05,Nick Franklin flied out to center (Fly).
B_Kintzler,9939,O Infante,1609,2016-05-23,Omar Infante struck out swinging.
B_Kintzler,9939,C Cuthbert,1047,2016-08-21,Cheslor Cuthbert grounded out to first (Grounder).
B_Kintzler,9939,L Cain,9077,2016-05-24,Lorenzo Cain struck out swinging.
B_Kintzler,9939,P Orlando,8628,2016-05-23,Paulo Orlando struck out swinging.
B_Kintzler,9939,J Dyson,4866,2016-05-23,Jarrod Dyson grounded out to first (Grounder).
B_Kintzler,9939,J Dyson,4866,2016-05-24,Jarrod Dyson struck out looking.
B_Kintzler,9939,T Anderson,1517,2016-10-02,Tim Anderson struck out swinging.
B_Kintzler,9939,C Rupp,1114,2016-06-21,Cameron Rupp struck out looking.
B_Kintzler,9939,F Gutierrez,3255,2016-05-27,Franklin Gutierrez grounded out to second (Grounder).
B_Kintzler,9939,D Valencia,6364,2016-05-31,Danny Valencia grounded out to pitcher (Grounder).
B_Kintzler,9939,C Headley,4720,2016-06-19,Chase Headley flied out to center (Fliner (Fly)).
B_Kintzler,9939,A Hicks,5297,2016-06-26,Aaron Hicks grounded out to first (Grounder).
B_Kintzler,9939,L Chisenhall,7571,2016-08-02,Lonnie Chisenhall grounded out to pitcher (Grounder).
B_Kintzler,9939,D Lee,1872,2016-05-27,Dae-Ho Lee struck out looking.
B_Kintzler,9939,J Martinez,6184,2016-08-25,J.D. Martinez grounded out to shortstop (Grounder).
B_Kintzler,9939,C Asche,1199,2016-06-21,Cody Asche grounded out to shortstop (Grounder).
B_Kintzler,9939,T Frazier,785&,2016-10-01,Todd Frazier struck out swinging.
B_Kintzler,9939,M McBride,9373,2016-07-05,Matt McBride flied out to left (Fliner (Fly)).
B_Kintzler,9939,J Schoop,1126,2016-05-11,Jonathan Schoop grounded into a double play to third (Grounder). Nolan Reimold out at second.
B_Kintzler,9939,J Upton,5222,2016-05-17,Justin Upton grounded out to pitcher (Grounder).
B_Kintzler,9939,C Crisp,1572,2016-07-05,Coco Crisp grounded out to second (Grounder).
B_Kintzler,9939,B Gardner,9927,2016-06-26,Brett Gardner lined out to third (Liner).
B_Kintzler,9939,J Lowrie,4418,2016-07-05,Jed Lowrie grounded out to second (Grounder).
B_Kintzler,9939,C Cron,1254,2016-06-15,C.J. Cron grounded out to pitcher (Grounder).
B_Kintzler,9939,J Giavotella,6740,2016-06-15,Johnny Giavotella grounded out to second (Grounder).
B_Kintzler,9939,N Reimold,3441,2016-05-11,Nolan Reimold singled to second (Grounder). Chris Davis advanced to 3B.
B_Kintzler,9939,V Martinez,393&,2016-08-25,Victor Martinez doubled to right (Fliner (Fly)).
B_Kintzler,9939,M Machado,1149,2016-05-11,Manny Machado singled to center (Grounder).
B_Kintzler,9939,T Frazier,785&,2016-09-01,Todd Frazier advanced on defensive indifference to 2B.
B_Kintzler,9939,A Escobar,6310,2016-08-13,Alcides Escobar advanced on defensive indifference to 2B.
B_Kintzler,9939,A Jones,6368,2016-05-11,Adam Jones homered (Fliner (Fly)). Manny Machado scored.
B_Kintzler,9939,W Merrifield,1128,2016-05-24,Whit Merrifield doubled to left (Grounder).
B_Kintzler,9939,I Desmond,6885,2016-07-09,Ian Desmond doubled to left (Fliner (Liner)).
B_Kintzler,9939,R Martin,4616,2016-05-21,Russell Martin singled to right (Grounder).
B_Kintzler,9939,E Encarnacion,2151,2016-05-21,Edwin Encarnacion singled to left (Grounder). Jose Bautista advanced to 2B.
B_Kintzler,9939,B McCann,4810,2016-06-19,Brian McCann homered (Fly).
B_Kintzler,9939,A Escobar,6310,2016-08-13,Alcides Escobar reached on error to third (Grounder). Alex Gordon scored on error. Error by Jorge Polanco.
