playername,playerid,vsname,vsid,date,Play
B_Lawrie,5247,M Clevinger,1280,2016-05-23,Brett Lawrie homered (Fly). Todd Frazier scored. Melky Cabrera scored.
B_Lawrie,5247,B Brach,6627,2016-04-29,Brett Lawrie homered (Fly).
B_Lawrie,5247,C Allen,1218,2016-06-17,Brett Lawrie doubled to left (Fliner (Liner)).
B_Lawrie,5247,D Holland,4141,2016-04-24,Brett Lawrie doubled to right (Fly). Melky Cabrera advanced to 3B.
B_Lawrie,5247,L Verrett,1290,2016-05-31,Brett Lawrie singled to center (Fliner (Liner)). Jimmy Rollins scored. Adam Eaton advanced to 2B.
B_Lawrie,5247,K Gausman,1410,2016-04-30,Brett Lawrie homered (Fly).
B_Lawrie,5247,R Nolasco,3830,2016-06-29,Brett Lawrie homered (Fliner (Fly)).
B_Lawrie,5247,A Ranaudo,1142,2016-05-10,Brett Lawrie walked. Jimmy Rollins scored. Todd Frazier advanced to 3B. Melky Cabrera advanced to 2B.
B_Lawrie,5247,U Jimenez,3374,2016-05-01,Brett Lawrie singled to center (Fliner (Fly)). Melky Cabrera advanced to 3B.
B_Lawrie,5247,C Kimbrel,6655,2016-06-23,Brett Lawrie walked.
B_Lawrie,5247,W Davis,7441,2016-05-27,Brett Lawrie singled to center (Fliner (Liner)).
B_Lawrie,5247,J deGrom,1095,2016-06-01,Brett Lawrie doubled to center (Grounder).
B_Lawrie,5247,F Rodriguez,1642,2016-06-13,Brett Lawrie singled to left (Fliner (Liner)). Melky Cabrera scored. Todd Frazier advanced to 2B.
B_Lawrie,5247,T Milone,7608,2016-06-30,Brett Lawrie doubled to center (Liner).
B_Lawrie,5247,H Street,8258,2016-04-21,Brett Lawrie walked. Melky Cabrera advanced to 2B.
B_Lawrie,5247,D Holland,4141,2016-05-10,Brett Lawrie doubled to center (Fly). Todd Frazier scored. Melky Cabrera advanced to 3B.
B_Lawrie,5247,L Severino,1589,2016-05-13,Brett Lawrie doubled to right (Fliner (Liner)).
B_Lawrie,5247,S Wright,8185,2016-06-20,Brett Lawrie doubled to left (Fliner (Liner)).
B_Lawrie,5247,M Givens,1043,2016-04-30,Brett Lawrie walked.
B_Lawrie,5247,M Estrada,1118,2016-04-27,Brett Lawrie walked. Melky Cabrera advanced to 2B.
B_Lawrie,5247,M Moore,1890,2016-04-17,Brett Lawrie doubled to left (Fliner (Liner)).
B_Lawrie,5247,D Gee,7396,2016-05-20,Brett Lawrie was hit by a pitch. Melky Cabrera advanced to 2B.
B_Lawrie,5247,H Hembree,1163,2016-05-05,Brett Lawrie singled to left (Grounder). Melky Cabrera advanced to 2B.
B_Lawrie,5247,C Lewis,1259,2016-04-23,Brett Lawrie singled to center (Fliner (Fly)). Melky Cabrera advanced to 2B.
B_Lawrie,5247,R Dickey,1245,2016-06-25,Brett Lawrie hit a inside the park home run to left (Fly).
B_Lawrie,5247,J Odorizzi,6397,2016-04-15,Brett Lawrie hit a ground rule double (Fliner (Fly)).
B_Lawrie,5247,C Lewis,1259,2016-04-23,Brett Lawrie walked. Melky Cabrera advanced to 2B.
B_Lawrie,5247,H Owens,1314,2016-05-05,Brett Lawrie walked.
B_Lawrie,5247,J Zimmermann,4505,2016-06-03,Brett Lawrie singled to center (Grounder). J.B. Shuck advanced to 2B.
B_Lawrie,5247,M Fiers,7754,2016-07-01,Brett Lawrie doubled to left (Liner).
B_Lawrie,5247,K Gibson,1012,2016-04-11,Brett Lawrie singled to center (Liner). Melky Cabrera advanced to 2B.
B_Lawrie,5247,M Clevinger,1280,2016-05-23,Brett Lawrie singled to shortstop (Grounder).
B_Lawrie,5247,P Moylan,4891,2016-05-21,Brett Lawrie singled to center (Fliner (Liner)). Melky Cabrera advanced to 2B.
B_Lawrie,5247,J De La Cruz,1282,2016-07-08,Brett Lawrie walked.
B_Lawrie,5247,T Milone,7608,2016-06-30,Brett Lawrie singled to center (Fliner (Liner)).
B_Lawrie,5247,C Sabathia,404&,2016-07-04,Brett Lawrie hit a sacrifice fly to center (Fly). Todd Frazier scored.
B_Lawrie,5247,I Nova,1994,2016-05-14,Brett Lawrie doubled to left (Fly).
B_Lawrie,5247,P Hughes,7450,2016-04-13,Brett Lawrie singled to center (Grounder).
B_Lawrie,5247,J deGrom,1095,2016-06-01,Brett Lawrie singled to center (Grounder).
B_Lawrie,5247,M Clevinger,1280,2016-05-23,Brett Lawrie walked.
B_Lawrie,5247,L Cessa,1334,2016-07-04,Brett Lawrie singled to left (Liner). Todd Frazier scored.
B_Lawrie,5247,J Weaver,4235,2016-04-21,Brett Lawrie doubled to left (Fliner (Liner)).
B_Lawrie,5247,S Doolittle,1581,2016-04-04,Brett Lawrie singled to left (Fliner (Liner)).
B_Lawrie,5247,J Zimmermann,4505,2016-06-03,Brett Lawrie walked.
B_Lawrie,5247,N Syndergaard,1176,2016-05-31,Brett Lawrie advanced on a stolen base to 2B.
B_Lawrie,5247,M Boyd,1544,2016-06-13,Brett Lawrie doubled to left (Liner).
B_Lawrie,5247,K Gibson,1012,2016-04-11,Brett Lawrie was hit by a pitch. Melky Cabrera advanced to 2B.
B_Lawrie,5247,M Moore,1890,2016-04-17,Brett Lawrie singled to left (Fliner (Liner)).
B_Lawrie,5247,T Bauer,1270,2016-06-17,Brett Lawrie walked.
B_Lawrie,5247,R Porcello,2717,2016-06-23,Brett Lawrie singled to third (Grounder).
B_Lawrie,5247,M Pineda,5372,2016-07-06,Brett Lawrie singled to right (Liner).
B_Lawrie,5247,V Worley,6435,2016-05-01,Brett Lawrie doubled to left (Liner). Melky Cabrera advanced to 3B.
B_Lawrie,5247,K Gibson,1012,2016-06-28,Brett Lawrie advanced on a stolen base to 2B.
B_Lawrie,5247,T May,6398,2016-04-14,Brett Lawrie singled to second (Grounder). Todd Frazier advanced to 3B.
B_Lawrie,5247,I Krol,1006,2016-07-09,Brett Lawrie singled to shortstop (Grounder).
B_Lawrie,5247,G Richards,9784,2016-04-20,Brett Lawrie was intentionally walked.
B_Lawrie,5247,M Pineda,5372,2016-07-06,Brett Lawrie reached on fielder's choice to shortstop (Grounder). Melky Cabrera scored. Todd Frazier out at second.
B_Lawrie,5247,T Layne,7501,2016-06-21,Brett Lawrie walked.
B_Lawrie,5247,D Otero,7385,2016-05-23,Brett Lawrie walked. Jose Abreu advanced to 2B.
B_Lawrie,5247,G Richards,9784,2016-04-20,Brett Lawrie advanced on a stolen base to 2B.
B_Lawrie,5247,J Alvarez,5358,2016-04-19,Brett Lawrie singled to right (Fliner (Liner)). Melky Cabrera scored.
B_Lawrie,5247,L Cessa,1334,2016-07-04,Brett Lawrie advanced on a stolen base to 2B.
B_Lawrie,5247,A Claudio,1289,2016-05-10,Brett Lawrie singled to left (Fliner (Liner)). Melky Cabrera advanced to 2B.
B_Lawrie,5247,B Matusz,2646,2016-05-01,Brett Lawrie walked. Melky Cabrera advanced to 2B.
B_Lawrie,5247,J Weaver,4235,2016-07-17,Brett Lawrie singled to second (Grounder).
B_Lawrie,5247,T Wilhelmsen,9975,2016-04-22,Brett Lawrie walked. Todd Frazier advanced to 2B.
B_Lawrie,5247,D Farquhar,8501,2016-04-16,Brett Lawrie advanced on defensive indifference to 2B.
