playername,playerid,vsname,vsid,date,Play
B_Maxwell,1386,K Giles,1291,2016-09-20,Bruce Maxwell III walked. Arismendy Alcantara advanced to 3B. Brett Eibner advanced to 2B.
B_Maxwell,1386,H Iwakuma,1304,2016-09-09,Bruce Maxwell III doubled to center (Fliner (Fly)). Max Muncy scored.
B_Maxwell,1386,C Lewis,1259,2016-09-25,Bruce Maxwell III singled to left (Fliner (Fly)). Yonder Alonso scored. Marcus Semien advanced to 3B.
B_Maxwell,1386,J Weaver,4235,2016-09-05,Bruce Maxwell III doubled to left (Fliner (Liner)). Yonder Alonso scored. Joey Wendle scored.
B_Maxwell,1386,C McHugh,7531,2016-09-21,Bruce Maxwell III doubled to right (Fliner (Fly)). Danny Valencia scored.
B_Maxwell,1386,J Valdez,1447,2016-09-05,Bruce Maxwell III walked. Ryon Healy advanced to 3B. Jake Smolinski advanced to 2B.
B_Maxwell,1386,A Reyes,1501,2016-08-27,Bruce Maxwell III singled to center (Fliner (Liner)).
B_Maxwell,1386,D Gee,7396,2016-09-12,Bruce Maxwell III singled to right (Liner).
B_Maxwell,1386,J Chacin,2608,2016-08-04,Bruce Maxwell III walked.
B_Maxwell,1386,H Iwakuma,1304,2016-09-09,Bruce Maxwell III singled to left (Grounder). Jake Smolinski advanced to 2B.
B_Maxwell,1386,M Fiers,7754,2016-08-31,Bruce Maxwell III hit a sacrifice fly to center (Fly). Jake Smolinski scored.
B_Maxwell,1386,D Gee,7396,2016-09-12,Bruce Maxwell III walked. Ryon Healy advanced to 2B.
B_Maxwell,1386,F Hernandez,4772,2016-09-10,Bruce Maxwell III singled to center (Liner).
B_Maxwell,1386,J Lester,4930,2016-08-05,Bruce Maxwell III doubled to center (Fliner (Liner)).
B_Maxwell,1386,D Storen,6983,2016-09-10,Bruce Maxwell III singled to right (Grounder). Ryon Healy advanced to 3B.
B_Maxwell,1386,N Martinez,1273,2016-09-25,Bruce Maxwell III singled to left (Grounder).
B_Maxwell,1386,B Flynn,1202,2016-09-12,Bruce Maxwell III singled to right (Fliner (Liner)).
B_Maxwell,1386,J Leclerc,1452,2016-09-17,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,B Flynn,1202,2016-09-12,Bruce Maxwell III grounded out to pitcher (Grounder).
B_Maxwell,1386,J Kelly,9761,2016-09-02,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,R Porcello,2717,2016-09-03,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,Z McAllister,2895,2016-08-23,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,J Leclerc,1452,2016-09-25,Bruce Maxwell III grounded into a double play to second (Grounder). Marcus Semien out at second.
B_Maxwell,1386,A Bailey,1368,2016-09-05,Bruce Maxwell III struck out looking.
B_Maxwell,1386,C Edwards Jr.,1360,2016-08-05,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,B Flynn,1202,2016-09-14,Bruce Maxwell III grounded out to pitcher (Grounder). Ryon Healy advanced to 3B.
B_Maxwell,1386,M Fiers,7754,2016-08-31,Bruce Maxwell III grounded out to pitcher (Grounder).
B_Maxwell,1386,W Harris,3192,2016-09-19,Bruce Maxwell III flied out to center (Fliner (Liner)).
B_Maxwell,1386,M Morin,1344,2016-09-28,Bruce Maxwell III flied out to left (Fly).
B_Maxwell,1386,B Snell,1354,2016-07-24,Bruce Maxwell III flied out to right (Fliner (Liner)).
B_Maxwell,1386,A Meyer,1283,2016-09-28,Bruce Maxwell III grounded out to second (Grounder).
B_Maxwell,1386,C Young,3196,2016-09-12,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,C Lewis,1259,2016-09-18,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,M Andriese,1202,2016-07-23,Bruce Maxwell III grounded out to first (Grounder).
B_Maxwell,1386,W Harris,3192,2016-09-21,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,D Storen,6983,2016-08-14,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,Z Duke,3840,2016-08-27,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,J Tomlin,9388,2016-07-30,Bruce Maxwell III singled to right (Liner). Bruce Maxwell III out.
B_Maxwell,1386,J Tomlin,9388,2016-07-30,Bruce Maxwell III flied out to left (Fly).
B_Maxwell,1386,J Tomlin,9388,2016-07-30,Bruce Maxwell III grounded out to pitcher (Grounder). Marcus Semien advanced to 2B.
B_Maxwell,1386,Y Gallardo,8173,2016-08-10,Bruce Maxwell III flied out to left (Fliner (Liner)).
B_Maxwell,1386,T Walker,1183,2016-09-30,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,A Achter,1138,2016-09-05,Bruce Maxwell III flied out to left (Fly).
B_Maxwell,1386,Y Gallardo,8173,2016-08-10,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,W LeBlanc,5221,2016-08-14,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,B Snell,1354,2016-07-24,Bruce Maxwell III struck out looking.
B_Maxwell,1386,E Ramirez,1031,2016-07-24,Bruce Maxwell III flied out to third (Fly).
B_Maxwell,1386,J Quintana,1142,2016-08-21,Bruce Maxwell III struck out swinging.
B_Maxwell,1386,S Cishek,6483,2016-10-01,Bruce Maxwell III fouled out to third (Fliner (Fly)).
B_Maxwell,1386,C Martin,1218,2016-10-02,Bruce Maxwell III grounded into a double play to second (Grounder). Yonder Alonso out at second.
B_Maxwell,1386,J Weaver,4235,2016-09-26,Bruce Maxwell III reached on fielder's choice to third (Grounder). Marcus Semien out at second.
