playername,playerid,vsname,vsid,date,Play
B_McCarthy,4662,X Bogaerts,1216,2016-08-07,Xander Bogaerts grounded into a double play to shortstop (Grounder). Jackie Bradley Jr. out at second.
B_McCarthy,4662,N Ahmed,1214,2016-07-16,Nick Ahmed was caught stealing.
B_McCarthy,4662,F Cervelli,5275,2016-08-13,Francisco Cervelli struck out looking.
B_McCarthy,4662,Y Tomas,1717,2016-07-16,Yasmany Tomas struck out swinging.
B_McCarthy,4662,W Myers,1004,2016-07-09,Wil Myers struck out looking.
B_McCarthy,4662,M Kemp,5631,2016-07-09,Matt Kemp fouled out to catcher (Fly).
B_McCarthy,4662,N Arenado,9777,2016-08-02,Nolan Arenado fouled out to first (Fly).
B_McCarthy,4662,D Norris,6867,2016-07-09,Derek Norris struck out swinging.
B_McCarthy,4662,N Ahmed,1214,2016-07-16,Nick Ahmed flied out to second (Fly).
B_McCarthy,4662,B Drury,1161,2016-07-16,Brandon Drury lined out to pitcher (Liner).
B_McCarthy,4662,W Castillo,3256,2016-07-16,Welington Castillo struck out swinging.
B_McCarthy,4662,M Wacha,1407,2016-07-22,Michael Wacha struck out swinging.
B_McCarthy,4662,D Dahl,1374,2016-08-02,David Dahl grounded out to second (Grounder).
B_McCarthy,4662,T Pham,2967,2016-07-22,Tommy Pham struck out swinging.
B_McCarthy,4662,D Dahl,1374,2016-09-25,David Dahl reached on fielder's choice to second (Grounder). Nolan Arenado out at second.
B_McCarthy,4662,M Moore,1890,2016-07-27,Matt Moore struck out swinging.
B_McCarthy,4662,S Piscotty,1336,2016-07-22,Stephen Piscotty grounded out to second (Grounder).
B_McCarthy,4662,C Gonzalez,7287,2016-07-03,Carlos Gonzalez struck out swinging.
B_McCarthy,4662,M Upton Jr.,5015,2016-07-09,Melvin Upton Jr. reached on fielder's choice to shortstop (Grounder). Matt Kemp out at second.
B_McCarthy,4662,B Barnes,629&,2016-07-03,Brandon Barnes struck out swinging.
B_McCarthy,4662,Y Tomas,1717,2016-07-16,Yasmany Tomas flied out to center (Fly).
B_McCarthy,4662,C Blackmon,7859,2016-08-02,Charlie Blackmon struck out swinging.
B_McCarthy,4662,T Pham,2967,2016-07-22,Tommy Pham flied out to center (Fliner (Fly)).
B_McCarthy,4662,S Souza Jr.,5667,2016-07-27,Steven Souza Jr. flied out to center (Fliner (Liner)).
B_McCarthy,4662,N Arenado,9777,2016-09-25,Nolan Arenado grounded out to shortstop (Grounder).
B_McCarthy,4662,C Blackmon,7859,2016-09-25,Charlie Blackmon struck out swinging.
B_McCarthy,4662,N Arenado,9777,2016-07-03,Nolan Arenado grounded out to pitcher (Grounder).
B_McCarthy,4662,C Dickerson,1076,2016-07-27,Corey Dickerson struck out swinging.
B_McCarthy,4662,C Blackmon,7859,2016-07-03,Charlie Blackmon struck out swinging.
B_McCarthy,4662,A Frazier,1522,2016-08-13,Adam Frazier flied out to center (Fly).
B_McCarthy,4662,J Gyorko,1081,2016-07-22,Jedd Gyorko grounded out to second (Grounder).
B_McCarthy,4662,L Perdomo,1468,2016-07-09,Luis Perdomo struck out swinging.
B_McCarthy,4662,J Segura,5933,2016-07-16,Jean Segura struck out swinging.
B_McCarthy,4662,B Barnes,629&,2016-07-03,Brandon Barnes grounded out to third (Grounder).
B_McCarthy,4662,T Shaw,1198,2016-08-07,Travis Shaw flied out to left (Fliner (Fly)).
B_McCarthy,4662,D LeMahieu,9874,2016-07-03,DJ LeMahieu grounded out to shortstop (Grounder).
B_McCarthy,4662,M Adams,9393,2016-07-22,Matt Adams fouled out to catcher (Fly).
B_McCarthy,4662,B Drury,1161,2016-07-16,Brandon Drury struck out swinging.
B_McCarthy,4662,M Bourn,6387,2016-07-16,Michael Bourn struck out swinging.
B_McCarthy,4662,D Garneau,9433,2016-09-25,Dustin Garneau flied out to second (Fly).
B_McCarthy,4662,L Morrison,9205,2016-07-27,Logan Morrison flied out to center (Fly).
B_McCarthy,4662,D Dahl,1374,2016-09-25,David Dahl struck out swinging.
