playername,playerid,vsname,vsid,date,Play
B_Miller,1277,J Soria,6941,2016-08-04,Brad Miller homered (Fliner (Fly)). Logan Forsythe scored. Kevin Kiermaier scored.
B_Miller,1277,M Tanaka,1576,2016-08-13,Brad Miller homered (Fliner (Fly)). Kevin Kiermaier scored. Evan Longoria scored.
B_Miller,1277,R Nolasco,3830,2016-06-03,Brad Miller singled to right (Grounder). Taylor Motter scored. Hank Conger advanced to 2B.
B_Miller,1277,J Blanton,4849,2016-07-26,Brad Miller doubled to right (Liner). Tim Beckham scored. Logan Forsythe advanced to 3B.
B_Miller,1277,R Porcello,2717,2016-08-24,Brad Miller doubled to right (Grounder). Bobby Wilson scored. Kevin Kiermaier scored.
B_Miller,1277,E Santana,3200,2016-08-05,Brad Miller homered (Fly).
B_Miller,1277,Z Britton,3240,2016-07-15,Brad Miller doubled to right (Fliner (Fly)).
B_Miller,1277,R Dickey,1245,2016-08-08,Brad Miller doubled to right (Fliner (Liner)). Logan Forsythe scored. Evan Longoria scored.
B_Miller,1277,Z Britton,3240,2016-07-15,Brad Miller advanced on a wild pitch to 3B.
B_Miller,1277,M Fiers,7754,2016-06-11,Brad Miller homered (Fliner (Fly)).
B_Miller,1277,N Tropeano,1238,2016-07-04,Brad Miller homered (Fly).
B_Miller,1277,L Cessa,1334,2016-09-22,Brad Miller singled to left (Grounder). Logan Forsythe scored. Kevin Kiermaier advanced to 3B.
B_Miller,1277,J Wilson,4301,2016-05-21,Brad Miller tripled to right (Liner). Curt Casali scored. Brandon Guyer scored.
B_Miller,1277,K Jepsen,6475,2016-06-05,Brad Miller hit a sacrifice fly to left (Fliner (Liner)). Steven Souza Jr. scored.
B_Miller,1277,M Pineda,5372,2016-05-28,Brad Miller doubled to left (Grounder). Brandon Guyer advanced to 3B.
B_Miller,1277,J Berrios,1416,2016-08-06,Brad Miller singled to second (Grounder). Logan Forsythe scored.
B_Miller,1277,C Tillman,5279,2016-06-25,Brad Miller doubled to center (Fliner (Fly)). Logan Morrison scored.
B_Miller,1277,R Porcello,2717,2016-07-09,Brad Miller homered (Fly).
B_Miller,1277,J Peavy,1051,2016-06-19,Brad Miller singled to center (Grounder). Logan Forsythe advanced to 3B.
B_Miller,1277,M Pineda,5372,2016-04-24,Brad Miller doubled to left (Fliner (Liner)). Steve Pearce scored.
B_Miller,1277,D Pomeranz,1142,2016-08-30,Brad Miller singled to right (Grounder). Kevin Kiermaier scored.
B_Miller,1277,A Ramos,8350,2016-05-23,Brad Miller singled to right (Fliner (Liner)).
B_Miller,1277,M Pineda,5372,2016-07-31,Brad Miller homered (Fly).
B_Miller,1277,D Bundy,1291,2016-07-17,Brad Miller homered (Fliner (Fly)).
B_Miller,1277,B Cecil,2660,2016-04-30,Brad Miller singled to first (Grounder).
B_Miller,1277,R Dickey,1245,2016-08-08,Brad Miller doubled to right (Fliner (Liner)).
B_Miller,1277,I Nova,1994,2016-07-29,Brad Miller tripled to center (Fliner (Fly)).
B_Miller,1277,C Tillman,5279,2016-04-27,Brad Miller walked. Logan Forsythe advanced to 2B.
B_Miller,1277,C Tillman,5279,2016-09-17,Brad Miller reached on fielder's choice to first (Grounder). Evan Longoria scored.
B_Miller,1277,D Price,3184,2016-06-29,Brad Miller singled to left (Fliner (Liner)). Logan Forsythe advanced to 3B.
B_Miller,1277,D Pomeranz,1142,2016-09-23,Brad Miller doubled to left (Fliner (Liner)).
B_Miller,1277,A Sanchez,1149,2016-04-29,Brad Miller singled to center (Fliner (Liner)). Logan Forsythe advanced to 2B.
B_Miller,1277,L McCullers,1412,2016-06-10,Brad Miller singled to right (Liner). Logan Forsythe scored.
B_Miller,1277,D Duffy,3542,2016-06-01,Brad Miller singled to center (Grounder). Mikie Mahtook scored.
B_Miller,1277,N Vincent,7555,2016-05-11,Brad Miller singled to shortstop (Fliner (Liner)). Brandon Guyer advanced to 2B.
B_Miller,1277,S Cishek,6483,2016-06-15,Brad Miller walked. Logan Forsythe advanced to 2B.
B_Miller,1277,C Rasmus,2413,2016-05-06,Brad Miller homered (Fliner (Fly)).
B_Miller,1277,K Kela,1469,2016-08-20,Brad Miller doubled to right (Liner). Steven Souza Jr. scored. Luke Maile scored. Evan Longoria scored.
B_Miller,1277,J Weaver,4235,2016-05-07,Brad Miller singled to right (Liner). Hank Conger advanced to 2B.
B_Miller,1277,M Stroman,1343,2016-05-01,Brad Miller walked. Hank Conger advanced to 2B.
B_Miller,1277,J Smith,3281,2016-07-07,Brad Miller homered (Fly).
B_Miller,1277,C Tillman,5279,2016-09-17,Brad Miller advanced on a wild pitch to 2B.
