playername,playerid,vsname,vsid,date,Play
B_Park,1849,F Salas,4971,2016-04-15,Byung-ho Park doubled to left (Fliner (Liner)). Trevor Plouffe scored.
B_Park,1849,J Tomlin,9388,2016-05-13,Byung-ho Park homered (Fly). Trevor Plouffe scored.
B_Park,1849,M Pineda,5372,2016-06-18,Byung-ho Park homered (Fliner (Fly)). Brian Dozier scored.
B_Park,1849,J Tomlin,9388,2016-04-27,Byung-ho Park homered (Fliner (Liner)).
B_Park,1849,E Surkamp,2540,2016-05-31,Byung-ho Park doubled to right (Liner). Robbie Grossman scored.
B_Park,1849,P Moylan,4891,2016-05-25,Byung-ho Park singled to center (Liner). Miguel Sano scored. Robbie Grossman advanced to 3B.
B_Park,1849,J Tomlin,9388,2016-05-13,Byung-ho Park homered (Fly).
B_Park,1849,J Smith,3281,2016-04-16,Byung-ho Park homered (Fly).
B_Park,1849,S Manaea,1587,2016-06-01,Byung-ho Park walked. Brian Dozier advanced to 3B. Trevor Plouffe advanced to 2B.
B_Park,1849,M Moore,1890,2016-06-02,Byung-ho Park walked. Robbie Grossman advanced to 2B.
B_Park,1849,M Albers,4300,2016-04-14,Byung-ho Park doubled to center (Fly).
B_Park,1849,T Bauer,1270,2016-05-15,Byung-ho Park doubled to left (Grounder).
B_Park,1849,A Colome,6661,2016-06-03,Byung-ho Park walked. Robbie Grossman advanced to 2B.
B_Park,1849,G Richards,9784,2016-04-15,Byung-ho Park walked.
B_Park,1849,M Givens,1043,2016-04-04,Byung-ho Park was hit by a pitch.
B_Park,1849,D Keuchel,9434,2016-05-02,Byung-ho Park singled to right (Liner).
B_Park,1849,X Cedeno,36&p,2016-06-02,Byung-ho Park doubled to right (Fliner (Liner)).
B_Park,1849,M Albers,4300,2016-04-14,Max Kepler advanced on error to 2B. Byung-ho Park advanced to 3B. Error by Matt Albers.
B_Park,1849,C Sabathia,404&,2016-06-16,Byung-ho Park singled to left (Grounder). Trevor Plouffe advanced to 2B.
B_Park,1849,M Tanaka,1576,2016-06-24,Byung-ho Park walked.
B_Park,1849,M Moore,1890,2016-06-02,Byung-ho Park singled to center (Grounder). Robbie Grossman advanced to 2B.
B_Park,1849,T Walker,1183,2016-05-29,Byung-ho Park walked.
B_Park,1849,G Gonzalez,7448,2016-04-22,Byung-ho Park walked. Eduardo Escobar advanced to 3B. Kurt Suzuki advanced to 2B.
B_Park,1849,C Anderson,6895,2016-04-18,Byung-ho Park singled to right (Grounder). Oswaldo Arcia advanced to 2B.
B_Park,1849,Y Ventura,1185,2016-04-08,Byung-ho Park walked.
B_Park,1849,C Sale,1060,2016-05-07,Byung-ho Park was hit by a pitch.
B_Park,1849,F Hernandez,4772,2016-05-27,Byung-ho Park was hit by a pitch.
B_Park,1849,J Verlander,8700,2016-05-18,Byung-ho Park walked.
B_Park,1849,A Alburquerque,6324,2016-06-13,Byung-ho Park reached on fielder's choice and error to shortstop (Grounder). Joe Mauer advanced to 3B. Brian Dozier advanced to 2B on error. Error by Gregorio Petit.
B_Park,1849,M Fiers,7754,2016-05-04,Byung-ho Park walked. Miguel Sano advanced to 2B.
B_Park,1849,N Wittgren,1559,2016-06-08,Byung-ho Park singled to left (Liner). Brian Dozier advanced to 2B.
B_Park,1849,M Latos,3815,2016-05-06,Byung-ho Park advanced on a wild pitch to 2B.
B_Park,1849,J Weaver,4235,2016-06-13,Byung-ho Park walked.
B_Park,1849,A Swarzak,7466,2016-06-18,Byung-ho Park hit a sacrifice fly to center (Fly). Brian Dozier scored. Max Kepler out at second.
B_Park,1849,M Belisle,1837,2016-04-24,Byung-ho Park singled to left (Grounder).
B_Park,1849,B Matusz,2646,2016-05-11,Byung-ho Park walked.
B_Park,1849,I Kennedy,6986,2016-04-09,Byung-ho Park singled to center (Fliner (Liner)).
B_Park,1849,A Ramos,8350,2016-06-09,Byung-ho Park singled to left (Liner). Eduardo Escobar advanced to 3B. Brian Dozier advanced to 2B.
B_Park,1849,M Feliz,1190,2016-05-04,Byung-ho Park struck out swinging.
B_Park,1849,D Guerra,8410,2016-06-15,Byung-ho Park struck out swinging.
B_Park,1849,M Purke,1283,2016-06-28,Byung-ho Park grounded out to second (Grounder). Max Kepler advanced to 2B.
B_Park,1849,S Gonzalez,1469,2016-06-21,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,S Johnson,4053,2016-05-27,Byung-ho Park struck out swinging.
B_Park,1849,M Feliz,1190,2016-05-02,Byung-ho Park struck out swinging.
B_Park,1849,D VerHagen,1342,2016-04-29,Byung-ho Park flied out to left (Fly).
B_Park,1849,J Verlander,8700,2016-05-18,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,A Nola,1614,2016-06-21,Byung-ho Park flied out to center (Fliner (Fly)).
B_Park,1849,T Hunter,1157,2016-05-14,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,W Miley,8779,2016-05-28,Byung-ho Park struck out swinging.
B_Park,1849,S Cishek,6483,2016-05-28,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,M Pineda,5372,2016-06-25,Byung-ho Park flied out to right (Fliner (Liner)).
B_Park,1849,H Santiago,4026,2016-06-15,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,N Tropeano,1238,2016-04-17,Byung-ho Park flied out to right (Fliner (Fly)).
B_Park,1849,C Tillman,5279,2016-04-04,Byung-ho Park struck out looking.
B_Park,1849,S Wright,8185,2016-06-10,Byung-ho Park struck out swinging.
B_Park,1849,T Wilson,1269,2016-05-11,Byung-ho Park flied out to right (Fly).
B_Park,1849,M Latos,3815,2016-04-14,Byung-ho Park struck out swinging.
B_Park,1849,C Sabathia,404&,2016-06-16,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,E Rodriguez,1316,2016-06-11,Byung-ho Park struck out swinging.
B_Park,1849,D Gee,7396,2016-04-10,Byung-ho Park flied out to left (Fliner (Liner)).
B_Park,1849,A Chapman,1023,2016-06-18,Byung-ho Park struck out looking.
B_Park,1849,J Manship,6865,2016-04-26,Byung-ho Park struck out swinging.
B_Park,1849,D Robertson,8241,2016-04-14,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,M Montgomery,4869,2016-05-28,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,J Happ,7410,2016-05-21,Byung-ho Park struck out swinging.
B_Park,1849,M Fulmer,1321,2016-04-29,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,J Quintana,1142,2016-05-08,Byung-ho Park struck out swinging.
B_Park,1849,J Quintana,1142,2016-04-11,Byung-ho Park struck out swinging.
B_Park,1849,T Bauer,1270,2016-05-15,Byung-ho Park struck out swinging.
B_Park,1849,C McHugh,7531,2016-05-03,Byung-ho Park struck out swinging.
B_Park,1849,J Weaver,4235,2016-06-13,Byung-ho Park struck out swinging.
B_Park,1849,K Gausman,1410,2016-05-10,Byung-ho Park struck out swinging.
B_Park,1849,M Andriese,1202,2016-06-04,Byung-ho Park struck out swinging.
B_Park,1849,C McHugh,7531,2016-05-03,Byung-ho Park flied out to center (Fliner (Fly)).
B_Park,1849,J Odorizzi,6397,2016-06-03,Byung-ho Park flied out to shortstop (Fly).
B_Park,1849,A Conley,1445,2016-06-07,Byung-ho Park flied out to right (Fly).
B_Park,1849,M Pelfrey,5203,2016-05-17,Byung-ho Park lined out to shortstop (Liner).
B_Park,1849,J Verlander,8700,2016-05-18,Byung-ho Park fouled out to first (Fly).
B_Park,1849,J Zimmermann,4505,2016-04-30,Byung-ho Park struck out swinging.
B_Park,1849,T Walker,1183,2016-05-29,Byung-ho Park flied out to center (Fliner (Fly)).
B_Park,1849,J Quintana,1142,2016-05-08,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,Z Putnam,9080,2016-05-06,Byung-ho Park flied out to center (Fly).
B_Park,1849,E Volquez,3990,2016-04-10,Byung-ho Park struck out swinging.
B_Park,1849,A Chapman,1023,2016-06-24,Byung-ho Park struck out swinging.
B_Park,1849,D Smyly,1176,2016-06-05,Byung-ho Park struck out swinging.
B_Park,1849,I Kennedy,6986,2016-05-23,Byung-ho Park struck out swinging.
B_Park,1849,K Gausman,1410,2016-05-10,Byung-ho Park struck out swinging.
B_Park,1849,E Rodriguez,1316,2016-06-11,Byung-ho Park struck out looking.
B_Park,1849,J Weaver,4235,2016-06-13,Byung-ho Park grounded out to second (Grounder).
B_Park,1849,J Smith,3281,2016-04-17,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,X Cedeno,36&p,2016-06-05,Byung-ho Park flied out to second (Fly).
B_Park,1849,S Strasburg,1013,2016-04-24,Byung-ho Park flied out to center (Fly).
B_Park,1849,C Anderson,1279,2016-04-26,Byung-ho Park lined out to shortstop (Liner).
B_Park,1849,J Eickhoff,1266,2016-06-23,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,M Estrada,1118,2016-05-19,Byung-ho Park struck out swinging.
B_Park,1849,I Kennedy,6986,2016-04-09,Byung-ho Park struck out looking.
B_Park,1849,M Latos,3815,2016-04-14,Byung-ho Park reached on fielder's choice to shortstop (Grounder). Miguel Sano out at second.
B_Park,1849,J Zimmermann,4505,2016-05-16,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,J Happ,7410,2016-05-21,Byung-ho Park fouled out to first (Fly).
B_Park,1849,M Tanaka,1576,2016-06-24,Byung-ho Park struck out swinging.
B_Park,1849,J Zimmermann,4505,2016-04-30,Byung-ho Park flied out to right (Fly).
B_Park,1849,E Romero,4001,2016-06-04,Byung-ho Park flied out to center (Fliner (Fly)).
B_Park,1849,S Manaea,1587,2016-06-01,Byung-ho Park flied out to center (Fly).
B_Park,1849,M Stroman,1343,2016-05-22,Byung-ho Park grounded out to second (Grounder).
B_Park,1849,M Givens,1043,2016-04-06,Byung-ho Park struck out swinging.
B_Park,1849,J Manship,6865,2016-04-25,Byung-ho Park reached on fielder's choice to shortstop (Grounder). Miguel Sano out at second.
B_Park,1849,C Sabathia,404&,2016-06-16,Byung-ho Park grounded out to third (Grounder).
B_Park,1849,M Fulmer,1321,2016-04-29,Byung-ho Park grounded out to shortstop (Grounder).
B_Park,1849,S Alexander,1059,2016-05-23,Byung-ho Park grounded into a double play to pitcher (Grounder). Miguel Sano out at second.
B_Park,1849,F Rodriguez,7558,2016-05-31,Byung-ho Park flied out to center (Fly). Robbie Grossman advanced to 3B.
B_Park,1849,R Osuna,1376,2016-05-19,Byung-ho Park fouled out to third (Liner).
B_Park,1849,A Miller,6785,2016-06-25,Byung-ho Park struck out swinging.
B_Park,1849,S Wright,8185,2016-06-10,Byung-ho Park struck out swinging.
B_Park,1849,M Tanaka,1576,2016-06-24,Byung-ho Park struck out swinging.
B_Park,1849,N Tropeano,1238,2016-04-17,Byung-ho Park struck out looking.
B_Park,1849,J Zimmermann,4505,2016-05-16,Byung-ho Park struck out swinging.
B_Park,1849,E Ramirez,1031,2016-06-05,Byung-ho Park struck out swinging.
B_Park,1849,N Jones,4696,2016-05-08,Byung-ho Park out on a dropped third strike.
B_Park,1849,F Salas,4971,2016-04-17,Byung-ho Park flied out to center (Fly).
B_Park,1849,C Anderson,6895,2016-04-18,Byung-ho Park grounded into a double play to second (Grounder). Oswaldo Arcia out at second.
