playername,playerid,vsname,vsid,date,Play
B_Rondon,5766,N Cruz,2434,2016-06-21,Nelson Cruz grounded into a double play to shortstop (Grounder). Robinson Cano out at second.
B_Rondon,5766,M Kepler,1214,2016-09-12,Max Kepler flied out to center (Fliner (Fly)).
B_Rondon,5766,J Polanco,1315,2016-09-22,Jorge Polanco struck out looking.
B_Rondon,5766,K Vargas,1210,2016-09-22,Kennys Vargas struck out looking.
B_Rondon,5766,W Merrifield,1128,2016-06-19,Whit Merrifield struck out swinging.
B_Rondon,5766,K Suzuki,8259,2016-09-14,Kurt Suzuki flied out to left (Fly).
B_Rondon,5766,B Miller,1277,2016-07-03,Brad Miller flied out to left (Fly).
B_Rondon,5766,R Grossman,5254,2016-09-22,Robbie Grossman struck out looking.
B_Rondon,5766,M Saunders,9981,2016-07-09,Michael Saunders grounded out to third (Grounder).
B_Rondon,5766,C Cuthbert,1047,2016-06-19,Cheslor Cuthbert lined out to second (Liner).
B_Rondon,5766,J Abreu,1567,2016-09-05,Jose Abreu flied out to shortstop (Fly).
B_Rondon,5766,M Ozuna,1032,2016-06-28,Marcell Ozuna flied out to center (Fliner (Fly)).
B_Rondon,5766,J Kipnis,9776,2016-07-04,Jason Kipnis struck out swinging.
B_Rondon,5766,J Dyson,4866,2016-06-19,Jarrod Dyson grounded out to second (Grounder).
B_Rondon,5766,J Bradley Jr.,1298,2016-07-26,Jackie Bradley Jr. grounded out to second (Grounder).
B_Rondon,5766,J Morneau,1737,2016-09-05,Justin Morneau grounded out to shortstop (Grounder).
B_Rondon,5766,A Garcia,5760,2016-09-07,Avisail Garcia struck out swinging.
B_Rondon,5766,P Orlando,8628,2016-08-16,Paulo Orlando struck out swinging.
B_Rondon,5766,S O'Malley,9629,2016-06-23,Shawn O'Malley struck out swinging.
B_Rondon,5766,T Frazier,785&,2016-09-05,Todd Frazier fouled out to first (Fly).
B_Rondon,5766,A Garcia,5760,2016-08-30,Avisail Garcia grounded out to third (Grounder).
B_Rondon,5766,K Seager,9785,2016-06-23,Kyle Seager flied out to center (Fly).
B_Rondon,5766,A Eaton,1120,2016-07-23,Adam Eaton struck out swinging.
B_Rondon,5766,K Morales,8610,2016-08-15,Kendrys Morales grounded out to first (Grounder).
B_Rondon,5766,E Carrera,9048,2016-07-09,Ezequiel Carrera struck out looking.
B_Rondon,5766,A Pujols,1177,2016-08-27,Albert Pujols flied out to left (Fliner (Fly)).
B_Rondon,5766,O Narvaez,1333,2016-08-30,Omar Narvaez grounded out to third (Grounder).
B_Rondon,5766,S Perez,7304,2016-08-15,Salvador Perez struck out swinging.
B_Rondon,5766,C Iannetta,8267,2016-06-23,Chris Iannetta flied out to second (Fly).
B_Rondon,5766,X Bogaerts,1216,2016-08-19,Xander Bogaerts grounded out to shortstop (Grounder).
B_Rondon,5766,S Perez,7304,2016-09-24,Salvador Perez grounded out to third (Grounder).
B_Rondon,5766,E Inciarte,4922,2016-10-02,Ender Inciarte flied out to center (Fliner (Liner)).
B_Rondon,5766,T Saladino,1080,2016-08-30,Tyler Saladino struck out swinging.
B_Rondon,5766,A Gordon,5209,2016-08-15,Alex Gordon grounded out to second (Grounder).
B_Rondon,5766,J Ramirez,1351,2016-07-04,Jose Ramirez was caught stealing.
B_Rondon,5766,A Pujols,1177,2016-08-28,Albert Pujols grounded into a double play to shortstop (Grounder). Kole Calhoun out at second.
B_Rondon,5766,A Garcia,1377,2016-10-02,Adonis Garcia struck out swinging.
B_Rondon,5766,A Garcia,1377,2016-09-30,Adonis Garcia struck out swinging.
B_Rondon,5766,F Freeman,5361,2016-10-02,Freddie Freeman struck out swinging.
B_Rondon,5766,M Trout,1015,2016-08-28,Mike Trout struck out looking.
B_Rondon,5766,F Lindor,1291,2016-09-16,Francisco Lindor flied out to left (Fliner (Fly)).
B_Rondon,5766,T Naquin,1335,2016-09-16,Tyler Naquin flied out to center (Fliner (Liner)).
B_Rondon,5766,S Leon,5273,2016-08-19,Sandy Leon struck out swinging.
B_Rondon,5766,J Ramirez,1351,2016-09-26,Jose Ramirez flied out to left (Fly).
B_Rondon,5766,M Conforto,1637,2016-08-07,Michael Conforto flied out to center (Fliner (Fly)).
B_Rondon,5766,F Lindor,1291,2016-09-26,Francisco Lindor flied out to left (Fly).
