playername,playerid,vsname,vsid,date,Play
B_Rowen,1098,J Kang,1718,2016-09-20,Jung Ho Kang grounded into a double play to third (Grounder). Andrew McCutchen out at second.
B_Rowen,1098,R Grichuk,1024,2016-09-08,Randal Grichuk struck out swinging.
B_Rowen,1098,S Piscotty,1336,2016-09-08,Stephen Piscotty grounded out to third (Grounder). Greg Garcia advanced to 2B.
B_Rowen,1098,A Hanson,1292,2016-09-04,Alen Hanson lined out to shortstop (Liner).
B_Rowen,1098,J Gyorko,1081,2016-09-08,Jedd Gyorko singled to third (Grounder).
B_Rowen,1098,B Moss,4467,2016-09-08,Brandon Moss singled to center (Grounder). Jose Martinez advanced to 2B.
B_Rowen,1098,J Baez,1297,2016-09-05,Javier Baez singled to pitcher (Bunt Grounder). Addison Russell scored. Jason Heyward advanced to 2B.
B_Rowen,1098,A McCutchen,9847,2016-09-20,Andrew McCutchen singled to right (Grounder). Josh Bell advanced to 2B.
B_Rowen,1098,A Russell,1410,2016-09-05,Addison Russell singled to right (Grounder). Matt Szczur advanced to 3B.
B_Rowen,1098,S Rodriguez,6589,2016-09-20,Sean Rodriguez singled to right (Liner). Francisco Cervelli advanced to 3B.
