playername,playerid,vsname,vsid,date,Play
B_Wallace,8434,P Strop,4070,2016-05-11,Brett Wallace homered (Fly). Wil Myers scored. Matt Kemp scored.
B_Wallace,8434,D Law,1313,2016-04-25,Brett Wallace singled to center (Liner). Melvin Upton Jr. scored. Alexei Ramirez advanced to 3B.
B_Wallace,8434,A Wood,1378,2016-05-21,Brett Wallace singled to left (Fliner (Fly)). Derek Norris advanced to 3B.
B_Wallace,8434,N Karns,1263,2016-05-30,Brett Wallace doubled to left (Fly). Matt Kemp scored.
B_Wallace,8434,J Motte,5861,2016-06-11,Brett Wallace was hit by a pitch.
B_Wallace,8434,F Rivero,1207,2016-06-18,Brett Wallace reached on fielder's choice and error to pitcher (Grounder). Jon Jay scored on error. Wil Myers advanced to 3B. Matt Kemp advanced to 2B on error. Error by Felipe Rivero.
B_Wallace,8434,J Cueto,6893,2016-05-18,Brett Wallace doubled to right (Grounder).
B_Wallace,8434,J Peavy,1051,2016-05-25,Brett Wallace doubled to center (Fliner (Liner)).
B_Wallace,8434,S Kazmir,4897,2016-05-20,Alexei Ramirez advanced on a passed ball to 2B. Passed ball by A.J. Ellis.
B_Wallace,8434,T Chatwood,4338,2016-05-04,Brett Wallace doubled to left (Fliner (Fly)).
B_Wallace,8434,K Hendricks,1204,2016-08-24,Brett Wallace walked.
B_Wallace,8434,C Tsao,1776,2016-05-21,Brett Wallace walked. Wil Myers advanced to 3B. Derek Norris advanced to 2B.
B_Wallace,8434,J Samardzija,3254,2016-04-27,Brett Wallace walked.
B_Wallace,8434,J Gomez,9033,2016-04-13,Brett Wallace singled to right (Grounder). Derek Norris scored.
B_Wallace,8434,R Dickey,1245,2016-07-27,Brett Wallace homered (Fliner (Fly)).
B_Wallace,8434,A Reed,1058,2016-05-07,Brett Wallace singled to right (Fly).
B_Wallace,8434,M Bumgarner,5524,2016-05-17,Brett Wallace singled to right (Grounder).
B_Wallace,8434,C Bettis,1058,2016-06-04,Brett Wallace singled to center (Fliner (Liner)).
B_Wallace,8434,J Blanton,4849,2016-05-21,Brett Wallace walked.
B_Wallace,8434,S Kazmir,4897,2016-05-20,Brett Wallace walked.
B_Wallace,8434,J Lester,4930,2016-08-22,Brett Wallace singled to right (Fliner (Liner)). Brett Wallace advanced to 3B on error. Error by Jason Heyward.
B_Wallace,8434,J Biagini,1319,2016-07-27,Brett Wallace singled to center (Fliner (Liner)). Christian Bethancourt scored. Alexei Ramirez advanced to 2B.
B_Wallace,8434,J deGrom,1095,2016-05-05,Brett Wallace doubled to right (Fliner (Liner)).
B_Wallace,8434,M Bumgarner,5524,2016-05-17,Brett Wallace doubled to left (Fliner (Liner)).
B_Wallace,8434,J Gray,1491,2016-05-02,Brett Wallace walked.
B_Wallace,8434,A Bradley,1291,2016-05-29,Brett Wallace walked.
B_Wallace,8434,K Hendricks,1204,2016-05-11,Brett Wallace was hit by a pitch.
B_Wallace,8434,K Maeda,1849,2016-05-22,Brett Wallace was hit by a pitch.
B_Wallace,8434,J Samardzija,3254,2016-05-24,Brett Wallace walked.
B_Wallace,8434,B Shipley,1515,2016-08-21,Brett Wallace doubled to right (Fliner (Liner)). Christian Bethancourt scored.
B_Wallace,8434,S Kazmir,4897,2016-05-20,Brett Wallace walked.
B_Wallace,8434,J Guerra,5702,2016-05-13,Brett Wallace walked.
B_Wallace,8434,J deGrom,1095,2016-05-05,Brett Wallace walked.
B_Wallace,8434,Z Britton,3240,2016-06-22,Brett Wallace walked.
B_Wallace,8434,C Gearrin,7947,2016-04-27,Brett Wallace walked.
B_Wallace,8434,R Ray,1148,2016-05-27,Brett Wallace singled to left (Grounder).
B_Wallace,8434,J deGrom,1095,2016-05-05,Brett Wallace singled to right (Grounder).
B_Wallace,8434,N Ramirez,7677,2016-05-11,Brett Wallace was intentionally walked.
B_Wallace,8434,J Johnson,3656,2016-06-06,Brett Wallace hit a ground rule double (Fliner (Liner)).
B_Wallace,8434,G Kontos,9486,2016-05-24,Brett Wallace singled to right (Fliner (Liner)).
B_Wallace,8434,J Miller,8580,2016-06-05,Brett Wallace homered (Fliner (Fly)).
B_Wallace,8434,S Bracho,1505,2016-05-27,Brett Wallace struck out looking.
B_Wallace,8434,D Farquhar,8501,2016-08-16,Brett Wallace struck out swinging.
B_Wallace,8434,M Melancon,4264,2016-04-21,Brett Wallace struck out swinging.
B_Wallace,8434,B Ellington,1723,2016-06-13,Brett Wallace struck out swinging.
B_Wallace,8434,A Swarzak,7466,2016-07-01,Brett Wallace struck out swinging.
B_Wallace,8434,L Verrett,1290,2016-05-05,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,H Iwakuma,1304,2016-05-31,Brett Wallace struck out swinging.
B_Wallace,8434,J Benoit,1437,2016-07-27,Brett Wallace flied out to center (Fly).
B_Wallace,8434,S Bracho,1505,2016-07-04,Brett Wallace struck out swinging.
B_Wallace,8434,C Kelly,9174,2016-06-06,Brett Wallace reached on fielder's choice to first (Grounder). Melvin Upton Jr. out at second.
B_Wallace,8434,H Robles,1180,2016-08-12,Brett Wallace struck out swinging.
B_Wallace,8434,J Smith,1094,2016-06-25,Brett Wallace struck out swinging.
B_Wallace,8434,J Gray,1491,2016-06-05,Brett Wallace struck out swinging.
B_Wallace,8434,W Peralta,7738,2016-05-14,Brett Wallace struck out swinging.
B_Wallace,8434,J Teheran,6797,2016-08-30,Brett Wallace struck out swinging.
B_Wallace,8434,R Ross Jr.,6819,2016-09-05,Brett Wallace flied out to left (Fly).
B_Wallace,8434,J Gray,1491,2016-05-02,Brett Wallace flied out to center (Fliner (Liner)).
B_Wallace,8434,N Syndergaard,1176,2016-05-06,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,J Lester,4930,2016-05-10,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,J Ramirez,1017,2016-08-31,Brett Wallace grounded out to shortstop (Grounder).
B_Wallace,8434,M Harvey,1171,2016-05-08,Brett Wallace struck out swinging.
B_Wallace,8434,C Archer,6345,2016-08-17,Brett Wallace grounded out to shortstop (Grounder).
B_Wallace,8434,M Buschmann,3832,2016-04-16,Brett Wallace grounded out to third (Grounder).
B_Wallace,8434,B Shipley,1515,2016-08-21,Brett Wallace grounded out to second (Liner).
B_Wallace,8434,M Bumgarner,5524,2016-07-15,Brett Wallace struck out swinging.
B_Wallace,8434,K Jansen,3096,2016-04-05,Brett Wallace struck out swinging.
B_Wallace,8434,K Hendricks,1204,2016-05-11,Brett Wallace struck out looking.
B_Wallace,8434,A Nola,1614,2016-04-11,Brett Wallace flied out to right (Fliner (Liner)).
B_Wallace,8434,T Chatwood,4338,2016-05-04,Brett Wallace grounded out to shortstop (Grounder).
B_Wallace,8434,J Nelson,1054,2016-05-12,Brett Wallace struck out swinging.
B_Wallace,8434,A DeSclafani,1305,2016-07-30,Brett Wallace flied out to left (Fly).
B_Wallace,8434,N Syndergaard,1176,2016-05-06,Brett Wallace lined out to first (Liner).
B_Wallace,8434,J Taillon,1167,2016-08-11,Brett Wallace flied out to right (Fliner (Liner)).
B_Wallace,8434,A Ramos,8350,2016-06-14,Brett Wallace grounded out to shortstop (Grounder).
B_Wallace,8434,C Morton,4676,2016-04-12,Brett Wallace grounded out to first (Grounder).
B_Wallace,8434,U Jimenez,3374,2016-06-22,Brett Wallace struck out swinging.
B_Wallace,8434,Z Greinke,1943,2016-05-28,Brett Wallace grounded out to third (Grounder).
B_Wallace,8434,K Hendricks,1204,2016-08-24,Brett Wallace hit a sacrifice fly to center (Fly). Ryan Schimpf scored.
B_Wallace,8434,C Archer,6345,2016-08-17,Brett Wallace struck out swinging.
B_Wallace,8434,T Anderson,1288,2016-06-12,Brett Wallace struck out swinging.
B_Wallace,8434,A Liberatore,1063,2016-07-09,Brett Wallace struck out swinging.
B_Wallace,8434,J Gray,1491,2016-06-10,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,E Butler,1345,2016-05-03,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,T Chatwood,4338,2016-05-04,Brett Wallace struck out swinging.
B_Wallace,8434,B Boxberger,1013,2016-08-15,Brett Wallace flied out to right (Fly).
B_Wallace,8434,A Sanchez,1149,2016-07-25,Brett Wallace grounded out to first (Grounder).
B_Wallace,8434,S Miller,1019,2016-04-16,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,B Wood,1345,2016-07-31,Brett Wallace struck out swinging.
B_Wallace,8434,D Smyly,1176,2016-08-15,Brett Wallace grounded out to second (Grounder).
B_Wallace,8434,B Ziegler,7293,2016-05-28,Brett Wallace grounded out to first (Grounder). Yangervis Solarte advanced to 3B. Melvin Upton Jr. advanced to 2B.
B_Wallace,8434,J Nelson,1054,2016-05-12,Brett Wallace struck out swinging.
B_Wallace,8434,M Leake,1013,2016-04-24,Brett Wallace struck out looking.
B_Wallace,8434,J Benoit,1437,2016-06-02,Brett Wallace struck out swinging.
B_Wallace,8434,J Gray,1491,2016-05-02,Brett Wallace struck out swinging.
B_Wallace,8434,W Peralta,7738,2016-05-14,Brett Wallace struck out looking.
B_Wallace,8434,A Sanchez,1149,2016-07-25,Brett Wallace flied out to left (Fliner (Fly)).
B_Wallace,8434,B Colon,375&,2016-05-07,Brett Wallace grounded out to first (Grounder).
B_Wallace,8434,M Wacha,1407,2016-04-23,Brett Wallace flied out to center (Fliner (Fly)).
B_Wallace,8434,A Wood,1378,2016-05-21,Brett Wallace struck out looking.
B_Wallace,8434,K Maeda,1849,2016-07-10,Brett Wallace struck out swinging.
B_Wallace,8434,J Grimm,1172,2016-08-22,Brett Wallace struck out swinging.
B_Wallace,8434,J Samardzija,3254,2016-05-24,Brett Wallace struck out swinging.
B_Wallace,8434,K Hendricks,1204,2016-08-24,Brett Wallace struck out swinging.
B_Wallace,8434,J Samardzija,3254,2016-05-19,Brett Wallace flied out to first (Fly).
