playername,playerid,vsname,vsid,date,Play
C_Adames,6013,J Nathan,1122,2016-09-07,Cristhian Adames doubled to right (Fliner (Fly)). Pat Valaika scored. Charlie Blackmon scored. Nick Hundley advanced to 3B.
C_Adames,6013,Y Petit,4020,2016-08-27,Cristhian Adames singled to third (Grounder). Cristhian Adames advanced to 2B on error. Error by Anthony Rendon.
C_Adames,6013,J Jeffress,9490,2016-08-11,Cristhian Adames singled to shortstop (Grounder). DJ LeMahieu scored.
C_Adames,6013,M Estrada,1118,2016-06-27,Cristhian Adames doubled to center (Fliner (Liner)). Charlie Blackmon advanced to 3B.
C_Adames,6013,J Blanton,4849,2016-09-25,Cristhian Adames singled to right (Grounder).
C_Adames,6013,M Moore,1890,2016-09-27,Cristhian Adames doubled to left (Grounder).
C_Adames,6013,A Bradley,1291,2016-06-24,Cristhian Adames doubled to left (Fliner (Liner)).
C_Adames,6013,J Hughes,9325,2016-05-21,Cristhian Adames homered (Fliner (Fly)). Tony Wolters scored.
C_Adames,6013,A Cashner,8782,2016-08-06,Cristhian Adames singled to right (Liner).
C_Adames,6013,R Scahill,9286,2016-04-25,Cristhian Adames singled to center (Liner). DJ LeMahieu advanced to 3B.
C_Adames,6013,R Stripling,1327,2016-08-31,Cristhian Adames singled to right (Grounder). Gerardo Parra advanced to 3B.
C_Adames,6013,R Stripling,1327,2016-09-23,Cristhian Adames singled to shortstop (Grounder).
C_Adames,6013,D Straily,9460,2016-04-18,Cristhian Adames walked.
C_Adames,6013,J Happ,7410,2016-06-28,Cristhian Adames walked.
C_Adames,6013,M Moore,1890,2016-09-05,Cristhian Adames walked.
C_Adames,6013,A Conley,1445,2016-08-07,Cristhian Adames singled to center (Liner).
C_Adames,6013,C Anderson,6895,2016-08-23,Cristhian Adames walked. Ryan Raburn advanced to 3B. Daniel Descalso advanced to 2B.
C_Adames,6013,T Cravy,1077,2016-10-02,Cristhian Adames walked.
C_Adames,6013,M Estrada,1118,2016-06-27,Cristhian Adames singled to center (Grounder).
C_Adames,6013,M Rzepczynski,6612,2016-08-27,Cristhian Adames singled to pitcher (Bunt Grounder).
C_Adames,6013,A Bradley,1291,2016-06-24,Cristhian Adames walked.
C_Adames,6013,C Hamels,4972,2016-08-08,Cristhian Adames advanced on a stolen base to 2B.
C_Adames,6013,J Barrett,1332,2016-06-26,Cristhian Adames walked.
C_Adames,6013,C Gearrin,7947,2016-05-28,Cristhian Adames walked.
C_Adames,6013,A Reed,1058,2016-07-31,Cristhian Adames singled to center (Grounder).
C_Adames,6013,J Peavy,1051,2016-07-04,Cristhian Adames singled to second (Grounder).
C_Adames,6013,G Cole,1312,2016-04-26,Cristhian Adames walked.
C_Adames,6013,P Corbin,9323,2016-09-04,Cristhian Adames doubled to left (Fliner (Liner)).
C_Adames,6013,J Marinez,5830,2016-08-23,Cristhian Adames walked.
C_Adames,6013,B Norris,9492,2016-08-31,Cristhian Adames tripled to center (Fly).
C_Adames,6013,K Maeda,1849,2016-08-04,Cristhian Adames was hit by a pitch.
C_Adames,6013,C Gearrin,7947,2016-07-05,Cristhian Adames walked.
C_Adames,6013,D Wright,1517,2016-05-31,Cristhian Adames doubled to right (Fliner (Liner)).
C_Adames,6013,B Norris,9492,2016-08-31,Cristhian Adames singled to left (Fliner (Liner)). Nick Hundley advanced to 2B.
C_Adames,6013,D Kiekhefer,1052,2016-05-17,Cristhian Adames singled to third (Bunt Grounder).
C_Adames,6013,G Kontos,9486,2016-04-12,Cristhian Adames singled to center (Grounder).
C_Adames,6013,J Chavez,5448,2016-08-31,Cristhian Adames singled to shortstop (Grounder).
C_Adames,6013,S Romo,9817,2016-09-29,Cristhian Adames singled to right (Fliner (Liner)).
C_Adames,6013,J Johnson,3656,2016-07-23,Cristhian Adames advanced on a stolen base to 2B.
C_Adames,6013,M Moore,1890,2016-09-05,Cristhian Adames walked.
C_Adames,6013,S Romo,9817,2016-09-29,Cristhian Adames advanced on a wild pitch to 2B.
C_Adames,6013,J Tazawa,4079,2016-05-25,Cristhian Adames singled to center (Grounder).
C_Adames,6013,B Morrow,9346,2016-09-08,Cristhian Adames homered (Fly).
C_Adames,6013,J Osich,1152,2016-09-27,Cristhian Adames grounded out to pitcher (Grounder). Nick Hundley scored. Stephen Cardullo advanced to 3B.
C_Adames,6013,J Smith,1437,2016-09-17,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,D Hudson,7146,2016-09-04,Cristhian Adames advanced on a wild pitch to 3B.
C_Adames,6013,E Romero,4001,2016-07-20,Cristhian Adames struck out swinging.
C_Adames,6013,C Richard,3551,2016-09-08,Cristhian Adames struck out looking.
C_Adames,6013,D Hernandez,4259,2016-08-12,Cristhian Adames struck out swinging.
C_Adames,6013,M Cabrera,1297,2016-07-21,Cristhian Adames grounded out to pitcher (Grounder). Nick Hundley advanced to 2B.
C_Adames,6013,R Tepera,1029,2016-06-27,Cristhian Adames lined out to first (Liner).
C_Adames,6013,D Alvarez,1423,2016-07-24,Cristhian Adames flied out to right (Fly).
C_Adames,6013,C Hatcher,3299,2016-07-02,Cristhian Adames struck out looking.
C_Adames,6013,B Treinen,1257,2016-08-16,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,T Wood,9884,2016-04-16,Cristhian Adames grounded out to third (Grounder).
C_Adames,6013,J Barrett,1332,2016-04-05,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,T Cravy,1077,2016-08-24,Cristhian Adames struck out swinging.
C_Adames,6013,M Andriese,1202,2016-07-19,Cristhian Adames grounded out to first (Grounder).
C_Adames,6013,S Miller,1019,2016-06-25,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,C Kershaw,2036,2016-09-24,Cristhian Adames flied out to center (Fliner (Fly)).
C_Adames,6013,M Melancon,4264,2016-08-26,Cristhian Adames struck out looking.
C_Adames,6013,L Avilan,2882,2016-08-31,Cristhian Adames flied out to center (Fly).
C_Adames,6013,C Richard,3551,2016-09-08,Cristhian Adames struck out looking.
C_Adames,6013,T Clippard,5640,2016-05-01,Cristhian Adames flied out to left (Fliner (Fly)).
C_Adames,6013,T Cahill,6249,2016-08-20,Cristhian Adames grounded out to first (Grounder).
C_Adames,6013,H Strickland,7836,2016-04-14,Cristhian Adames struck out swinging.
C_Adames,6013,R Buchter,9456,2016-06-03,Cristhian Adames flied out to right (Fliner (Liner)).
C_Adames,6013,A Bastardo,8844,2016-07-29,Cristhian Adames struck out swinging.
C_Adames,6013,T Cravy,1077,2016-09-30,Cristhian Adames struck out swinging.
C_Adames,6013,A Schugel,1143,2016-04-25,Cristhian Adames flied out to center (Fly).
C_Adames,6013,K Jansen,3096,2016-09-23,Cristhian Adames flied out to left (Fliner (Fly)).
C_Adames,6013,S Kazmir,4897,2016-07-02,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,B McCarthy,4662,2016-07-03,Cristhian Adames flied out to left (Fliner (Liner)).
C_Adames,6013,M Perez,6902,2016-08-10,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,E Escobar,1033,2016-09-03,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,B Hand,9111,2016-05-04,Cristhian Adames struck out swinging.
C_Adames,6013,J Cueto,6893,2016-09-29,Cristhian Adames struck out swinging.
C_Adames,6013,C Fien,3926,2016-07-03,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,K Maeda,1849,2016-08-04,Cristhian Adames grounded out to first (Grounder).
C_Adames,6013,B Maurer,4878,2016-04-10,Cristhian Adames struck out swinging.
C_Adames,6013,A Griffin,1113,2016-08-09,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,M Dunn,9948,2016-06-18,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,J Happ,7410,2016-06-28,Cristhian Adames struck out swinging.
C_Adames,6013,K Maeda,1849,2016-06-08,Cristhian Adames struck out swinging.
C_Adames,6013,A Sanchez,1149,2016-06-29,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,R Delgado,5985,2016-04-04,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,A Claudio,1289,2016-08-09,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,A Claudio,1289,2016-08-08,Cristhian Adames grounded out to third (Grounder).
C_Adames,6013,M Montgomery,4869,2016-08-20,Cristhian Adames struck out swinging.
C_Adames,6013,S Casilla,2873,2016-05-06,Cristhian Adames struck out looking.
C_Adames,6013,C Vargas,1409,2016-05-04,Cristhian Adames reached on fielder's choice to first (Grounder). Tony Wolters scored. Tyler Chatwood out at second.
C_Adames,6013,J Teheran,6797,2016-07-17,Cristhian Adames grounded out to second (Liner).
C_Adames,6013,R Stripling,1327,2016-08-31,Cristhian Adames reached on fielder's choice to shortstop (Grounder). Gerardo Parra out at third.
C_Adames,6013,B McCarthy,4662,2016-09-25,Cristhian Adames flied out to left (Fly).
C_Adames,6013,K Jansen,3096,2016-08-04,Cristhian Adames struck out swinging.
C_Adames,6013,C Cotham,1007,2016-04-19,Cristhian Adames struck out swinging.
C_Adames,6013,C Richard,3551,2016-09-08,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,P Baez,5420,2016-09-25,Cristhian Adames was caught stealing.
C_Adames,6013,T Barnette,3555,2016-08-10,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,A Sanchez,1149,2016-06-29,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,E Burgos,3895,2016-09-12,Cristhian Adames struck out swinging.
C_Adames,6013,R Ray,1148,2016-09-13,Cristhian Adames flied out to right (Fliner (Fly)).
C_Adames,6013,A Sanchez,1149,2016-06-29,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,J Marinez,5830,2016-10-02,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,A Conley,1445,2016-08-07,Cristhian Adames reached on fielder's choice to shortstop (Grounder). Mark Reynolds scored. Gerardo Parra out at second.
C_Adames,6013,R Ohlendorf,8268,2016-04-18,Cristhian Adames flied out to right (Fly).
C_Adames,6013,A Bradley,1291,2016-05-09,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,R Scahill,9286,2016-10-02,Cristhian Adames grounded out to first (Grounder).
C_Adames,6013,Z Eflin,1377,2016-07-10,Cristhian Adames grounded out to second (Grounder).
C_Adames,6013,C Friedrich,7942,2016-09-16,Cristhian Adames grounded out to shortstop (Grounder).
C_Adames,6013,G Gonzalez,7448,2016-08-26,Cristhian Adames struck out swinging.
C_Adames,6013,Z Godley,1486,2016-09-02,Cristhian Adames sacrificed to catcher (Bunt Grounder). Raimel Tapia advanced to 2B.
C_Adames,6013,G Gonzalez,7448,2016-08-16,Cristhian Adames grounded out to third (Grounder).
C_Adames,6013,N Syndergaard,1176,2016-07-31,Cristhian Adames struck out looking.
C_Adames,6013,R Ray,1148,2016-09-13,Cristhian Adames grounded out to second (Grounder). Nick Hundley advanced to 3B.
C_Adames,6013,A Sanchez,1149,2016-06-29,Cristhian Adames grounded out to pitcher (Grounder).
C_Adames,6013,Z Greinke,1943,2016-04-30,Cristhian Adames grounded out to first (Grounder).
C_Adames,6013,Z Greinke,1943,2016-06-23,Cristhian Adames reached on fielder's choice to second (Grounder). Nick Hundley out at second.
C_Adames,6013,C Anderson,6895,2016-08-23,Cristhian Adames flied out to center (Fly).
C_Adames,6013,Y Petit,4020,2016-08-16,Cristhian Adames reached on fielder's choice to shortstop (Grounder). Ryan Raburn advanced to 3B. Nick Hundley out at second.
C_Adames,6013,P Baez,5420,2016-08-04,Cristhian Adames struck out swinging.
C_Adames,6013,S Wright,8185,2016-05-25,Cristhian Adames flied out to center (Fliner (Liner)).
