playername,playerid,vsname,vsid,date,Play
C_Archer,6345,L Cain,9077,2016-08-01,Lorenzo Cain grounded into a double play to shortstop (Grounder). Cheslor Cuthbert out at second.
C_Archer,6345,C Davis,9272,2016-09-16,Chris Davis grounded into a double play to second (Grounder). Manny Machado out at second.
C_Archer,6345,N Reimold,3441,2016-04-08,Nolan Reimold grounded into a double play to second (Grounder). Joey Rickard out at second.
C_Archer,6345,C Rasmus,9893,2016-06-11,Colby Rasmus flied out to center (Fly).
C_Archer,6345,J Upton,5222,2016-07-03,Justin Upton struck out looking.
C_Archer,6345,J Kipnis,9776,2016-04-14,Jason Kipnis flied out to center (Fliner (Fly)).
C_Archer,6345,C Davis,9272,2016-07-15,Chris Davis struck out looking.
C_Archer,6345,V Martinez,393&,2016-07-03,Victor Martinez struck out swinging.
C_Archer,6345,M Napoli,3057,2016-04-14,Mike Napoli fouled out to first (Fly).
C_Archer,6345,D Ortiz,745&,2016-08-23,David Ortiz grounded into a double play to first (Grounder). Xander Bogaerts out at second.
C_Archer,6345,T Anderson,1517,2016-09-29,Tim Anderson grounded into a double play to shortstop (Grounder). Adam Eaton out at second.
C_Archer,6345,T Naquin,1335,2016-04-14,Tyler Naquin lined out to first (Liner). Marlon Byrd out at second.
C_Archer,6345,R Refsnyder,1377,2016-09-10,Rob Refsnyder grounded out to pitcher (Grounder).
C_Archer,6345,A Reed,1624,2016-08-28,A.J. Reed struck out swinging.
C_Archer,6345,C Santana,2396,2016-04-14,Carlos Santana struck out swinging.
C_Archer,6345,T Shaw,1198,2016-06-28,Travis Shaw struck out swinging.
C_Archer,6345,P Alvarez,2495,2016-04-08,Pedro Alvarez grounded into a double play to second (Grounder). Mark Trumbo out at second.
C_Archer,6345,F Lindor,1291,2016-04-14,Francisco Lindor struck out swinging.
C_Archer,6345,I Kinsler,6195,2016-05-22,Ian Kinsler grounded out to shortstop (Grounder).
C_Archer,6345,R Cano,3269,2016-05-11,Robinson Cano struck out swinging.
C_Archer,6345,C Santana,2396,2016-04-14,Carlos Santana reached on fielder's choice to shortstop (Grounder). Mike Napoli out at second.
C_Archer,6345,V Martinez,393&,2016-07-03,Victor Martinez grounded out to first (Grounder). Jose Iglesias advanced to 3B.
C_Archer,6345,J Segura,5933,2016-06-06,Jean Segura struck out swinging.
C_Archer,6345,J Schoop,1126,2016-04-25,Jonathan Schoop lined out to second (Liner).
C_Archer,6345,D LeMahieu,9874,2016-07-20,DJ LeMahieu reached on fielder's choice to second (Grounder). Jorge de la Rosa out at second.
C_Archer,6345,J Castro,8722,2016-06-11,Jason Castro struck out looking.
C_Archer,6345,D Ackley,1009,2016-05-27,Dustin Ackley grounded out to first (Grounder).
C_Archer,6345,S Perez,7304,2016-08-01,Salvador Perez reached on fielder's choice to shortstop (Grounder). Kendrys Morales out at second.
C_Archer,6345,J Thole,9689,2016-04-30,Josh Thole grounded out to first (Grounder).
C_Archer,6345,B McCann,4810,2016-05-27,Brian McCann flied out to third (Fly).
C_Archer,6345,E Gattis,1100,2016-06-11,Evan Gattis fouled out to right (Fly).
C_Archer,6345,J Hardy,3797,2016-04-25,J.J. Hardy reached on fielder's choice to first (Grounder). Matt Wieters out at second.
C_Archer,6345,A Rodriguez,1274,2016-05-27,Alex Rodriguez struck out swinging.
C_Archer,6345,C Santana,2396,2016-04-14,Carlos Santana flied out to shortstop (Fly).
C_Archer,6345,W Merrifield,1128,2016-06-01,Whit Merrifield struck out swinging.
C_Archer,6345,D Pedroia,8370,2016-06-28,Dustin Pedroia struck out looking.
C_Archer,6345,M Wieters,4298,2016-09-16,Matt Wieters grounded out to first (Grounder).
C_Archer,6345,T Austin,1185,2016-09-10,Tyler Austin struck out looking.
C_Archer,6345,X Bogaerts,1216,2016-08-23,Xander Bogaerts struck out swinging.
C_Archer,6345,E Hosmer,3516,2016-08-01,Eric Hosmer struck out looking.
C_Archer,6345,T Frazier,785&,2016-09-29,Todd Frazier struck out swinging.
C_Archer,6345,C Cron,1254,2016-05-06,C.J. Cron struck out swinging.
C_Archer,6345,A Gordon,5209,2016-08-01,Alex Gordon flied out to left (Fly).
C_Archer,6345,M Machado,1149,2016-04-25,Manny Machado grounded out to third (Grounder).
C_Archer,6345,K Pillar,1243,2016-05-17,Kevin Pillar reached on fielder's choice to third (Grounder). Edwin Encarnacion out at third. Troy Tulowitzki advanced to 2B.
C_Archer,6345,J Rickard,1327,2016-04-25,Joey Rickard flied out to center (Fliner (Fly)).
C_Archer,6345,C Davis,9272,2016-09-16,Chris Davis struck out swinging.
C_Archer,6345,M Gonzalez,5497,2016-08-28,Marwin Gonzalez struck out swinging.
C_Archer,6345,A Eaton,1120,2016-09-29,Adam Eaton grounded out to first (Grounder).
C_Archer,6345,J Donaldson,5038,2016-05-17,Josh Donaldson fouled out to first (Fly).
C_Archer,6345,A Lind,8027,2016-05-11,Adam Lind struck out swinging.
C_Archer,6345,M Wieters,4298,2016-04-08,Matt Wieters struck out swinging.
C_Archer,6345,M Trumbo,6876,2016-04-08,Mark Trumbo flied out to center (Fly).
C_Archer,6345,R Mondesi,1376,2016-08-01,Raul Mondesi sacrificed to pitcher (Bunt Grounder). Paulo Orlando advanced to 3B.
C_Archer,6345,C Rasmus,9893,2016-06-11,Colby Rasmus flied out to right (Fly).
C_Archer,6345,J Martinez,6184,2016-05-22,J.D. Martinez grounded out to third (Grounder).
C_Archer,6345,M Teixeira,1281,2016-08-12,Mark Teixeira struck out looking.
C_Archer,6345,T Shaw,1198,2016-04-20,Travis Shaw struck out swinging.
C_Archer,6345,J Ellsbury,4727,2016-05-27,Jacoby Ellsbury grounded out to second (Grounder).
C_Archer,6345,R Martin,4616,2016-04-03,Russell Martin struck out swinging.
C_Archer,6345,R Schimpf,9953,2016-08-17,Ryan Schimpf flied out to center (Fly).
C_Archer,6345,T Anderson,1517,2016-09-29,Tim Anderson struck out swinging.
C_Archer,6345,J Bautista,1887,2016-04-03,Jose Bautista struck out looking.
C_Archer,6345,C Colabello,1305,2016-04-03,Chris Colabello struck out swinging.
C_Archer,6345,B McCann,4810,2016-08-12,Brian McCann struck out swinging.
C_Archer,6345,M Machado,1149,2016-09-16,Manny Machado flied out to center (Fly).
C_Archer,6345,E Encarnacion,2151,2016-04-30,Edwin Encarnacion flied out to right (Fly).
C_Archer,6345,L Garcia,5913,2016-09-29,Leury Garcia grounded out to second (Grounder).
C_Archer,6345,M Saunders,9981,2016-05-17,Michael Saunders struck out looking.
C_Archer,6345,P Orlando,8628,2016-08-01,Paulo Orlando flied out to center (Fly).
