playername,playerid,vsname,vsid,date,Play
C_Asuaje,1519,A Suarez,6175,2016-09-23,Carlos Asuaje doubled to right (Liner). Jon Jay advanced to 3B.
C_Asuaje,1519,J Chavez,5448,2016-09-29,Carlos Asuaje singled to right (Liner). Hunter Renfroe scored. Derek Norris advanced to 2B.
C_Asuaje,1519,B Anderson,8223,2016-09-29,Carlos Asuaje singled to center (Fliner (Liner)).
C_Asuaje,1519,L Coleman,9720,2016-09-27,Carlos Asuaje flied out to left (Fly).
C_Asuaje,1519,A Wood,1378,2016-09-29,Carlos Asuaje grounded out to pitcher (Grounder).
C_Asuaje,1519,J Fields,5070,2016-09-27,Carlos Asuaje struck out swinging.
C_Asuaje,1519,K Maeda,1849,2016-09-27,Carlos Asuaje struck out swinging.
C_Asuaje,1519,M Bumgarner,5524,2016-09-24,Carlos Asuaje fouled out to third (Fly).
C_Asuaje,1519,M Bumgarner,5524,2016-09-24,Carlos Asuaje grounded out to first (Grounder).
C_Asuaje,1519,J Samardzija,3254,2016-09-22,Carlos Asuaje flied out to center (Fly).
C_Asuaje,1519,J Lopez,1663,2016-09-24,Carlos Asuaje grounded out to first (Grounder).
C_Asuaje,1519,J Samardzija,3254,2016-09-22,Carlos Asuaje flied out to right (Fliner (Fly)).
C_Asuaje,1519,S Romo,9817,2016-09-22,Carlos Asuaje grounded out to shortstop (Grounder).
