playername,playerid,vsname,vsid,date,Play
C_Breslow,4363,M Conforto,1637,2016-04-12,Michael Conforto grounded into a double play to second (Grounder). Neil Walker out at second.
C_Breslow,4363,M Taylor,1148,2016-04-07,Michael Taylor reached on fielder's choice to shortstop (Grounder). Chris Heisey out at second.
C_Breslow,4363,L Duda,2502,2016-04-12,Lucas Duda struck out swinging.
C_Breslow,4363,A Rendon,1286,2016-04-07,Anthony Rendon struck out looking.
C_Breslow,4363,E Aybar,4082,2016-04-16,Erick Aybar grounded into a double play to third (Grounder). Drew Stubbs out at second.
C_Breslow,4363,V Velasquez,1118,2016-05-06,Vince Velasquez flied out to center (Fly).
C_Breslow,4363,J Pederson,1189,2016-04-26,Joc Pederson flied out to center (Fly).
C_Breslow,4363,O Herrera,1147,2016-05-06,Odubel Herrera grounded out to first (Grounder). Peter Bourjos advanced to 2B.
C_Breslow,4363,M Aviles,5986,2016-04-05,Mike Aviles sacrificed to first (Bunt Grounder). Anthony Gose advanced to 2B.
C_Breslow,4363,F Freeman,5361,2016-04-16,Freddie Freeman flied out to center (Fly).
C_Breslow,4363,A Garcia,1377,2016-04-16,Adonis Garcia grounded out to third (Grounder).
C_Breslow,4363,C Heisey,3978,2016-04-20,Chris Heisey struck out swinging.
C_Breslow,4363,A Pierzynski,746&,2016-04-16,A.J. Pierzynski flied out to first (Fly).
C_Breslow,4363,M Smith,1360,2016-04-16,Mallex Smith struck out swinging.
C_Breslow,4363,J Lagares,5384,2016-04-11,Juan Lagares struck out swinging.
C_Breslow,4363,D Stubbs,9328,2016-04-15,Drew Stubbs struck out swinging.
C_Breslow,4363,A Pierzynski,746&,2016-04-15,A.J. Pierzynski grounded out to second (Grounder).
C_Breslow,4363,A Presley,5305,2016-05-10,Alex Presley grounded out to second (Liner).
C_Breslow,4363,K Nieuwenhuis,6400,2016-05-10,Kirk Nieuwenhuis flied out to center (Fly).
C_Breslow,4363,A Hill,6104,2016-05-01,Aaron Hill grounded out to shortstop (Grounder). Hernan Perez advanced to 2B.
C_Breslow,4363,H Perez,5751,2016-05-10,Hernan Perez walked.
C_Breslow,4363,D Santana,1034,2016-05-10,Domingo Santana advanced on a wild pitch to 2B.
C_Breslow,4363,H Perez,5751,2016-05-10,Ryan Braun advanced on a wild pitch to 2B. Hernan Perez scored.
C_Breslow,4363,R Braun,3410,2016-05-10,Ryan Braun singled to left (Fliner (Liner)). Domingo Santana scored. Hernan Perez advanced to 3B.
C_Breslow,4363,D Murphy,4316,2016-04-20,Daniel Murphy singled to left (Fliner (Fly)).
C_Breslow,4363,K Tomlinson,1300,2016-04-23,Kelby Tomlinson singled to left (Grounder). Gregor Blanco scored.
C_Breslow,4363,D Span,8347,2016-04-23,Denard Span singled to right (Grounder). Kelby Tomlinson advanced to 3B.
C_Breslow,4363,R Flores,1116,2016-04-30,Ramon Flores singled to center (Fliner (Fly)). Jonathan Lucroy scored. Aaron Hill scored.
C_Breslow,4363,P Bourjos,2578,2016-05-06,Peter Bourjos singled to center (Fliner (Fly)).
C_Breslow,4363,G Blanco,3123,2016-04-23,Gregor Blanco tripled to right (Fliner (Fly)).
C_Breslow,4363,C Heisey,3978,2016-04-07,Chris Heisey walked.
C_Breslow,4363,N Walker,7539,2016-04-12,Neil Walker singled to center (Liner). Yoenis Cespedes advanced to 3B.
C_Breslow,4363,O Herrera,1147,2016-05-07,Odubel Herrera singled to left (Fliner (Liner)). David Lough scored. Andres Blanco advanced to 3B.
C_Breslow,4363,I Kinsler,6195,2016-04-05,Ian Kinsler singled to left (Liner). Anthony Gose scored.
