playername,playerid,vsname,vsid,date,Play
C_Buchholz,3543,S Castro,4579,2016-08-10,Starlin Castro grounded into a double play to third (Grounder). Mark Teixeira out at second.
C_Buchholz,3543,G Sanchez,1144,2016-09-16,Gary Sanchez grounded into a double play to third (Grounder). Brett Gardner out at second.
C_Buchholz,3543,J Bautista,1887,2016-04-18,Jose Bautista grounded into a double play to second (Grounder). Michael Saunders out at second.
C_Buchholz,3543,R Weeks Jr.,1849,2016-08-13,Rickie Weeks Jr. grounded into a double play to third (Grounder). Jake Lamb out at second.
C_Buchholz,3543,T Beckham,7949,2016-08-23,Tim Beckham picked off.
C_Buchholz,3543,J Ellsbury,4727,2016-09-28,Jacoby Ellsbury non-force gdp to first (Grounder). Brett Gardner out at second.
C_Buchholz,3543,M Napoli,3057,2016-05-20,Mike Napoli reached on fielder's choice to third (Grounder). Carlos Santana out at home. Francisco Lindor advanced to 2B.
C_Buchholz,3543,B Gardner,9927,2016-09-16,Brett Gardner struck out swinging.
C_Buchholz,3543,J Jay,5227,2016-09-06,Jon Jay struck out swinging.
C_Buchholz,3543,J Ellsbury,4727,2016-09-16,Jacoby Ellsbury lined out to second (Liner).
C_Buchholz,3543,D Travis,1386,2016-05-29,Devon Travis fouled out to first (Fly).
C_Buchholz,3543,R Schimpf,9953,2016-09-06,Ryan Schimpf flied out to second (Fly).
C_Buchholz,3543,R Martin,4616,2016-04-18,Russell Martin grounded into a double play to shortstop (Grounder). Troy Tulowitzki out at second.
C_Buchholz,3543,A Garcia,1377,2016-04-28,Adonis Garcia flied out to second (Fly).
C_Buchholz,3543,M Teixeira,1281,2016-09-16,Mark Teixeira flied out to shortstop (Fly).
C_Buchholz,3543,J Bautista,1887,2016-04-18,Jose Bautista grounded into a double play to third (Grounder). Josh Donaldson out at second.
C_Buchholz,3543,K Davis,9112,2016-05-09,Khris Davis flied out to right (Fliner (Liner)).
C_Buchholz,3543,E Longoria,9368,2016-08-23,Evan Longoria struck out looking.
C_Buchholz,3543,J Uribe,454&,2016-05-20,Juan Uribe flied out to second (Fly).
C_Buchholz,3543,A Pierzynski,746&,2016-04-28,A.J. Pierzynski flied out to right (Fliner (Fly)).
C_Buchholz,3543,S Souza Jr.,5667,2016-08-23,Steven Souza Jr. struck out swinging.
C_Buchholz,3543,A Dickerson,1264,2016-09-06,Alex Dickerson struck out swinging.
C_Buchholz,3543,C Rasmus,9893,2016-04-23,Colby Rasmus flied out to first (Fly).
C_Buchholz,3543,E Carrera,9048,2016-04-18,Ezequiel Carrera struck out looking.
C_Buchholz,3543,E Encarnacion,2151,2016-04-18,Edwin Encarnacion struck out swinging.
C_Buchholz,3543,J Castro,8722,2016-04-23,Jason Castro flied out to right (Fly).
C_Buchholz,3543,M Wieters,4298,2016-04-12,Matt Wieters struck out swinging.
C_Buchholz,3543,J Martinez,6184,2016-08-18,J.D. Martinez struck out swinging.
C_Buchholz,3543,T Beckham,7949,2016-08-23,Tim Beckham grounded out to shortstop (Grounder).
C_Buchholz,3543,B McCann,4810,2016-09-28,Brian McCann fouled out to catcher (Fly).
C_Buchholz,3543,N Arenado,9777,2016-05-26,Nolan Arenado struck out swinging.
C_Buchholz,3543,J Marisnick,1133,2016-05-14,Jake Marisnick grounded out to third (Grounder).
C_Buchholz,3543,B Holaday,1128,2016-06-26,Bryan Holaday flied out to left (Fly).
C_Buchholz,3543,M Cabrera,4022,2016-05-04,Melky Cabrera grounded out to first (Grounder).
C_Buchholz,3543,J Altuve,5417,2016-04-23,Jose Altuve struck out looking.
C_Buchholz,3543,D Gregorius,6012,2016-09-16,Didi Gregorius flied out to second (Fly).
C_Buchholz,3543,O Hernandez,1349,2016-08-13,Oscar Hernandez flied out to center (Fly).
C_Buchholz,3543,P Tucker,1363,2016-05-14,Preston Tucker flied out to third (Fly).
C_Buchholz,3543,O Hernandez,1349,2016-08-13,Oscar Hernandez flied out to left (Fly).
C_Buchholz,3543,J Ellsbury,4727,2016-09-28,Jacoby Ellsbury struck out swinging.
C_Buchholz,3543,A Jones,6368,2016-06-01,Adam Jones flied out to right (Fly).
C_Buchholz,3543,D Navarro,3179,2016-05-04,Dioner Navarro grounded out to shortstop (Grounder).
C_Buchholz,3543,C Headley,4720,2016-09-28,Chase Headley grounded out to first (Grounder).
C_Buchholz,3543,S Vogt,5000,2016-05-09,Stephen Vogt lined out to third (Liner).
C_Buchholz,3543,R Martin,4616,2016-04-18,Russell Martin grounded out to pitcher (Grounder).
C_Buchholz,3543,D Navarro,3179,2016-06-21,Dioner Navarro was caught stealing.
C_Buchholz,3543,K Kiermaier,1103,2016-08-23,Kevin Kiermaier reached on fielder's choice to second (Grounder). Logan Forsythe out at second.
C_Buchholz,3543,B Dozier,9810,2016-07-23,Brian Dozier struck out swinging.
C_Buchholz,3543,E Aybar,4082,2016-08-18,Erick Aybar grounded out to second (Grounder).
C_Buchholz,3543,R Flaherty,7888,2016-04-12,Ryan Flaherty struck out looking.
C_Buchholz,3543,A Romine,1159,2016-08-18,Andrew Romine struck out swinging.
C_Buchholz,3543,J Schoop,1126,2016-04-12,Jonathan Schoop flied out to center (Fliner (Fly)).
C_Buchholz,3543,J Segura,5933,2016-08-13,Jean Segura lined out to third (Liner).
C_Buchholz,3543,H Kim,1871,2016-06-01,Hyun Soo Kim flied out to center (Fly). Adam Jones advanced to 3B.
C_Buchholz,3543,M Semien,1253,2016-05-09,Marcus Semien reached on fielder's choice to shortstop (Grounder). Yonder Alonso out at third.
C_Buchholz,3543,H Sanchez,1028,2016-09-06,Hector Sanchez grounded out to second (Grounder).
C_Buchholz,3543,H Kim,1871,2016-09-21,Hyun Soo Kim flied out to center (Fly).
C_Buchholz,3543,P Clemens,8037,2016-09-06,Paul Clemens fouled out to first (Fly).
C_Buchholz,3543,R Goins,9807,2016-04-18,Ryan Goins grounded out to first (Grounder).
C_Buchholz,3543,P Alvarez,2495,2016-06-01,Pedro Alvarez fouled out to shortstop (Fly).
C_Buchholz,3543,M Saunders,9981,2016-04-18,Michael Saunders grounded out to second (Grounder).
C_Buchholz,3543,B Lawrie,5247,2016-05-04,Brett Lawrie struck out looking.
C_Buchholz,3543,B McCann,4810,2016-09-16,Brian McCann flied out to right (Fly).
C_Buchholz,3543,A Garcia,5760,2016-06-21,Avisail Garcia struck out swinging.
C_Buchholz,3543,J Phegley,9308,2016-05-09,Josh Phegley lined out to third (Liner).
C_Buchholz,3543,J Rickard,1327,2016-04-12,Joey Rickard struck out looking.
C_Buchholz,3543,H Kim,1871,2016-09-21,Hyun Soo Kim grounded out to first (Grounder). Matt Wieters advanced to 3B. J.J. Hardy advanced to 2B.
C_Buchholz,3543,M Aviles,5986,2016-07-27,Mike Aviles flied out to center (Fly).
C_Buchholz,3543,D LeMahieu,9874,2016-05-26,DJ LeMahieu grounded out to first (Grounder). Charlie Blackmon advanced to 2B.
C_Buchholz,3543,J Francoeur,4792,2016-04-28,Jeff Francoeur grounded out to second (Grounder).
C_Buchholz,3543,Y Tomas,1717,2016-08-13,Yasmany Tomas grounded out to second (Grounder).
C_Buchholz,3543,G Springer,1285,2016-04-23,George Springer grounded out to shortstop (Grounder).
C_Buchholz,3543,M Williams,1185,2016-09-28,Mason Williams struck out swinging.
C_Buchholz,3543,A Jackson,9848,2016-05-04,Austin Jackson struck out swinging.
C_Buchholz,3543,M Cabrera,4022,2016-06-21,Melky Cabrera grounded out to first (Grounder).
C_Buchholz,3543,S Castro,4579,2016-09-16,Starlin Castro flied out to third (Fly).
C_Buchholz,3543,A Pierzynski,746&,2016-04-28,A.J. Pierzynski flied out to right (Fly).
C_Buchholz,3543,C Davis,9272,2016-09-21,Chris Davis struck out swinging.
C_Buchholz,3543,B Wilson,6564,2016-08-23,Bobby Wilson struck out swinging.
C_Buchholz,3543,B McCann,4810,2016-09-28,Brian McCann struck out looking.
C_Buchholz,3543,M Machado,1149,2016-09-21,Manny Machado flied out to shortstop (Fly).
C_Buchholz,3543,J Sands,4016,2016-05-04,Jerry Sands struck out looking.
C_Buchholz,3543,L Morrison,9205,2016-08-23,Logan Morrison flied out to left (Fliner (Fly)).
C_Buchholz,3543,M Saunders,9981,2016-04-18,Michael Saunders flied out to left (Fly).
C_Buchholz,3543,Y Escobar,4191,2016-07-02,Yunel Escobar grounded out to shortstop (Grounder).
C_Buchholz,3543,B Gardner,9927,2016-09-16,Brett Gardner flied out to shortstop (Fly).
C_Buchholz,3543,J Schoop,1126,2016-06-01,Jonathan Schoop flied out to center (Fly).
C_Buchholz,3543,R Martin,4616,2016-09-11,Russell Martin struck out swinging.
C_Buchholz,3543,J Sands,4016,2016-05-04,Jerry Sands reached on fielder's choice to third (Grounder). Brett Lawrie out at second.
C_Buchholz,3543,M Smith,1360,2016-04-28,Mallex Smith was caught stealing.
C_Buchholz,3543,A Eaton,1120,2016-05-04,Adam Eaton flied out to left (Fly).
C_Buchholz,3543,Y Escobar,4191,2016-07-02,Yunel Escobar grounded out to pitcher (Grounder).
C_Buchholz,3543,J Hardy,3797,2016-09-21,J.J. Hardy grounded out to shortstop (Grounder).
C_Buchholz,3543,E Longoria,9368,2016-08-29,Evan Longoria hit a sacrifice fly to center (Fliner (Fly)). Bobby Wilson scored. Logan Forsythe advanced to 3B.
C_Buchholz,3543,D Gregorius,6012,2016-09-28,Didi Gregorius grounded out to second (Grounder).
C_Buchholz,3543,G Sanchez,1144,2016-09-28,Gary Sanchez grounded out to shortstop (Grounder). Brett Gardner advanced to 2B.
