playername,playerid,vsname,vsid,date,Play
C_Coghlan,6878,S Cishek,6483,2016-04-08,Chris Coghlan homered (Fly).
C_Coghlan,6878,R Vogelsong,1011,2016-09-27,Chris Coghlan tripled to center (Fliner (Fly)). Javier Baez scored. Munenori Kawasaki scored. Dexter Fowler scored.
C_Coghlan,6878,J Barbato,1144,2016-04-21,Chris Coghlan homered (Fly). Stephen Vogt scored.
C_Coghlan,6878,H Iwakuma,1304,2016-07-29,Chris Coghlan singled to center (Fliner (Liner)). Javier Baez scored. David Ross scored. Chris Coghlan advanced to 2B.
C_Coghlan,6878,C Torres,7624,2016-09-16,Chris Coghlan singled to center (Fliner (Liner)). Willson Contreras scored.
C_Coghlan,6878,E Ramirez,1031,2016-05-15,Chris Coghlan homered (Fly).
C_Coghlan,6878,K Medlen,9417,2016-04-17,Chris Coghlan hit a ground rule double (Fliner (Fly)).
C_Coghlan,6878,Z Davies,1318,2016-09-17,Chris Coghlan homered (Fly). Kris Bryant scored.
C_Coghlan,6878,M Leake,1013,2016-09-23,Chris Coghlan doubled to right (Grounder). Jason Heyward scored. Chris Coghlan advanced to 3B.
C_Coghlan,6878,M Dunn,9948,2016-06-24,Chris Coghlan walked. Ben Zobrist advanced to 3B. Willson Contreras advanced to 2B.
C_Coghlan,6878,C Anderson,6895,2016-09-16,Chris Coghlan singled to left (Liner).
C_Coghlan,6878,J Chavez,5448,2016-04-24,Chris Coghlan homered (Fly).
C_Coghlan,6878,D Fister,9425,2016-05-01,Chris Coghlan singled to center (Liner).
C_Coghlan,6878,M Wacha,1407,2016-06-22,Chris Coghlan walked.
C_Coghlan,6878,K Medlen,9417,2016-04-17,Chris Coghlan walked. Stephen Vogt advanced to 2B.
C_Coghlan,6878,Z Davies,1318,2016-06-07,Chris Coghlan walked.
C_Coghlan,6878,R Porcello,2717,2016-05-11,Chris Coghlan singled to left (Fliner (Liner)).
C_Coghlan,6878,V Nuno,9674,2016-05-04,Chris Coghlan singled to left (Liner). Khris Davis scored. Billy Butler advanced to 2B.
C_Coghlan,6878,C Martinez,1168,2016-08-11,Chris Coghlan walked.
C_Coghlan,6878,W Smith,8048,2016-09-03,Chris Coghlan walked.
C_Coghlan,6878,F Liriano,3201,2016-06-17,Chris Coghlan doubled to left (Grounder).
C_Coghlan,6878,A Wainwright,2233,2016-06-21,Chris Coghlan singled to left (Liner).
C_Coghlan,6878,M Latos,3815,2016-04-07,Chris Coghlan singled to left (Liner).
C_Coghlan,6878,D Straily,9460,2016-06-27,Chris Coghlan singled to right (Grounder).
C_Coghlan,6878,M Leake,1013,2016-08-14,Chris Coghlan doubled to left (Liner).
C_Coghlan,6878,S Cishek,6483,2016-05-02,Chris Coghlan walked.
C_Coghlan,6878,J Broxton,4759,2016-06-21,Chris Coghlan walked.
C_Coghlan,6878,R Vogelsong,1011,2016-09-27,Chris Coghlan singled to right (Fliner (Liner)).
C_Coghlan,6878,T Koehler,6570,2016-06-24,Chris Coghlan walked.
C_Coghlan,6878,H Iwakuma,1304,2016-05-03,Chris Coghlan walked. Stephen Vogt advanced to 2B.
C_Coghlan,6878,F Liriano,3201,2016-06-17,Chris Coghlan advanced on a wild pitch to 3B.
C_Coghlan,6878,J Fernandez,1153,2016-08-02,Chris Coghlan balked to 2B.
C_Coghlan,6878,F Hernandez,4772,2016-07-31,Chris Coghlan walked.
C_Coghlan,6878,M Pelfrey,5203,2016-05-29,Chris Coghlan singled to left (Liner).
C_Coghlan,6878,A Sanchez,3284,2016-04-28,Chris Coghlan walked.
C_Coghlan,6878,R Stephenson,1359,2016-09-21,Chris Coghlan was intentionally walked.
C_Coghlan,6878,J Taillon,1167,2016-06-19,Chris Coghlan singled to center (Liner).
C_Coghlan,6878,R Vogelsong,1011,2016-09-27,Chris Coghlan walked.
C_Coghlan,6878,M Leake,1013,2016-09-23,Chris Coghlan walked.
C_Coghlan,6878,S Brault,1529,2016-09-26,Chris Coghlan singled to second (Grounder).
C_Coghlan,6878,R Porcello,2717,2016-05-11,Chris Coghlan singled to center (Liner).
C_Coghlan,6878,B Hardy,6499,2016-04-28,Chris Coghlan walked.
C_Coghlan,6878,A Sanchez,3284,2016-04-28,Chris Coghlan advanced on a stolen base to 2B.
C_Coghlan,6878,S O'Sullivan,9137,2016-05-10,Chris Coghlan doubled to right (Liner). Marcus Semien advanced to 3B.
C_Coghlan,6878,Z Putnam,9080,2016-04-07,Chris Coghlan advanced on a wild pitch to 2B.
C_Coghlan,6878,D Magnifico,1339,2016-08-16,Chris Coghlan hit a sacrifice fly to right (Fliner (Fly)). Ben Zobrist scored.
C_Coghlan,6878,M Barnes,1286,2016-05-11,Chris Coghlan walked.
C_Coghlan,6878,K Medlen,9417,2016-04-17,Chris Coghlan reached on dropped third strike (pb). Passed ball by Salvador Perez.
C_Coghlan,6878,P Coke,5535,2016-09-26,Chris Coghlan walked.
C_Coghlan,6878,C Devenski,1276,2016-06-03,Chris Coghlan struck out swinging.
C_Coghlan,6878,M Montgomery,4869,2016-04-09,Chris Coghlan struck out swinging.
C_Coghlan,6878,V Worley,6435,2016-05-08,Chris Coghlan flied out to left (Fliner (Fly)).
C_Coghlan,6878,W Peralta,7738,2016-09-06,Chris Coghlan flied out to shortstop (Fly).
C_Coghlan,6878,A Schugel,1143,2016-06-19,Chris Coghlan flied out to center (Fliner (Liner)).
C_Coghlan,6878,J Tazawa,4079,2016-05-10,Chris Coghlan lined out to pitcher (Liner). Marcus Semien advanced to 2B on error. Error by Junichi Tazawa.
C_Coghlan,6878,M Socolovich,6697,2016-09-23,Chris Coghlan grounded out to second (Grounder).
C_Coghlan,6878,M Wacha,1407,2016-06-22,Chris Coghlan grounded out to second (Grounder).
C_Coghlan,6878,I Nova,1994,2016-04-20,Chris Coghlan flied out to left (Fly).
C_Coghlan,6878,M Andriese,1202,2016-05-14,Chris Coghlan flied out to center (Fly).
C_Coghlan,6878,J Nicasio,7731,2016-09-27,Chris Coghlan grounded out to third (Grounder).
