playername,playerid,vsname,vsid,date,Play
C_Cotham,1007,C Stewart,3878,2016-05-01,Chris Stewart flied out to second (Fly).
C_Cotham,1007,J Jaso,5887,2016-05-01,John Jaso struck out swinging.
C_Cotham,1007,L Chisenhall,7571,2016-05-18,Lonnie Chisenhall grounded out to second (Grounder).
C_Cotham,1007,C Figueroa,8790,2016-04-08,Cole Figueroa fouled out to third (Liner).
C_Cotham,1007,B Posey,9166,2016-05-03,Buster Posey grounded out to shortstop (Grounder).
C_Cotham,1007,J Kipnis,9776,2016-05-19,Jason Kipnis flied out to left (Fly).
C_Cotham,1007,O Herrera,1147,2016-04-06,Odubel Herrera flied out to center (Fly).
C_Cotham,1007,J Harrison,8202,2016-05-01,Josh Harrison grounded out to shortstop (Grounder). Andrew McCutchen advanced to 2B.
C_Cotham,1007,J Kipnis,9776,2016-05-18,Jason Kipnis flied out to right (Fly).
C_Cotham,1007,J Samardzija,3254,2016-05-03,Jeff Samardzija struck out swinging.
C_Cotham,1007,J Villar,1007,2016-05-06,Jonathan Villar fouled out to third (Fliner (Fly)).
C_Cotham,1007,G Parra,8553,2016-04-18,Gerardo Parra grounded out to pitcher (Grounder).
C_Cotham,1007,C Adames,6013,2016-04-19,Cristhian Adames struck out swinging.
C_Cotham,1007,B Belt,1026,2016-05-03,Brandon Belt singled to left (Fliner (Liner)). Hunter Pence advanced to 3B. Brandon Belt out.
C_Cotham,1007,W Flores,5827,2016-04-26,Wilmer Flores struck out looking.
C_Cotham,1007,K Bryant,1542,2016-04-23,Kris Bryant grounded out to shortstop (Grounder).
C_Cotham,1007,A Hill,6104,2016-05-06,Aaron Hill flied out to center (Fliner (Liner)).
C_Cotham,1007,M Montero,3364,2016-04-23,Miguel Montero flied out to center (Fly).
C_Cotham,1007,D LeMahieu,9874,2016-04-19,DJ LeMahieu grounded out to shortstop (Grounder).
C_Cotham,1007,A Nola,1614,2016-05-14,Aaron Nola out on a dropped third strike.
C_Cotham,1007,A Rizzo,3473,2016-04-23,Anthony Rizzo struck out swinging.
C_Cotham,1007,F Galvis,6609,2016-05-14,Freddy Galvis out on a dropped third strike.
C_Cotham,1007,C Walsh,1096,2016-05-06,Colin Walsh grounded out to first (Grounder).
C_Cotham,1007,J Lucroy,7870,2016-05-27,Jonathan Lucroy grounded out to shortstop (Grounder).
C_Cotham,1007,J Harrison,8202,2016-04-09,Josh Harrison flied out to right (Fliner (Fly)).
C_Cotham,1007,T Story,1256,2016-04-19,Trevor Story flied out to center (Fliner (Fly)).
C_Cotham,1007,M Maldonado,6887,2016-05-06,Martin Maldonado grounded out to second (Grounder).
C_Cotham,1007,K Plawecki,1380,2016-04-25,Kevin Plawecki struck out looking.
C_Cotham,1007,J Soler,1422,2016-04-23,Jorge Soler flied out to second (Fly).
C_Cotham,1007,J Lagares,5384,2016-04-25,Juan Lagares flied out to right (Fliner (Fly)).
C_Cotham,1007,B Zobrist,7435,2016-04-14,Ben Zobrist flied out to left (Fliner (Fly)).
C_Cotham,1007,A Gonzalez,1908,2016-05-24,Adrian Gonzalez reached on fielder's choice to shortstop (Grounder). Corey Seager advanced to 3B. Justin Turner out at second.
C_Cotham,1007,A McCutchen,9847,2016-04-30,Andrew McCutchen flied out to right (Fliner (Fly)).
C_Cotham,1007,D Freese,9549,2016-04-30,David Freese struck out swinging.
C_Cotham,1007,J Ramirez,1351,2016-05-16,Jose Ramirez grounded out to second (Grounder).
C_Cotham,1007,Y Gomes,9627,2016-05-16,Yan Gomes hit a sacrifice fly to left (Fly). Francisco Lindor scored.
C_Cotham,1007,S Marte,9241,2016-04-30,Starling Marte was hit by a pitch.
C_Cotham,1007,J Kipnis,9776,2016-05-16,Jason Kipnis singled to right (Fliner (Liner)).
C_Cotham,1007,M Napoli,3057,2016-05-16,Mike Napoli walked. Michael Martinez advanced to 3B. Francisco Lindor advanced to 2B.
C_Cotham,1007,H Perez,5751,2016-05-28,Hernan Perez advanced on a stolen base to 2B.
C_Cotham,1007,G Blanco,3123,2016-05-03,Gregor Blanco advanced on a stolen base to 2B.
C_Cotham,1007,R Grichuk,1024,2016-04-16,Randal Grichuk advanced on error to 2B. Error by Caleb Cotham.
C_Cotham,1007,C Seager,1362,2016-05-24,Corey Seager was hit by a pitch.
C_Cotham,1007,J Turner,5235,2016-05-24,Justin Turner singled to left (Grounder). Corey Seager advanced to 2B.
C_Cotham,1007,D Fowler,4062,2016-04-23,Dexter Fowler doubled to left (Fliner (Liner)).
C_Cotham,1007,F Cervelli,5275,2016-04-09,Francisco Cervelli singled to left (Liner).
C_Cotham,1007,A Presley,5305,2016-05-28,Alex Presley was hit by a pitch. Aaron Hill advanced to 2B.
C_Cotham,1007,B Zobrist,7435,2016-04-23,Ben Zobrist singled to right (Fliner (Liner)). Jason Heyward scored. Ben Zobrist advanced to 2B.
C_Cotham,1007,R Flores,1116,2016-05-06,Ramon Flores singled to left (Fliner (Liner)).
C_Cotham,1007,R Davis,3708,2016-05-19,Rajai Davis advanced on a stolen base to 3B.
C_Cotham,1007,M Conforto,1637,2016-04-26,Michael Conforto doubled to right (Fliner (Liner)).
C_Cotham,1007,H Perez,5751,2016-05-28,Hernan Perez singled to left (Liner). Aaron Hill scored. Alex Presley advanced to 3B.
C_Cotham,1007,D Fowler,4062,2016-04-11,Dexter Fowler walked. David Ross advanced to 3B. Matt Szczur advanced to 2B.
C_Cotham,1007,H Pence,8252,2016-05-03,Hunter Pence walked.
C_Cotham,1007,F Lindor,1291,2016-05-19,Francisco Lindor singled to left (Fliner (Liner)). Rajai Davis scored.
C_Cotham,1007,R Braun,3410,2016-05-07,Ryan Braun singled to shortstop (Grounder).
C_Cotham,1007,A McCutchen,9847,2016-05-01,Andrew McCutchen singled to right (Liner).
C_Cotham,1007,R Davis,3708,2016-05-19,Rajai Davis doubled to center (Fly). Josh Tomlin scored.
C_Cotham,1007,C Santana,2396,2016-05-19,Carlos Santana homered (Fliner (Fly)). Francisco Lindor scored.
C_Cotham,1007,A Hill,6104,2016-05-07,Aaron Hill homered (Fliner (Fly)). Ryan Braun scored. Jonathan Lucroy scored. Chris Carter scored.
C_Cotham,1007,M Joyce,3353,2016-05-01,Matt Joyce singled to center (Fliner (Fly)). Sean Rodriguez scored. Jordy Mercer advanced to 3B.
