playername,playerid,vsname,vsid,date,Play
C_Gentry,9571,D Holland,4141,2016-04-07,Craig Gentry doubled to left (Grounder). Geovany Soto scored. Yunel Escobar advanced to 3B.
C_Gentry,9571,C Hamels,4972,2016-04-09,Craig Gentry walked. Yunel Escobar advanced to 2B.
C_Gentry,9571,J Danks,6329,2016-04-21,Craig Gentry walked.
C_Gentry,9571,W Miley,8779,2016-04-24,Craig Gentry singled to center (Fliner (Liner)).
C_Gentry,9571,L Hendriks,3548,2016-04-13,Mike Trout advanced on a wild pitch to 2B.
C_Gentry,9571,T Wood,9884,2016-04-04,Craig Gentry struck out looking.
C_Gentry,9571,D Jennings,8073,2016-04-18,Craig Gentry reached on fielder's choice to third (Grounder). C.J. Cron out at second.
C_Gentry,9571,D Jennings,8073,2016-04-18,Craig Gentry grounded out to third (Grounder).
C_Gentry,9571,J Petricka,1053,2016-04-18,Craig Gentry grounded out to catcher (Grounder).
C_Gentry,9571,D Holland,4141,2016-04-07,Craig Gentry flied out to center (Fliner (Fly)).
C_Gentry,9571,W Miley,8779,2016-04-24,Craig Gentry flied out to center (Fly).
C_Gentry,9571,J Lester,4930,2016-04-05,Craig Gentry grounded out to shortstop (Grounder).
C_Gentry,9571,T Milone,7608,2016-04-15,Craig Gentry grounded out to third (Grounder).
C_Gentry,9571,C Sale,1060,2016-04-20,Craig Gentry struck out swinging.
C_Gentry,9571,T Milone,7608,2016-04-15,Craig Gentry grounded out to shortstop (Grounder).
C_Gentry,9571,E Surkamp,2540,2016-04-13,Craig Gentry grounded out to shortstop (Liner).
C_Gentry,9571,C Rodon,1613,2016-04-18,Craig Gentry struck out swinging.
C_Gentry,9571,T Milone,7608,2016-04-15,Craig Gentry flied out to second (Fly).
C_Gentry,9571,E Surkamp,2540,2016-04-13,Craig Gentry grounded out to second (Grounder).
C_Gentry,9571,C Hamels,4972,2016-04-09,Craig Gentry grounded into a double play to third (Grounder). Yunel Escobar out at second.
