playername,playerid,vsname,vsid,date,Play
C_Girodo,1554,M Moreland,3086,2016-05-15,Mitch Moreland reached on fielder's choice to third (Grounder). Drew Stubbs out at second.
C_Girodo,1554,O Herrera,1147,2016-06-15,Odubel Herrera grounded out to shortstop (Grounder). Jimmy Paredes advanced to 2B.
C_Girodo,1554,F Galvis,6609,2016-06-15,Freddy Galvis flied out to right (Fliner (Liner)).
C_Girodo,1554,M Semien,1253,2016-04-22,Marcus Semien flied out to center (Fliner (Fly)).
C_Girodo,1554,J Lowrie,4418,2016-04-22,Jed Lowrie grounded out to shortstop (Grounder).
C_Girodo,1554,C Coghlan,6878,2016-04-22,Chris Coghlan reached on fielder's choice to second (Grounder). Billy Burns out at second.
C_Girodo,1554,R Odor,1228,2016-05-13,Rougned Odor grounded out to first (Grounder).
C_Girodo,1554,D Span,8347,2016-05-11,Denard Span lined out to third (Liner).
C_Girodo,1554,J Panik,1193,2016-05-11,Joe Panik struck out looking.
C_Girodo,1554,J Polanco,1315,2016-05-20,Jorge Polanco flied out to right (Fly).
C_Girodo,1554,N Mazara,1455,2016-05-13,Nomar Mazara grounded out to first (Grounder).
C_Girodo,1554,M Machado,1149,2016-06-17,Manny Machado grounded out to shortstop (Grounder).
C_Girodo,1554,D Santana,1032,2016-05-20,Danny Santana grounded out to second (Grounder).
C_Girodo,1554,S Souza Jr.,5667,2016-05-16,Steven Souza Jr. reached on fielder's choice to third (Grounder). Steve Pearce out at second.
C_Girodo,1554,T Beckham,7949,2016-05-16,Tim Beckham grounded out to third (Grounder).
C_Girodo,1554,S Pearce,9957,2016-05-16,Steve Pearce singled to center (Grounder). Taylor Motter scored. Logan Morrison advanced to 3B.
C_Girodo,1554,T Motter,1239,2016-05-16,Taylor Motter advanced on a wild pitch to 3B.
C_Girodo,1554,N Mazara,1455,2016-05-05,Nomar Mazara reached on error to pitcher (Grounder). Error by Chad Girodo.
C_Girodo,1554,C Coghlan,6878,2016-04-22,Chris Coghlan advanced on a passed ball to 2B. Passed ball by Josh Thole.
C_Girodo,1554,B Burns,1270,2016-04-22,Billy Burns was hit by a pitch.
C_Girodo,1554,D Gregorius,6012,2016-05-25,Didi Gregorius singled to center (Grounder).
C_Girodo,1554,C Davis,9272,2016-06-19,Chris Davis doubled to right (Liner).
C_Girodo,1554,C Seager,1362,2016-05-08,Corey Seager singled to left (Liner). Trayce Thompson scored. Chase Utley advanced to 3B. Corey Seager advanced to 2B.
