playername,playerid,vsname,vsid,date,Play
C_Kershaw,2036,M Wisler,1280,2016-04-21,Matt Wisler grounded into a double play to second (Grounder). Drew Stubbs out at second.
C_Kershaw,2036,M Saunders,9981,2016-05-07,Michael Saunders non-force gdp to second (Grounder). Justin Smoak advanced to 3B. Troy Tulowitzki out at second.
C_Kershaw,2036,R Refsnyder,1377,2016-09-14,Rob Refsnyder struck out swinging.
C_Kershaw,2036,J Panik,1193,2016-04-15,Joe Panik fouled out to third (Fly).
C_Kershaw,2036,D Barney,2430,2016-05-07,Darwin Barney grounded into a double play to second (Grounder). Michael Saunders out at second.
C_Kershaw,2036,B Phillips,791&,2016-05-23,Brandon Phillips grounded into a double play to shortstop (Grounder). Joey Votto out at second.
C_Kershaw,2036,T Flowers,9134,2016-04-21,Tyler Flowers reached on fielder's choice to third (Grounder). Freddie Freeman out at third. Adonis Garcia advanced to 2B.
C_Kershaw,2036,A Romine,5491,2016-09-14,Austin Romine struck out swinging.
C_Kershaw,2036,M Conforto,1637,2016-05-29,Michael Conforto flied out to center (Fliner (Liner)).
C_Kershaw,2036,J Cueto,6893,2016-06-10,Johnny Cueto grounded out to second (Grounder).
C_Kershaw,2036,F Freeman,5361,2016-06-04,Freddie Freeman flied out to left (Fly).
C_Kershaw,2036,H Pence,8252,2016-09-19,Hunter Pence grounded into a double play to shortstop (Grounder). Buster Posey out at second.
C_Kershaw,2036,D Espinosa,9219,2016-06-20,Danny Espinosa flied out to left (Fliner (Liner)).
C_Kershaw,2036,B Wallace,8434,2016-05-01,Brett Wallace struck out looking.
C_Kershaw,2036,M Smith,1360,2016-04-21,Mallex Smith struck out swinging.
C_Kershaw,2036,B Posey,9166,2016-04-15,Buster Posey flied out to left (Fliner (Liner)).
C_Kershaw,2036,J Francoeur,4792,2016-04-21,Jeff Francoeur struck out looking.
C_Kershaw,2036,Y Cespedes,1311,2016-05-29,Yoenis Cespedes struck out swinging.
C_Kershaw,2036,J Realmuto,1173,2016-04-26,J.T. Realmuto struck out swinging.
C_Kershaw,2036,B Drury,1161,2016-06-15,Brandon Drury out on a dropped third strike.
C_Kershaw,2036,B Belt,1026,2016-06-10,Brandon Belt struck out swinging.
C_Kershaw,2036,A Ramirez,5133,2016-05-01,Alexei Ramirez struck out swinging.
C_Kershaw,2036,M Duffy,1383,2016-06-10,Matt Duffy lined out to second (Liner).
C_Kershaw,2036,Z Cozart,2616,2016-05-23,Zack Cozart grounded out to shortstop (Grounder).
C_Kershaw,2036,E Aybar,4082,2016-04-21,Erick Aybar struck out swinging.
C_Kershaw,2036,N Markakis,5930,2016-06-04,Nick Markakis struck out swinging.
C_Kershaw,2036,J Francoeur,4792,2016-06-04,Jeff Francoeur struck out swinging.
C_Kershaw,2036,J Lagares,5384,2016-05-29,Juan Lagares struck out looking.
C_Kershaw,2036,J Donaldson,5038,2016-05-07,Josh Donaldson struck out swinging.
C_Kershaw,2036,J Votto,4314,2016-05-23,Joey Votto struck out looking.
C_Kershaw,2036,M Duffy,1383,2016-04-09,Matt Duffy grounded out to third (Grounder).
C_Kershaw,2036,D Span,8347,2016-06-10,Denard Span struck out looking.
C_Kershaw,2036,D Stubbs,9328,2016-04-21,Drew Stubbs grounded out to shortstop (Grounder).
C_Kershaw,2036,B Finnegan,1620,2016-05-23,Brandon Finnegan reached on fielder's choice to catcher (Bunt Grounder). Tucker Barnhart out at second.
C_Kershaw,2036,M Williamson,1415,2016-06-10,Mac Williamson struck out swinging.
C_Kershaw,2036,A Rosales,9682,2016-05-01,Adam Rosales struck out swinging.
C_Kershaw,2036,N Walker,7539,2016-05-29,Neil Walker struck out swinging.
C_Kershaw,2036,S Marte,9241,2016-06-26,Starling Marte was caught stealing.
C_Kershaw,2036,B Phillips,791&,2016-05-23,Brandon Phillips grounded out to third (Grounder).
C_Kershaw,2036,D Murphy,4316,2016-06-20,Daniel Murphy flied out to left (Fly).
C_Kershaw,2036,D Castro,1545,2016-04-21,Daniel Castro struck out swinging.
C_Kershaw,2036,E Inciarte,4922,2016-06-04,Ender Inciarte grounded out to catcher (Bunt Grounder). Daniel Castro advanced to 3B.
C_Kershaw,2036,W Castillo,3256,2016-06-15,Welington Castillo struck out swinging.
C_Kershaw,2036,J Lagares,5384,2016-05-29,Juan Lagares struck out swinging.
C_Kershaw,2036,W Myers,1004,2016-05-01,Wil Myers grounded out to third (Grounder).
C_Kershaw,2036,T Kelly,7740,2016-05-29,Ty Kelly flied out to left (Fly).
C_Kershaw,2036,D Freese,9549,2016-06-26,David Freese reached on fielder's choice to third (Grounder). Jordy Mercer out at second.
C_Kershaw,2036,D Span,8347,2016-06-10,Denard Span struck out swinging.
C_Kershaw,2036,J Kang,1718,2016-06-26,Jung Ho Kang grounded out to third (Grounder).
C_Kershaw,2036,T Flowers,9134,2016-06-04,Tyler Flowers grounded out to third (Grounder). Jeff Francoeur advanced to 3B.
C_Kershaw,2036,T Flowers,9134,2016-06-04,Tyler Flowers grounded out to third (Grounder).
C_Kershaw,2036,M Wisler,1280,2016-04-21,Matt Wisler grounded out to third (Grounder).
C_Kershaw,2036,J Panik,1193,2016-06-10,Joe Panik grounded out to catcher (Grounder).
C_Kershaw,2036,D Gordon,8203,2016-09-09,Dee Gordon struck out swinging.
C_Kershaw,2036,J Harrison,8202,2016-06-26,Josh Harrison flied out to left (Fly).
C_Kershaw,2036,M Bumgarner,5524,2016-04-09,Madison Bumgarner struck out swinging.
C_Kershaw,2036,R Zimmerman,4220,2016-06-20,Ryan Zimmerman flied out to right (Fliner (Fly)).
C_Kershaw,2036,H Pence,8252,2016-04-15,Hunter Pence flied out to center (Fliner (Fly)).
C_Kershaw,2036,H Pence,8252,2016-10-01,Hunter Pence fouled out to first (Fly).
C_Kershaw,2036,J Weaver,4235,2016-05-17,Jered Weaver struck out looking.
C_Kershaw,2036,S Robinson,4249,2016-05-17,Shane Robinson grounded out to first (Grounder).
C_Kershaw,2036,A Garcia,1377,2016-04-21,Adonis Garcia lined out to first (Liner).
C_Kershaw,2036,E Campbell,6938,2016-05-29,Eric Campbell grounded out to shortstop (Grounder).
C_Kershaw,2036,J Parker,1162,2016-06-10,Jarrett Parker struck out swinging.
C_Kershaw,2036,A Pujols,1177,2016-05-17,Albert Pujols grounded out to pitcher (Grounder).
C_Kershaw,2036,G Hernandez,4146,2016-10-01,Gorkys Hernandez grounded out to second (Grounder).
C_Kershaw,2036,K Tomlinson,1300,2016-04-15,Kelby Tomlinson grounded out to third (Grounder).
C_Kershaw,2036,B Harper,1157,2016-06-20,Bryce Harper struck out swinging.
C_Kershaw,2036,R Refsnyder,1377,2016-09-14,Rob Refsnyder grounded out to third (Grounder).
C_Kershaw,2036,J Weaver,4235,2016-05-17,Jered Weaver grounded out to pitcher (Grounder). Johnny Giavotella advanced to 3B. Shane Robinson advanced to 2B.
C_Kershaw,2036,E Aybar,4082,2016-04-21,Erick Aybar struck out looking.
C_Kershaw,2036,T Barnhart,1020,2016-05-23,Tucker Barnhart grounded out to first (Grounder).
C_Kershaw,2036,B Belt,1026,2016-06-10,Brandon Belt struck out swinging.
C_Kershaw,2036,A Rosales,9682,2016-05-01,Adam Rosales grounded out to third (Grounder).
C_Kershaw,2036,D Span,8347,2016-04-09,Denard Span flied out to right (Fliner (Fly)).
C_Kershaw,2036,J Thole,9689,2016-05-07,Josh Thole struck out swinging.
C_Kershaw,2036,B Belt,1026,2016-10-01,Brandon Belt flied out to left (Fly).
C_Kershaw,2036,W Myers,1004,2016-04-04,Wil Myers struck out swinging.
C_Kershaw,2036,A Hechavarria,1045,2016-04-26,Adeiny Hechavarria grounded out to shortstop (Grounder).
C_Kershaw,2036,D Murphy,4316,2016-06-20,Daniel Murphy grounded out to first (Grounder).
C_Kershaw,2036,S Castro,4579,2016-09-14,Starlin Castro flied out to left (Fliner (Liner)).
C_Kershaw,2036,B Belt,1026,2016-09-19,Brandon Belt struck out swinging.
C_Kershaw,2036,S Marte,9241,2016-06-26,Starling Marte flied out to center (Fly).
C_Kershaw,2036,W Flores,5827,2016-05-29,Wilmer Flores flied out to second (Fly).
C_Kershaw,2036,J Bruce,9892,2016-05-23,Jay Bruce grounded out to first (Grounder).
C_Kershaw,2036,R Raburn,2218,2016-09-24,Ryan Raburn grounded out to shortstop (Grounder).
C_Kershaw,2036,J Segura,5933,2016-06-15,Jean Segura struck out swinging.
C_Kershaw,2036,A Frazier,1522,2016-06-26,Adam Frazier singled to center (Fliner (Liner)). Sean Rodriguez out at home.
C_Kershaw,2036,H Pence,8252,2016-10-01,Hunter Pence out on a dropped third strike.
C_Kershaw,2036,B Crawford,5343,2016-09-19,Brandon Crawford struck out swinging.
C_Kershaw,2036,K Pillar,1243,2016-05-07,Kevin Pillar struck out swinging.
C_Kershaw,2036,G Stanton,4949,2016-04-26,Giancarlo Stanton grounded out to third (Grounder).
