playername,playerid,vsname,vsid,date,Play
C_Luebke,1984,M Reynolds,1378,2016-06-08,Matt Reynolds flied out to center (Fly).
C_Luebke,1984,J Francoeur,4792,2016-05-16,Jeff Francoeur grounded out to second (Grounder). Ender Inciarte scored. Freddie Freeman advanced to 3B.
C_Luebke,1984,S Piscotty,1336,2016-04-06,Stephen Piscotty flied out to second (Fliner (Liner)).
C_Luebke,1984,J Gyorko,1081,2016-06-12,Jedd Gyorko struck out swinging.
C_Luebke,1984,A Cabrera,4962,2016-06-08,Asdrubal Cabrera was intentionally walked.
C_Luebke,1984,J Iglesias,1023,2016-04-12,Jose Iglesias lined out to third (Liner).
C_Luebke,1984,G Parra,8553,2016-06-09,Gerardo Parra flied out to center (Fliner (Fly)).
C_Luebke,1984,R Raburn,2218,2016-06-09,Ryan Raburn struck out looking.
C_Luebke,1984,A Diaz,1593,2016-06-12,Aledmys Diaz grounded out to pitcher (Grounder).
C_Luebke,1984,J Hazelbaker,9399,2016-06-12,Jeremy Hazelbaker struck out swinging.
C_Luebke,1984,A Gose,5097,2016-04-12,Anthony Gose fouled out to third (Fly).
C_Luebke,1984,N Syndergaard,1176,2016-06-15,Noah Syndergaard struck out looking.
C_Luebke,1984,M Reynolds,1378,2016-06-15,Matt Reynolds doubled to right (Fliner (Liner)).
C_Luebke,1984,R Rivera,3648,2016-06-15,Rene Rivera singled to right (Fliner (Liner)). Matt Reynolds scored.
C_Luebke,1984,M Reynolds,7619,2016-06-09,Mark Reynolds walked. Daniel Descalso advanced to 2B.
C_Luebke,1984,M Cabrera,1744,2016-04-12,Miguel Cabrera walked.
C_Luebke,1984,S Piscotty,1336,2016-06-12,Stephen Piscotty doubled to right (Liner).
C_Luebke,1984,J Baez,1297,2016-06-17,Javier Baez was intentionally walked.
C_Luebke,1984,M Cabrera,1744,2016-04-13,Miguel Cabrera walked. Anthony Gose advanced to 3B. Victor Martinez advanced to 2B.
C_Luebke,1984,A Rizzo,3473,2016-06-17,Anthony Rizzo walked. Ben Zobrist advanced to 2B.
C_Luebke,1984,I Kinsler,6195,2016-04-12,Ian Kinsler homered (Fliner (Fly)).
C_Luebke,1984,J Iglesias,1023,2016-04-13,Jose Iglesias walked.
C_Luebke,1984,F Freeman,5361,2016-05-16,Freddie Freeman doubled to center (Liner). Ender Inciarte advanced to 3B.
C_Luebke,1984,A Russell,1410,2016-06-17,Addison Russell walked. Anthony Rizzo scored. Albert Almora advanced to 3B. Javier Baez advanced to 2B.
C_Luebke,1984,K Johnson,2234,2016-05-16,Kelly Johnson homered (Fly). Freddie Freeman scored.
C_Luebke,1984,Y Cespedes,1311,2016-06-08,Yoenis Cespedes singled to center (Grounder).
C_Luebke,1984,W Flores,5827,2016-06-08,Wilmer Flores singled to center (Fliner (Liner)). Yoenis Cespedes scored. Neil Walker advanced to 3B. Asdrubal Cabrera advanced to 2B.
