playername,playerid,vsname,vsid,date,Play
C_McGehee,6086,C Hamels,4972,2016-08-13,Casey McGehee doubled to right (Liner). Dixon Machado scored.
C_McGehee,6086,T Wilhelmsen,9975,2016-08-09,Casey McGehee singled to right (Grounder).
C_McGehee,6086,M Gonzalez,7024,2016-09-06,Casey McGehee singled to left (Liner). J.D. Martinez advanced to 2B.
C_McGehee,6086,J Quintana,1142,2016-09-07,Casey McGehee singled to center (Fliner (Liner)). James McCann advanced to 3B.
C_McGehee,6086,F Hernandez,4772,2016-08-10,Casey McGehee singled to center (Grounder).
C_McGehee,6086,B Oberholtzer,3855,2016-08-27,Casey McGehee singled to right (Grounder).
C_McGehee,6086,R Porcello,2717,2016-08-19,Casey McGehee walked.
C_McGehee,6086,H Iwakuma,1304,2016-08-08,Casey McGehee singled to center (Fliner (Liner)).
C_McGehee,6086,C Hamels,4972,2016-08-13,Casey McGehee singled to center (Grounder).
C_McGehee,6086,H Owens,1314,2016-08-21,Casey McGehee walked.
C_McGehee,6086,R Pressly,7005,2016-08-24,Casey McGehee singled to left (Grounder). J.D. Martinez advanced to 2B.
C_McGehee,6086,J Berrios,1416,2016-08-25,Casey McGehee advanced on a passed ball to 2B. Passed ball by Juan Centeno.
C_McGehee,6086,C Hamels,4972,2016-08-13,Casey McGehee advanced on a wild pitch to 3B.
C_McGehee,6086,A Claudio,1289,2016-08-14,Casey McGehee reached on error to center (Fly). Error by Ian Desmond.
C_McGehee,6086,W Davis,7441,2016-06-18,Casey McGehee grounded out to pitcher (Grounder).
C_McGehee,6086,Z Britton,3240,2016-09-10,Casey McGehee grounded out to third (Grounder).
C_McGehee,6086,J Tazawa,4079,2016-08-21,Casey McGehee struck out swinging.
C_McGehee,6086,J Berrios,1416,2016-08-25,Casey McGehee struck out looking.
C_McGehee,6086,P Light,1342,2016-08-23,Casey McGehee flied out to center (Fliner (Fly)).
C_McGehee,6086,T Duffey,1375,2016-08-24,Casey McGehee flied out to center (Fliner (Fly)).
C_McGehee,6086,P Moylan,4891,2016-08-16,Casey McGehee struck out swinging.
C_McGehee,6086,W LeBlanc,5221,2016-08-09,Casey McGehee struck out looking.
C_McGehee,6086,N Jones,4696,2016-08-29,Casey McGehee grounded out to third (Grounder).
C_McGehee,6086,R O'Rourke,1097,2016-08-24,Casey McGehee grounded out to shortstop (Grounder).
C_McGehee,6086,Y Darvish,1307,2016-08-12,Casey McGehee reached on fielder's choice to second (Grounder). J.D. Martinez out at second.
C_McGehee,6086,R Nolasco,3830,2016-08-26,Casey McGehee grounded out to shortstop (Grounder).
C_McGehee,6086,R Nolasco,3830,2016-08-26,Casey McGehee flied out to left (Fly).
C_McGehee,6086,D Duffy,3542,2016-08-16,Casey McGehee flied out to center (Fliner (Fly)).
C_McGehee,6086,D Duffy,3542,2016-08-16,Casey McGehee flied out to right (Fly).
C_McGehee,6086,J Quintana,1142,2016-09-07,Casey McGehee struck out swinging.
C_McGehee,6086,M Gonzalez,7024,2016-09-06,Casey McGehee grounded out to shortstop (Grounder).
C_McGehee,6086,D Pomeranz,1142,2016-08-20,Casey McGehee struck out swinging.
C_McGehee,6086,J Shields,7059,2016-08-29,Casey McGehee struck out swinging.
C_McGehee,6086,F Hernandez,4772,2016-08-10,Casey McGehee struck out swinging.
C_McGehee,6086,F Hernandez,4772,2016-08-10,Casey McGehee flied out to left (Fliner (Fly)).
C_McGehee,6086,J Jeffress,9490,2016-08-12,Casey McGehee reached on fielder's choice to second (Grounder). Justin Upton out at second.
C_McGehee,6086,A Griffin,1113,2016-08-14,Casey McGehee flied out to right (Fliner (Fly)).
C_McGehee,6086,C Buchholz,3543,2016-08-18,Casey McGehee struck out looking.
C_McGehee,6086,H Iwakuma,1304,2016-08-08,Casey McGehee flied out to center (Fly).
C_McGehee,6086,J Berrios,1416,2016-08-25,Casey McGehee flied out to right (Fliner (Fly)).
C_McGehee,6086,M Strahm,1379,2016-08-17,Casey McGehee flied out to right (Fliner (Fly)).
C_McGehee,6086,A Caminero,8992,2016-08-09,Casey McGehee grounded out to shortstop (Grounder).
C_McGehee,6086,A Miller,6785,2016-09-17,Casey McGehee struck out looking.
C_McGehee,6086,J deGrom,1095,2016-08-07,Casey McGehee flied out to right (Fly).
C_McGehee,6086,T Duffey,1375,2016-08-24,Casey McGehee grounded into a double play to third (Grounder). Justin Upton out at second.
C_McGehee,6086,Y Ventura,1185,2016-08-17,Casey McGehee grounded into a double play to shortstop (Grounder). Tyler Collins out at second.
C_McGehee,6086,Z Britton,3240,2016-09-11,Casey McGehee grounded out to shortstop (Grounder).
C_McGehee,6086,J deGrom,1095,2016-08-07,Casey McGehee grounded into a double play to shortstop (Grounder). J.D. Martinez out at second.
C_McGehee,6086,R Nolasco,3830,2016-08-26,Casey McGehee reached on fielder's choice to shortstop (Grounder). J.D. Martinez out at home.
