playername,playerid,vsname,vsid,date,Play
C_Moran,1690,Z Putnam,9080,2016-05-18,Colin Moran walked.
C_Moran,1690,C Bedrosian,1336,2016-05-27,Colin Moran singled to left (Grounder). Marwin Gonzalez scored. Colby Rasmus scored. Evan Gattis advanced to 2B.
C_Moran,1690,D Altavilla,1650,2016-09-28,Colin Moran was hit by a pitch.
C_Moran,1690,T Barnette,3555,2016-05-22,Colin Moran struck out swinging.
C_Moran,1690,J Weaver,4235,2016-05-28,Colin Moran flied out to right (Fliner (Liner)).
C_Moran,1690,C Lewis,1259,2016-05-20,Colin Moran flied out to left (Fliner (Fly)).
C_Moran,1690,M Latos,3815,2016-05-18,Colin Moran grounded out to second (Grounder).
C_Moran,1690,C Tillman,5279,2016-05-24,Colin Moran struck out swinging.
C_Moran,1690,C Lewis,1259,2016-05-20,Colin Moran flied out to left (Fliner (Liner)).
C_Moran,1690,M Givens,1043,2016-05-24,Colin Moran struck out looking.
C_Moran,1690,J Chacin,2608,2016-10-02,Colin Moran grounded into a double play to second (Grounder). Max Stassi out at second.
C_Moran,1690,J Weaver,4235,2016-05-28,Colin Moran grounded into a double play to shortstop (Grounder). Luis Valbuena out at second.
C_Moran,1690,C Tillman,5279,2016-05-24,Colin Moran grounded into a double play to shortstop (Grounder). Evan Gattis advanced to 3B. Jason Castro out at second.
