playername,playerid,vsname,vsid,date,Play
C_Rasmus,2413,O Arcia,1030,2016-04-16,Oswaldo Arcia struck out swinging.
C_Rasmus,2413,B Buxton,1416,2016-04-17,Byron Buxton reached on fielder's choice to first (Bunt Grounder). Joe Mauer out at second.
C_Rasmus,2413,B Miller,1277,2016-05-06,Brad Miller flied out to center (Fly).
C_Rasmus,2413,E Rosario,1215,2016-04-16,Eddie Rosario fouled out to shortstop (Fly).
C_Rasmus,2413,C Correa,1416,2016-10-01,Carlos Correa struck out swinging.
C_Rasmus,2413,M Sano,1216,2016-04-16,Miguel Sano struck out swinging.
C_Rasmus,2413,C Beltran,589&,2016-06-09,Carlos Beltran struck out swinging.
C_Rasmus,2413,E Nunez,6848,2016-04-16,Eduardo Nunez struck out swinging.
C_Rasmus,2413,J Lucroy,7870,2016-05-03,Jonathan Lucroy flied out to right (Fly).
C_Rasmus,2413,D DeShields,1137,2016-04-08,Delino DeShields flied out to right (Fliner (Liner)).
C_Rasmus,2413,R Martin,4616,2016-09-17,Russell Martin flied out to left (Fly).
C_Rasmus,2413,C Carter,9911,2016-05-03,Chris Carter struck out swinging.
C_Rasmus,2413,I Desmond,6885,2016-04-08,Ian Desmond struck out swinging.
C_Rasmus,2413,P Fielder,4613,2016-04-08,Prince Fielder flied out to right (Fly).
C_Rasmus,2413,P Fielder,4613,2016-04-29,Prince Fielder fouled out to third (Fly).
C_Rasmus,2413,K Kiermaier,1103,2016-05-06,Kevin Kiermaier flied out to left (Fly).
C_Rasmus,2413,S Piscotty,1336,2016-05-12,Stephen Piscotty struck out looking.
C_Rasmus,2413,A Beltre,639&,2016-04-08,Adrian Beltre flied out to center (Fly).
C_Rasmus,2413,R Odor,1228,2016-04-08,Rougned Odor flied out to left (Fly).
C_Rasmus,2413,E Gattis,1100,2016-09-23,Evan Gattis struck out looking.
C_Rasmus,2413,J Bautista,1887,2016-09-15,Jose Bautista grounded out to shortstop (Grounder).
C_Rasmus,2413,E Longoria,9368,2016-05-06,Evan Longoria grounded out to shortstop (Grounder).
C_Rasmus,2413,L Forsythe,7185,2016-05-06,Logan Forsythe flied out to shortstop (Fly).
C_Rasmus,2413,K Marte,1361,2016-04-24,Ketel Marte flied out to center (Fly).
C_Rasmus,2413,R Cano,3269,2016-04-24,Robinson Cano flied out to center (Fly).
C_Rasmus,2413,N Aoki,1307,2016-04-24,Nori Aoki grounded out to pitcher (Grounder).
C_Rasmus,2413,C Santana,2396,2016-06-12,Carlos Santana grounded out to second (Grounder).
C_Rasmus,2413,P Fielder,4613,2016-04-30,Prince Fielder struck out swinging.
C_Rasmus,2413,I Desmond,6885,2016-04-30,Ian Desmond struck out swinging.
C_Rasmus,2413,Y Gomes,9627,2016-06-10,Yan Gomes grounded out to shortstop (Grounder).
C_Rasmus,2413,R Davis,3708,2016-06-10,Rajai Davis flied out to center (Fly).
C_Rasmus,2413,M Moreland,3086,2016-04-30,Mitch Moreland struck out swinging.
C_Rasmus,2413,J Heyward,4940,2016-04-04,Jason Heyward flied out to center (Fly).
C_Rasmus,2413,N Mazara,1455,2016-04-30,Nomar Mazara flied out to left (Fly). Rougned Odor advanced to 3B.
C_Rasmus,2413,R Tejada,5519,2016-05-10,Ruben Tejada lined out to third (Liner).
C_Rasmus,2413,E Fryer,8145,2016-05-10,Eric Fryer grounded out to shortstop (Grounder).
C_Rasmus,2413,J Hazelbaker,9399,2016-05-10,Jeremy Hazelbaker walked.
C_Rasmus,2413,J Gyorko,1081,2016-05-10,Jedd Gyorko advanced on a wild pitch to 2B.
C_Rasmus,2413,A Beltre,639&,2016-04-30,Adrian Beltre reached on error to shortstop (Grounder). Error by Andrelton Simmons.
C_Rasmus,2413,B Zobrist,7435,2016-04-04,Ben Zobrist singled to right (Grounder). Dexter Fowler advanced to 3B.
C_Rasmus,2413,J Hazelbaker,9399,2016-05-12,Jeremy Hazelbaker advanced on a stolen base to 2B.
C_Rasmus,2413,N Aoki,1307,2016-04-24,Nori Aoki advanced on a stolen base to 2B.
C_Rasmus,2413,R Grichuk,1024,2016-05-12,Randal Grichuk walked.
C_Rasmus,2413,I Desmond,6885,2016-04-08,Ian Desmond walked.
C_Rasmus,2413,L Martin,1184,2016-04-24,Leonys Martin walked.
C_Rasmus,2413,E Andrus,8709,2016-04-08,Elvis Andrus singled to right (Grounder).
C_Rasmus,2413,S Pearce,9957,2016-05-06,Steve Pearce walked.
C_Rasmus,2413,J Marisnick,1133,2016-09-23,Jake Marisnick singled to center (Fliner (Liner)). Marwin Gonzalez advanced to 2B.
C_Rasmus,2413,A Diaz,1593,2016-05-12,Aledmys Diaz singled to right (Grounder).
C_Rasmus,2413,S Souza Jr.,5667,2016-05-06,Steven Souza Jr. singled to left (Grounder). Steve Pearce advanced to 2B.
C_Rasmus,2413,S Pearce,9957,2016-05-06,Steve Pearce singled to left (Grounder).
C_Rasmus,2413,T Hernandez,1306,2016-10-01,Teoscar Hernandez hit a ground rule double (Fliner (Fly)). Evan Gattis advanced to 3B.
C_Rasmus,2413,B Gardner,9927,2016-06-09,Brett Gardner balked to 2B.
C_Rasmus,2413,B Gardner,9927,2016-06-09,Brett Gardner singled to center (Grounder).
C_Rasmus,2413,B Gardner,9927,2016-06-09,Brett Gardner advanced on a wild pitch to 3B.
C_Rasmus,2413,C Gomez,4881,2016-09-19,Carlos Gomez walked.
C_Rasmus,2413,C Gomez,4881,2016-09-19,Carlos Gomez advanced on a stolen base to 2B.
C_Rasmus,2413,M Napoli,3057,2016-06-12,Mike Napoli singled to center (Liner). Jose Ramirez scored.
C_Rasmus,2413,L Forsythe,7185,2016-05-06,Logan Forsythe balked to 3B.
C_Rasmus,2413,B Miller,1277,2016-05-06,Brad Miller homered (Fliner (Fly)).
C_Rasmus,2413,E Gattis,1100,2016-10-01,Evan Gattis singled to left (Liner). Jose Altuve scored.
C_Rasmus,2413,C Dickerson,1076,2016-05-06,Corey Dickerson homered (Fliner (Fly)). Steve Pearce scored. Steven Souza Jr. scored.
