playername,playerid,vsname,vsid,date,Play
C_Rodon,1613,C Vazquez,9774,2016-05-04,Christian Vazquez grounded into a double play to shortstop (Grounder). Josh Rutledge out at second.
C_Rodon,1613,J Hardy,3797,2016-04-29,J.J. Hardy reached on fielder's choice to third (Grounder). Adam Jones out at home. Matt Wieters advanced to 2B.
C_Rodon,1613,M Kepler,1214,2016-04-13,Max Kepler struck out swinging.
C_Rodon,1613,M Martinez,7358,2016-09-25,Michael Martinez flied out to right (Fly).
C_Rodon,1613,A Gordon,5209,2016-05-22,Alex Gordon grounded into a double play to second (Grounder). Eric Hosmer advanced to 3B. Salvador Perez out at second.
C_Rodon,1613,M Napoli,3057,2016-08-18,Mike Napoli lined out to third (Liner). Rajai Davis out at home.
C_Rodon,1613,J Kipnis,9776,2016-09-14,Jason Kipnis grounded into a double play to second (Grounder). Chris Gimenez out at second.
C_Rodon,1613,M Teixeira,1281,2016-07-05,Mark Teixeira reached on fielder's choice to second (Liner). Carlos Beltran out at home.
C_Rodon,1613,F Lindor,1291,2016-08-18,Francisco Lindor grounded into a double play to shortstop (Grounder). Jason Kipnis out at second.
C_Rodon,1613,M Betts,1361,2016-05-04,Mookie Betts struck out swinging.
C_Rodon,1613,K Vargas,1210,2016-09-30,Kennys Vargas grounded into a double play to shortstop (Grounder). Robbie Grossman out at second.
C_Rodon,1613,C Rasmus,9893,2016-05-17,Colby Rasmus fouled out to third (Fly).
C_Rodon,1613,E Hosmer,3516,2016-09-09,Eric Hosmer struck out swinging.
C_Rodon,1613,C Headley,4720,2016-07-05,Chase Headley struck out swinging.
C_Rodon,1613,M Trumbo,6876,2016-08-06,Mark Trumbo struck out swinging.
C_Rodon,1613,F Lindor,1291,2016-06-19,Francisco Lindor struck out swinging.
C_Rodon,1613,M Moreland,3086,2016-04-23,Mitch Moreland struck out swinging.
C_Rodon,1613,F Gutierrez,3255,2016-08-28,Franklin Gutierrez struck out looking.
C_Rodon,1613,D Butera,3411,2016-05-22,Drew Butera grounded out to third (Grounder).
C_Rodon,1613,M Machado,1149,2016-08-06,Manny Machado struck out swinging.
C_Rodon,1613,J Martinez,6184,2016-06-03,J.D. Martinez struck out swinging.
C_Rodon,1613,E Hosmer,3516,2016-06-12,Eric Hosmer flied out to third (Fly).
C_Rodon,1613,C Santana,2396,2016-06-19,Carlos Santana struck out swinging.
C_Rodon,1613,M Trumbo,6876,2016-08-06,Mark Trumbo flied out to right (Fly).
C_Rodon,1613,R Davis,3708,2016-08-18,Rajai Davis flied out to right (Fliner (Liner)).
C_Rodon,1613,P Orlando,8628,2016-06-12,Paulo Orlando was caught stealing.
