playername,playerid,vsname,vsid,date,Play
C_Sabathia,404&,J Ramirez,1351,2016-08-06,Jose Ramirez grounded into a double play to third (Grounder). Carlos Santana out at second.
C_Sabathia,404&,J Bautista,1887,2016-05-31,Jose Bautista grounded into a double play to third (Grounder). Ezequiel Carrera out at second.
C_Sabathia,404&,E Encarnacion,2151,2016-05-31,Edwin Encarnacion grounded into a double play to shortstop (Grounder). Josh Donaldson out at second.
C_Sabathia,404&,J Loney,4556,2016-08-01,James Loney struck out swinging.
C_Sabathia,404&,J Rickard,1327,2016-05-04,Joey Rickard struck out swinging.
C_Sabathia,404&,S Pearce,9957,2016-09-03,Steve Pearce grounded into a double play to shortstop (Grounder). Adam Jones out at second.
C_Sabathia,404&,B Lawrie,5247,2016-07-04,Brett Lawrie struck out swinging.
C_Sabathia,404&,B Buxton,1416,2016-06-16,Byron Buxton struck out looking.
C_Sabathia,404&,A Jones,6368,2016-06-05,Adam Jones flied out to center (Fly).
C_Sabathia,404&,R Grossman,5254,2016-06-16,Robbie Grossman lined out to first (Liner).
C_Sabathia,404&,D Pedroia,8370,2016-07-16,Dustin Pedroia grounded out to shortstop (Grounder).
C_Sabathia,404&,T Shaw,1198,2016-09-29,Travis Shaw non-force gdp to first (Grounder). Ryan Hanigan out at second.
C_Sabathia,404&,M Aviles,5986,2016-04-09,Mike Aviles flied out to left (Fliner (Fly)).
C_Sabathia,404&,R Odor,1228,2016-04-27,Rougned Odor grounded out to second (Grounder).
C_Sabathia,404&,M Trumbo,6876,2016-07-21,Mark Trumbo flied out to second (Fly).
C_Sabathia,404&,C Young,3882,2016-09-29,Chris Young grounded into a double play to third (Grounder). Brock Holt out at second.
C_Sabathia,404&,K Marte,1361,2016-04-16,Ketel Marte singled to shortstop (Grounder). Luis Sardinas out at home. Ketel Marte
C_Sabathia,404&,C Santana,2396,2016-07-09,Carlos Santana struck out swinging.
C_Sabathia,404&,D Travis,1386,2016-05-31,Devon Travis grounded into a double play to shortstop (Grounder). Russell Martin out at second.
C_Sabathia,404&,E Andrus,8709,2016-04-27,Elvis Andrus grounded out to third (Grounder).
C_Sabathia,404&,M Machado,1149,2016-05-04,Manny Machado struck out swinging.
C_Sabathia,404&,G Heredia,1872,2016-08-23,Guillermo Heredia lined out to first (Liner). Ketel Marte out at second.
C_Sabathia,404&,S Souza Jr.,5667,2016-04-22,Steven Souza Jr. struck out swinging.
C_Sabathia,404&,J Upton,5222,2016-04-09,Justin Upton grounded into a double play to pitcher (Grounder). Anthony Gose advanced to 3B. Ian Kinsler out at second.
C_Sabathia,404&,T Tulowitzki,3531,2016-08-17,Troy Tulowitzki struck out swinging.
C_Sabathia,404&,B Brentz,1060,2016-07-16,Bryce Brentz grounded out to third (Grounder).
C_Sabathia,404&,C Young,3882,2016-09-18,Chris Young struck out swinging.
C_Sabathia,404&,E Encarnacion,2151,2016-09-24,Edwin Encarnacion grounded into a double play to shortstop (Grounder). Josh Donaldson out at second.
C_Sabathia,404&,N Walker,7539,2016-08-01,Neil Walker flied out to center (Fly).
C_Sabathia,404&,F Lindor,1291,2016-08-06,Francisco Lindor grounded into a double play to third (Grounder). Jason Kipnis out at second.
C_Sabathia,404&,M Kepler,1214,2016-06-16,Max Kepler grounded out to pitcher (Grounder).
C_Sabathia,404&,A Lind,8027,2016-08-23,Adam Lind struck out swinging.
C_Sabathia,404&,N Reimold,3441,2016-07-21,Nolan Reimold struck out looking.
C_Sabathia,404&,A Benintendi,1790,2016-09-29,Andrew Benintendi struck out swinging.
C_Sabathia,404&,J Smolinski,5408,2016-05-20,Jake Smolinski flied out to left (Fliner (Liner)).
C_Sabathia,404&,C Joseph,7087,2016-09-03,Caleb Joseph flied out to center (Fly).
C_Sabathia,404&,C Iannetta,8267,2016-04-16,Chris Iannetta struck out swinging.
C_Sabathia,404&,T Plouffe,7462,2016-06-16,Trevor Plouffe struck out swinging.
C_Sabathia,404&,C Seager,1362,2016-09-13,Corey Seager reached on fielder's choice to second (Grounder). Justin Turner out at second.
C_Sabathia,404&,J Bautista,1887,2016-09-24,Jose Bautista flied out to second (Fly).
C_Sabathia,404&,B Park,1849,2016-06-16,Byung-ho Park grounded out to third (Grounder).
C_Sabathia,404&,B Miller,1277,2016-08-12,Brad Miller struck out swinging.
C_Sabathia,404&,K Marte,1361,2016-08-23,Ketel Marte flied out to shortstop (Fly).
C_Sabathia,404&,R Grossman,5254,2016-06-16,Robbie Grossman struck out swinging.
C_Sabathia,404&,R Raburn,2218,2016-06-22,Ryan Raburn struck out looking.
C_Sabathia,404&,A Almonte,5486,2016-07-09,Abraham Almonte flied out to center (Fly).
C_Sabathia,404&,J Bautista,1887,2016-09-24,Jose Bautista reached on fielder's choice to shortstop (Grounder). Edwin Encarnacion out at second.
C_Sabathia,404&,J Bautista,1887,2016-05-31,Jose Bautista grounded out to shortstop (Grounder).
C_Sabathia,404&,M Mahtook,1313,2016-09-08,Mikie Mahtook fouled out to first (Fly).
C_Sabathia,404&,K Marte,1361,2016-04-16,Ketel Marte struck out swinging.
C_Sabathia,404&,J Hardy,3797,2016-07-21,J.J. Hardy grounded out to shortstop (Grounder).
C_Sabathia,404&,N Mazara,1455,2016-04-27,Nomar Mazara struck out swinging.
C_Sabathia,404&,C Granderson,4747,2016-08-01,Curtis Granderson struck out swinging.
C_Sabathia,404&,N Franklin,1016,2016-09-08,Nick Franklin reached on fielder's choice to third (Grounder). Brad Miller out at second.
C_Sabathia,404&,J McCann,1285,2016-06-10,James McCann reached on fielder's choice to shortstop (Grounder). J.D. Martinez out at second.
C_Sabathia,404&,C Gonzalez,7287,2016-06-22,Carlos Gonzalez flied out to left (Fly).
C_Sabathia,404&,R Cano,3269,2016-04-16,Robinson Cano grounded out to first (Grounder).
C_Sabathia,404&,L Verrett,1290,2016-08-01,Logan Verrett struck out looking.
C_Sabathia,404&,R Martin,4616,2016-09-24,Russell Martin reached on fielder's choice to shortstop (Grounder). Edwin Encarnacion out at second.
C_Sabathia,404&,C Dickerson,1076,2016-08-12,Corey Dickerson grounded out to first (Grounder).
C_Sabathia,404&,C Gonzalez,7287,2016-06-22,Carlos Gonzalez reached on fielder's choice to second (Grounder). Nolan Arenado out at second.
C_Sabathia,404&,A Hill,6104,2016-07-16,Aaron Hill flied out to second (Fly).
C_Sabathia,404&,I Desmond,6885,2016-04-27,Ian Desmond struck out looking.
C_Sabathia,404&,E Longoria,9368,2016-08-12,Evan Longoria struck out looking.
C_Sabathia,404&,E Escobar,6153,2016-06-16,Eduardo Escobar reached on fielder's choice to third (Grounder). Trevor Plouffe advanced to 3B. Byung-ho Park out at second.
C_Sabathia,404&,J Donaldson,5038,2016-09-24,Josh Donaldson struck out swinging.
C_Sabathia,404&,A Jones,6368,2016-05-04,Adam Jones grounded out to third (Grounder).
C_Sabathia,404&,N Cruz,2434,2016-08-23,Nelson Cruz struck out swinging.
C_Sabathia,404&,D Barney,2430,2016-05-26,Darwin Barney flied out to center (Fliner (Fly)).
C_Sabathia,404&,A Eaton,1120,2016-07-04,Adam Eaton struck out swinging.
C_Sabathia,404&,K Davis,9112,2016-05-20,Khris Davis reached on fielder's choice to third (Grounder). Coco Crisp advanced to 3B. Danny Valencia out at second.
C_Sabathia,404&,C Davis,9272,2016-05-04,Chris Davis flied out to second (Fliner (Fly)).
C_Sabathia,404&,L Forsythe,7185,2016-08-12,Logan Forsythe lined out to shortstop (Liner).
C_Sabathia,404&,C Gonzalez,7287,2016-06-22,Carlos Gonzalez struck out swinging.
C_Sabathia,404&,H Kim,1871,2016-08-28,Hyun Soo Kim struck out swinging.
C_Sabathia,404&,M Wieters,4298,2016-08-28,Matt Wieters struck out looking.
C_Sabathia,404&,J Bradley Jr.,1298,2016-09-29,Jackie Bradley Jr. reached on fielder's choice to second (Grounder). Chris Young out at second.
C_Sabathia,404&,C Davis,9272,2016-06-05,Chris Davis struck out looking.
C_Sabathia,404&,C Ruiz,2579,2016-09-13,Carlos Ruiz grounded out to second (Grounder).
C_Sabathia,404&,D Travis,1386,2016-05-31,Devon Travis struck out swinging.
