playername,playerid,vsname,vsid,date,Play
C_Santana,2396,L Gregerson,4090,2016-05-11,Carlos Santana tripled to center (Fliner (Fly)). Mike Napoli scored.
C_Santana,2396,D Barney,2430,2016-07-01,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,R Dull,1397,2016-08-22,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,J Soria,6941,2016-06-02,Carlos Santana singled to right (Grounder). Carlos Santana advanced to 2B on error. Error by Paulo Orlando.
C_Santana,2396,H Santiago,4026,2016-08-04,Carlos Santana homered (Fliner (Fly)). Francisco Lindor scored. Mike Napoli scored.
C_Santana,2396,C Buchholz,3543,2016-04-06,Carlos Santana homered (Fly). Jason Kipnis scored. Mike Napoli scored.
C_Santana,2396,R Nolasco,3830,2016-04-26,Carlos Santana doubled to left (Fliner (Fly)). Tyler Naquin scored.
C_Santana,2396,J Danks,6329,2016-04-08,Carlos Santana reached on fielder's choice to catcher (Grounder). Jason Kipnis scored. Francisco Lindor scored on error. Mike Napoli advanced to 3B on error. Carlos Santana advanced to 2B. Error by Alex Avila.
C_Santana,2396,A Wilson,9239,2016-09-18,Carlos Santana homered (Fly).
C_Santana,2396,D Smyly,1176,2016-06-20,Carlos Santana homered (Fly).
C_Santana,2396,P Dean,1135,2016-08-31,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,M Estrada,1118,2016-07-02,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,A Ranaudo,1142,2016-08-17,Carlos Santana homered (Fly).
C_Santana,2396,M Shoemaker,4776,2016-06-11,Carlos Santana walked. Mike Napoli advanced to 2B.
C_Santana,2396,J Chacin,2608,2016-08-11,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,M Perez,6902,2016-08-26,Carlos Santana doubled to center (Fliner (Fly)). Mike Napoli advanced to 3B.
C_Santana,2396,H Santiago,4026,2016-06-10,Carlos Santana doubled to left (Liner). Mike Napoli scored.
C_Santana,2396,E Volquez,3990,2016-05-08,Carlos Santana homered (Fly).
C_Santana,2396,J Verlander,8700,2016-04-22,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,M Fulmer,1321,2016-09-28,Carlos Santana doubled to center (Fly). Jason Kipnis scored.
C_Santana,2396,C Sabathia,404&,2016-07-09,Carlos Santana singled to shortstop (Grounder). Rajai Davis scored. Mike Napoli advanced to 2B.
C_Santana,2396,J Vargas,8044,2016-09-22,Carlos Santana doubled to center (Fliner (Liner)). Francisco Lindor scored.
C_Santana,2396,J Berrios,1416,2016-04-27,Carlos Santana singled to right (Liner). Tyler Naquin advanced to 3B.
C_Santana,2396,M Gonzalez,7024,2016-09-23,Carlos Santana doubled to right (Liner).
C_Santana,2396,M Fulmer,1321,2016-07-06,Carlos Santana singled to right (Liner). Chris Gimenez advanced to 3B.
C_Santana,2396,J Fernandez,1153,2016-09-03,Carlos Santana singled to center (Grounder). Francisco Lindor scored.
C_Santana,2396,J Wilson,4301,2016-09-17,Carlos Santana walked.
C_Santana,2396,C Tillman,5279,2016-05-29,Carlos Santana homered (Fliner (Fly)).
C_Santana,2396,J Diekman,5003,2016-08-28,Carlos Santana walked.
C_Santana,2396,C Rodon,1613,2016-09-25,Carlos Santana singled to right (Grounder).
C_Santana,2396,M Stroman,1343,2016-07-01,Carlos Santana doubled to center (Fliner (Fly)).
C_Santana,2396,I Kennedy,6986,2016-09-21,Carlos Santana singled to center (Grounder). Roberto Perez advanced to 2B.
C_Santana,2396,M Fulmer,1321,2016-09-28,Carlos Santana walked. Jason Kipnis advanced to 3B. Francisco Lindor advanced to 2B.
C_Santana,2396,C Buchholz,3543,2016-05-20,Carlos Santana walked. Rajai Davis advanced to 2B.
C_Santana,2396,D Gee,7396,2016-07-19,Carlos Santana singled to right (Liner). Jason Kipnis scored. Francisco Lindor scored. Mike Napoli advanced to 2B.
C_Santana,2396,A Albers,7853,2016-08-30,Carlos Santana walked. Mike Napoli advanced to 2B.
C_Santana,2396,M Feliz,1190,2016-05-11,Carlos Santana singled to left (Grounder).
C_Santana,2396,K Gausman,1410,2016-07-23,Carlos Santana doubled to center (Fliner (Liner)).
C_Santana,2396,C Buchholz,3543,2016-05-20,Carlos Santana doubled to center (Fliner (Fly)).
C_Santana,2396,M Rzepczynski,6612,2016-07-29,Carlos Santana walked. Abraham Almonte advanced to 2B.
C_Santana,2396,D Price,3184,2016-04-05,Carlos Santana walked. Mike Napoli advanced to 2B.
C_Santana,2396,T Rogers,1344,2016-08-02,Carlos Santana singled to center (Grounder).
C_Santana,2396,T Rogers,1344,2016-07-16,Carlos Santana singled to right (Liner). Tyler Naquin advanced to 3B.
C_Santana,2396,C Archer,6345,2016-06-22,Carlos Santana doubled to center (Fliner (Liner)). Lonnie Chisenhall scored.
C_Santana,2396,J Chargois,1376,2016-08-31,Carlos Santana singled to right (Liner). Jason Kipnis scored. Francisco Lindor advanced to 3B. Mike Napoli advanced to 2B.
C_Santana,2396,E Johnson,1252,2016-05-23,Carlos Santana doubled to left (Fliner (Liner)).
C_Santana,2396,P Neshek,4682,2016-05-11,Carlos Santana walked. Jason Kipnis advanced to 2B.
C_Santana,2396,I Nova,1994,2016-07-07,Jason Kipnis advanced on a wild pitch to 3B. Carlos Santana scored.
C_Santana,2396,B Farmer,1481,2016-09-26,Carlos Santana singled to second (Grounder).
C_Santana,2396,C Sabathia,404&,2016-08-06,Carlos Santana singled to left (Grounder). Francisco Lindor advanced to 2B.
C_Santana,2396,M Stroman,1343,2016-07-01,Carlos Santana walked. Lonnie Chisenhall advanced to 3B. Rajai Davis advanced to 2B.
C_Santana,2396,J Weaver,4235,2016-08-14,Carlos Santana singled to center (Liner).
C_Santana,2396,D Norris,1347,2016-09-18,Carlos Santana doubled to left (Liner).
C_Santana,2396,K Gausman,1410,2016-07-23,Carlos Santana walked.
C_Santana,2396,M Tonkin,1031,2016-08-02,Carlos Santana walked.
C_Santana,2396,J Lamb,8493,2016-05-16,Carlos Santana walked.
C_Santana,2396,J Danks,6329,2016-04-08,Carlos Santana singled to center (Liner). Francisco Lindor scored. Mike Napoli advanced to 2B.
C_Santana,2396,M Harvey,1171,2016-04-16,Carlos Santana walked.
C_Santana,2396,J Quintana,1142,2016-05-25,Carlos Santana singled to right (Fliner (Liner)).
