playername,playerid,vsname,vsid,date,Play
C_Smith,4544,M Gonzalez,5497,2016-08-29,Marwin Gonzalez was caught stealing.
C_Smith,4544,J Marisnick,1133,2016-09-21,Jake Marisnick struck out swinging.
C_Smith,4544,M Gonzalez,5497,2016-08-29,Marwin Gonzalez struck out swinging.
C_Smith,4544,Y Gurriel,1919,2016-08-29,Yulieski Gurriel reached on fielder's choice to shortstop (Grounder). Evan Gattis out at second.
C_Smith,4544,T Hernandez,1306,2016-08-29,Teoscar Hernandez struck out looking.
C_Smith,4544,C Correa,1416,2016-08-29,Carlos Correa struck out looking.
C_Smith,4544,J Baez,1297,2016-08-07,Javier Baez flied out to center (Fliner (Fly)).
C_Smith,4544,G Petit,3812,2016-09-28,Gregorio Petit grounded out to pitcher (Grounder).
C_Smith,4544,A Beltre,639&,2016-09-23,Adrian Beltre flied out to center (Fly).
C_Smith,4544,J Bandy,1250,2016-09-28,Jett Bandy flied out to center (Fliner (Liner)).
C_Smith,4544,R Odor,1228,2016-09-23,Rougned Odor grounded out to first (Grounder).
C_Smith,4544,M Trout,1015,2016-09-28,Mike Trout struck out looking.
C_Smith,4544,K Calhoun,1120,2016-09-28,Kole Calhoun struck out swinging.
C_Smith,4544,N Cruz,2434,2016-08-14,Nelson Cruz flied out to center (Fly).
C_Smith,4544,M Machado,1149,2016-08-11,Manny Machado fouled out to first (Fly).
C_Smith,4544,K Cowart,1149,2016-09-28,Kaleb Cowart grounded out to shortstop (Grounder).
C_Smith,4544,M Wieters,4298,2016-08-11,Matt Wieters flied out to shortstop (Fly).
C_Smith,4544,K Morales,8610,2016-09-14,Kendrys Morales struck out swinging.
C_Smith,4544,H Ramirez,8001,2016-09-03,Hanley Ramirez struck out swinging.
C_Smith,4544,M Cabrera,4022,2016-08-20,Melky Cabrera flied out to shortstop (Fly).
C_Smith,4544,T Frazier,785&,2016-08-20,Todd Frazier struck out swinging.
C_Smith,4544,S Perez,7304,2016-09-14,Salvador Perez flied out to right (Fliner (Fly)).
C_Smith,4544,C Young,3882,2016-09-03,Chris Young flied out to left (Fly).
C_Smith,4544,X Bogaerts,1216,2016-09-03,Xander Bogaerts struck out swinging.
C_Smith,4544,H Ramirez,8001,2016-09-03,Hanley Ramirez grounded out to third (Grounder).
C_Smith,4544,J Kipnis,9776,2016-08-23,Jason Kipnis struck out looking.
C_Smith,4544,R Flaherty,7888,2016-08-11,Ryan Flaherty grounded out to second (Grounder).
C_Smith,4544,S Leon,5273,2016-09-03,Sandy Leon struck out swinging.
C_Smith,4544,A Jones,6368,2016-08-11,Adam Jones struck out swinging.
C_Smith,4544,A Gordon,5209,2016-09-14,Alex Gordon grounded out to second (Grounder).
C_Smith,4544,J Bradley Jr.,1298,2016-09-02,Jackie Bradley Jr. hit a sacrifice fly to center (Fliner (Liner)). Brock Holt scored.
C_Smith,4544,T Shaw,1198,2016-09-02,Travis Shaw grounded out to second (Grounder).
C_Smith,4544,S O'Malley,9629,2016-09-10,Shawn O'Malley singled to center (Fliner (Liner)). Ketel Marte scored. Nori Aoki scored. Guillermo Heredia advanced to 3B.
C_Smith,4544,M Napoli,3057,2016-08-23,Mike Napoli grounded out to third (Grounder).
C_Smith,4544,M Betts,1361,2016-09-02,Mookie Betts grounded out to shortstop (Grounder). Marco Hernandez scored.
C_Smith,4544,A Lind,8027,2016-09-10,Adam Lind flied out to left (Fliner (Liner)).
C_Smith,4544,K Marte,1361,2016-09-10,Ketel Marte flied out to center (Fliner (Liner)).
C_Smith,4544,M Hernandez,1315,2016-09-02,Marco Hernandez singled to center (Liner).
C_Smith,4544,D Ortiz,745&,2016-09-03,David Ortiz singled to center (Liner).
C_Smith,4544,X Bogaerts,1216,2016-09-03,Xander Bogaerts singled to third (Grounder).
C_Smith,4544,E Hosmer,3516,2016-09-14,Eric Hosmer walked.
C_Smith,4544,C Pennington,3395,2016-09-28,Cliff Pennington walked.
C_Smith,4544,R Ortega,1032,2016-09-28,Rafael Ortega walked.
C_Smith,4544,H Kim,1871,2016-08-11,Hyun Soo Kim walked.
C_Smith,4544,J Marte,5107,2016-09-28,Jefry Marte walked.
C_Smith,4544,J Marte,5107,2016-09-28,Jefry Marte doubled to left (Grounder).
C_Smith,4544,M Wieters,4298,2016-08-11,Matt Wieters walked.
C_Smith,4544,P Alvarez,2495,2016-08-11,Pedro Alvarez singled to right (Fliner (Liner)). Hyun Soo Kim scored. Chris Davis advanced to 3B.
C_Smith,4544,M Gonzalez,5497,2016-08-29,Marwin Gonzalez singled to right (Grounder). Yulieski Gurriel advanced to 3B.
C_Smith,4544,G Springer,1285,2016-08-29,George Springer singled to center (Liner). Teoscar Hernandez advanced to 3B. Jake Marisnick advanced to 2B.
C_Smith,4544,J Bandy,1250,2016-09-28,Jett Bandy reached on error to catcher (Grounder). C.J. Cron scored on error. Jefry Marte advanced to 3B. Andrelton Simmons advanced to 2B on error. Error by Bruce Maxwell III.
C_Smith,4544,J Altuve,5417,2016-08-29,Jose Altuve homered (Fliner (Fly)).
