playername,playerid,vsname,vsid,date,Play
C_Stewart,3878,M Wacha,1407,2016-05-08,Chris Stewart doubled to left (Grounder). Jordy Mercer scored.
C_Stewart,3878,J Arrieta,4153,2016-06-17,Chris Stewart singled to center (Fliner (Liner)). Jordy Mercer advanced to 3B.
C_Stewart,3878,C Bettis,1058,2016-06-09,Chris Stewart singled to left (Fliner (Liner)). Josh Harrison scored. Chris Stewart advanced to 2B on error. Error by Ryan Raburn.
C_Stewart,3878,H Santiago,4026,2016-06-05,Chris Stewart singled to right (Grounder). Matt Joyce advanced to 2B.
C_Stewart,3878,W Chen,1307,2016-06-02,Chris Stewart walked.
C_Stewart,3878,R de la Rosa,3862,2016-05-25,Chris Stewart doubled to left (Fliner (Fly)).
C_Stewart,3878,J Familia,5114,2016-06-08,Chris Stewart walked.
C_Stewart,3878,C Bettis,1058,2016-06-09,Chris Stewart was hit by a pitch. Josh Harrison advanced to 2B.
C_Stewart,3878,L Weaver,1691,2016-09-06,Chris Stewart singled to left (Grounder). Matt Joyce advanced to 2B.
C_Stewart,3878,J Samardzija,3254,2016-06-22,Chris Stewart walked.
C_Stewart,3878,T Cahill,6249,2016-05-03,Chris Stewart reached on fielder's choice and error to shortstop (Grounder). Sean Rodriguez advanced to 3B on error. Error by Addison Russell.
C_Stewart,3878,T Adleman,1096,2016-05-01,Chris Stewart walked.
C_Stewart,3878,I Krol,1006,2016-05-19,Andrew McCutchen advanced on a passed ball to 2B. Chris Stewart scored. John Jaso advanced to 3B. Passed ball by Tyler Flowers.
C_Stewart,3878,J Gant,1368,2016-05-19,Chris Stewart was hit by a pitch. Jordy Mercer advanced to 2B.
C_Stewart,3878,E Marshall,1229,2016-04-24,Chris Stewart was intentionally walked.
C_Stewart,3878,D Pomeranz,1142,2016-04-20,Chris Stewart walked.
C_Stewart,3878,L Perdomo,1468,2016-04-20,Chris Stewart singled to left (Liner).
C_Stewart,3878,A Triggs,1353,2016-07-01,Chris Stewart walked.
C_Stewart,3878,C Torres,7624,2016-04-17,Chris Stewart doubled to right (Fliner (Fly)).
C_Stewart,3878,R Delgado,5985,2016-05-24,Chris Stewart walked. Jordy Mercer advanced to 2B.
C_Stewart,3878,J Guerra,7407,2016-06-03,Chris Stewart grounded out to shortstop (Grounder).
C_Stewart,3878,E Goeddel,1171,2016-06-14,Chris Stewart flied out to right (Fly).
C_Stewart,3878,D Pomeranz,1142,2016-04-20,Chris Stewart flied out to shortstop (Fliner (Fly)).
C_Stewart,3878,T Cahill,6249,2016-06-17,Chris Stewart grounded out to third (Grounder).
C_Stewart,3878,L Hendriks,3548,2016-07-01,Chris Stewart flied out to center (Fly).
C_Stewart,3878,C Hatcher,3299,2016-06-24,Chris Stewart flied out to right (Fliner (Fly)).
C_Stewart,3878,D Law,1313,2016-06-22,Chris Stewart grounded out to shortstop (Grounder).
C_Stewart,3878,S Maness,1223,2016-05-08,Chris Stewart grounded out to shortstop (Grounder).
C_Stewart,3878,T Clippard,5640,2016-05-25,Chris Stewart struck out swinging.
C_Stewart,3878,N Tepesch,1171,2016-06-24,Chris Stewart fouled out to third (Fly).
C_Stewart,3878,T Wagner,1379,2016-04-24,Chris Stewart struck out swinging.
C_Stewart,3878,J Arrieta,4153,2016-06-17,Chris Stewart flied out to center (Fliner (Fly)).
C_Stewart,3878,W Chen,1307,2016-06-02,Chris Stewart struck out looking.
C_Stewart,3878,M Wacha,1407,2016-06-10,Chris Stewart grounded out to third (Grounder).
C_Stewart,3878,C Martinez,1168,2016-06-11,Chris Stewart grounded out to pitcher (Grounder).
C_Stewart,3878,S Gray,1276,2016-07-01,Chris Stewart fouled out to right (Fliner (Fly)).
C_Stewart,3878,H Robles,1180,2016-06-07,Chris Stewart reached on fielder's choice to third (Grounder). Jordy Mercer out at third. Sean Rodriguez advanced to 2B.
C_Stewart,3878,T Adleman,1096,2016-05-01,Chris Stewart struck out swinging.
C_Stewart,3878,F Salas,4971,2016-06-04,Chris Stewart flied out to left (Fliner (Liner)).
C_Stewart,3878,R de la Rosa,3862,2016-05-25,Chris Stewart grounded out to third (Grounder).
C_Stewart,3878,J Barrett,1332,2016-05-25,Chris Stewart grounded out to shortstop (Grounder).
C_Stewart,3878,E Diaz,1471,2016-06-28,Chris Stewart flied out to center (Fly).
C_Stewart,3878,M Perez,6902,2016-05-29,Chris Stewart reached on fielder's choice to shortstop (Grounder). Matt Joyce out at second.
C_Stewart,3878,C Martinez,1168,2016-06-11,Chris Stewart grounded out to first (Grounder).
C_Stewart,3878,C Anderson,6895,2016-09-04,Chris Stewart struck out swinging.
C_Stewart,3878,N Tepesch,1171,2016-06-24,Chris Stewart struck out swinging.
C_Stewart,3878,J Guerra,7407,2016-06-05,Chris Stewart flied out to center (Fliner (Fly)).
C_Stewart,3878,N Wittgren,1559,2016-06-02,Chris Stewart struck out looking.
C_Stewart,3878,C Anderson,6895,2016-09-04,Chris Stewart reached on fielder's choice to second (Fly). Adam Frazier out at second.
C_Stewart,3878,J deGrom,1095,2016-06-14,Chris Stewart flied out to right (Fly).
C_Stewart,3878,B Finnegan,1620,2016-09-11,Chris Stewart struck out swinging.
