playername,playerid,vsname,vsid,date,Play
C_Stratton,1376,J Pederson,1189,2016-06-11,Joc Pederson flied out to left (Fliner (Liner)).
C_Stratton,1376,H Kendrick,4229,2016-06-11,Howie Kendrick flied out to right (Fliner (Fly)).
C_Stratton,1376,A Garcia,1377,2016-06-02,Adonis Garcia grounded out to second (Grounder).
C_Stratton,1376,Y Alonso,2530,2016-06-27,Yonder Alonso grounded into a double play to second (Grounder). Khris Davis out at second.
C_Stratton,1376,S Gennett,1033,2016-06-15,Scooter Gennett grounded out to second (Grounder).
C_Stratton,1376,N Markakis,5930,2016-05-30,Nick Markakis struck out swinging.
C_Stratton,1376,K Johnson,2234,2016-05-30,Kelly Johnson struck out swinging.
C_Stratton,1376,K Davis,9112,2016-06-27,Khris Davis flied out to right (Fly).
C_Stratton,1376,J Lowrie,4418,2016-06-27,Jed Lowrie flied out to left (Fliner (Fly)).
C_Stratton,1376,S Vogt,5000,2016-06-27,Stephen Vogt reached on fielder's choice to first (Grounder). Coco Crisp out at second.
C_Stratton,1376,M Maldonado,6887,2016-06-15,Martin Maldonado flied out to right (Fliner (Fly)).
C_Stratton,1376,D Mengden,1698,2016-06-27,Daniel Mengden struck out swinging.
C_Stratton,1376,A Presley,5305,2016-06-15,Alex Presley grounded out to first (Grounder).
C_Stratton,1376,G Polanco,1290,2016-06-21,Gregory Polanco singled to shortstop (Grounder).
C_Stratton,1376,D Freese,9549,2016-06-21,David Freese doubled to center (Fliner (Fly)). Gregory Polanco scored. Chris Stewart advanced to 3B.
C_Stratton,1376,K Broxton,9253,2016-06-15,Keon Broxton grounded out to second (Grounder).
C_Stratton,1376,D Valencia,6364,2016-06-29,Danny Valencia singled to left (Grounder).
C_Stratton,1376,D Castro,1545,2016-06-02,Daniel Castro walked.
C_Stratton,1376,D Valencia,6364,2016-06-27,Danny Valencia walked. Jed Lowrie advanced to 3B. Stephen Vogt advanced to 2B.
C_Stratton,1376,K Davis,9112,2016-06-27,Khris Davis singled to center (Grounder). Stephen Vogt scored. Danny Valencia advanced to 3B.
C_Stratton,1376,K Nieuwenhuis,6400,2016-06-15,Kirk Nieuwenhuis walked. Jonathan Lucroy advanced to 2B.
C_Stratton,1376,T Thompson,9952,2016-06-11,Trayce Thompson singled to center (Fliner (Liner)).
