playername,playerid,vsname,vsid,date,Play
C_Vargas,1409,M Wacha,1407,2016-04-23,Michael Wacha grounded into a double play to catcher (Bunt Grounder). Aledmys Diaz out at second.
C_Vargas,1409,J Villar,1007,2016-05-15,Jonathan Villar reached on fielder's choice to pitcher (Grounder). Hernan Perez out at home. Ramon Flores advanced to 3B. Zachary Davies advanced to 2B.
C_Vargas,1409,C Utley,1679,2016-04-29,Chase Utley struck out swinging.
C_Vargas,1409,T Wolters,1147,2016-05-04,Tony Wolters grounded into a double play to second (Grounder). Mark Reynolds out at second.
C_Vargas,1409,C Gonzalez,7287,2016-05-04,Carlos Gonzalez grounded out to first (Grounder).
C_Vargas,1409,Y Puig,1422,2016-05-21,Yasiel Puig struck out looking.
C_Vargas,1409,C Utley,1679,2016-04-29,Chase Utley struck out swinging.
C_Vargas,1409,C Carter,9911,2016-05-15,Chris Carter struck out looking.
C_Vargas,1409,Y Puig,1422,2016-04-29,Yasiel Puig reached on fielder's choice to shortstop (Grounder). Adrian Gonzalez out at second.
C_Vargas,1409,Y Puig,1422,2016-04-29,Yasiel Puig fouled out to catcher (Fly).
C_Vargas,1409,Y Puig,1422,2016-04-29,Yasiel Puig flied out to second (Fly).
C_Vargas,1409,T Thompson,9952,2016-05-21,Trayce Thompson reached on fielder's choice to shortstop (Grounder). Adrian Gonzalez out at second.
C_Vargas,1409,C Utley,1679,2016-05-21,Chase Utley grounded out to first (Grounder).
C_Vargas,1409,S Gennett,1033,2016-05-15,Scooter Gennett struck out looking.
C_Vargas,1409,Y Puig,1422,2016-05-21,Yasiel Puig flied out to center (Fliner (Fly)).
C_Vargas,1409,B Moss,4467,2016-04-23,Brandon Moss out on a dropped third strike.
C_Vargas,1409,R Flores,1116,2016-05-15,Ramon Flores flied out to shortstop (Fly).
C_Vargas,1409,A Gonzalez,1908,2016-05-21,Adrian Gonzalez struck out swinging.
C_Vargas,1409,J Lucroy,7870,2016-05-15,Jonathan Lucroy flied out to right (Fliner (Fly)).
C_Vargas,1409,W Castillo,3256,2016-05-28,Welington Castillo reached on fielder's choice to third (Grounder). Jake Lamb out at second.
C_Vargas,1409,A Wood,1378,2016-05-21,Alex Wood grounded out to first (Grounder).
C_Vargas,1409,A Presley,5305,2016-05-15,Alex Presley flied out to left (Fliner (Fly)).
C_Vargas,1409,A Presley,5305,2016-05-15,Alex Presley grounded out to pitcher (Grounder).
C_Vargas,1409,C Seager,1362,2016-05-21,Corey Seager struck out swinging.
C_Vargas,1409,J Turner,5235,2016-04-29,Justin Turner grounded out to second (Grounder).
C_Vargas,1409,Y Grandal,1136,2016-04-29,Yasmani Grandal struck out looking.
C_Vargas,1409,D Fowler,4062,2016-05-10,Dexter Fowler struck out swinging.
C_Vargas,1409,N Arenado,9777,2016-05-04,Nolan Arenado flied out to left (Fly).
C_Vargas,1409,C Blackmon,7859,2016-05-04,Charlie Blackmon struck out looking.
C_Vargas,1409,C Utley,1679,2016-04-29,Chase Utley flied out to left (Fly).
C_Vargas,1409,Y Grandal,1136,2016-05-21,Yasmani Grandal struck out looking.
C_Vargas,1409,C Crawford,1201,2016-04-29,Carl Crawford grounded out to third (Grounder).
C_Vargas,1409,R Grichuk,1024,2016-04-23,Randal Grichuk grounded out to shortstop (Grounder).
C_Vargas,1409,T Thompson,9952,2016-05-21,Trayce Thompson grounded out to pitcher (Grounder).
C_Vargas,1409,N Arenado,9777,2016-05-04,Nolan Arenado flied out to second (Fly).
C_Vargas,1409,Y Molina,7007,2016-04-23,Yadier Molina grounded out to pitcher (Grounder).
C_Vargas,1409,C Crawford,1201,2016-04-29,Carl Crawford grounded out to second (Grounder).
C_Vargas,1409,J Heyward,4940,2016-05-10,Jason Heyward flied out to center (Fliner (Liner)).
C_Vargas,1409,S Piscotty,1336,2016-04-23,Stephen Piscotty grounded out to pitcher (Grounder).
C_Vargas,1409,C Seager,1362,2016-05-21,Corey Seager grounded out to pitcher (Grounder).
C_Vargas,1409,K Wong,1253,2016-04-23,Kolten Wong grounded out to second (Grounder).
C_Vargas,1409,J Villar,1007,2016-05-15,Jonathan Villar struck out swinging.
C_Vargas,1409,J Pederson,1189,2016-05-21,Joc Pederson grounded out to first (Grounder).
C_Vargas,1409,M Reynolds,7619,2016-05-04,Mark Reynolds flied out to left (Fly).
C_Vargas,1409,J Lester,4930,2016-05-10,Jon Lester flied out to left (Fliner (Fly)).
C_Vargas,1409,J Turner,5235,2016-05-21,Justin Turner struck out swinging.
C_Vargas,1409,J Baez,1297,2016-05-10,Javier Baez flied out to right (Fly).
C_Vargas,1409,A Rizzo,3473,2016-05-10,Anthony Rizzo grounded out to pitcher (Liner). Kris Bryant advanced to 3B.
C_Vargas,1409,A Russell,1410,2016-05-10,Addison Russell was intentionally walked.
C_Vargas,1409,D Ross,1551,2016-05-10,David Ross hit a sacrifice fly to right (Fliner (Fly)). Ben Zobrist scored. Javier Baez advanced to 3B.
C_Vargas,1409,D Ross,1551,2016-05-10,David Ross walked.
C_Vargas,1409,T Story,1256,2016-05-04,Trevor Story walked.
C_Vargas,1409,J Turner,5235,2016-04-29,Justin Turner was hit by a pitch.
C_Vargas,1409,C Gonzalez,7287,2016-05-04,Carlos Gonzalez singled to left (Fliner (Liner)).
C_Vargas,1409,J Gyorko,1081,2016-04-23,Jedd Gyorko singled to left (Liner).
C_Vargas,1409,Y Molina,7007,2016-04-23,Yadier Molina walked.
C_Vargas,1409,J Lucroy,7870,2016-05-15,Jonathan Lucroy reached on fielder's choice to pitcher (Grounder).
C_Vargas,1409,A Wood,1378,2016-04-29,Alex Wood singled to right (Grounder). Joc Pederson advanced to 2B.
C_Vargas,1409,C Blackmon,7859,2016-05-04,Charlie Blackmon doubled to right (Fliner (Liner)).
C_Vargas,1409,H Perez,5751,2016-05-15,Hernan Perez singled to center (Grounder).
C_Vargas,1409,A Wood,1378,2016-04-29,Alex Wood walked. Joc Pederson advanced to 2B.
C_Vargas,1409,J Baez,1297,2016-05-10,Javier Baez doubled to left (Liner). Ben Zobrist advanced to 3B.
C_Vargas,1409,N Ahmed,1214,2016-05-28,Nick Ahmed walked. Zack Greinke advanced to 2B.
C_Vargas,1409,S Piscotty,1336,2016-04-23,Stephen Piscotty singled to center (Grounder).
C_Vargas,1409,D Fowler,4062,2016-05-10,Dexter Fowler singled to center (Liner).
C_Vargas,1409,C Blackmon,7859,2016-05-04,Charlie Blackmon walked. Cristhian Adames advanced to 2B.
C_Vargas,1409,M Reynolds,7619,2016-05-04,Mark Reynolds singled to second (Grounder).
C_Vargas,1409,J Pederson,1189,2016-05-21,Joc Pederson singled to shortstop (Bunt Grounder). Trayce Thompson advanced to 2B.
C_Vargas,1409,T Wolters,1147,2016-05-04,Tony Wolters walked.
C_Vargas,1409,A Diaz,1593,2016-04-23,Aledmys Diaz singled to left (Grounder).
C_Vargas,1409,A Russell,1410,2016-05-10,Addison Russell doubled to right (Fliner (Fly)). Ben Zobrist scored. Javier Baez advanced to 3B. Addison Russell out.
C_Vargas,1409,M Bourn,6387,2016-05-28,Michael Bourn singled to center (Liner). Zack Greinke scored. Nick Ahmed scored.
C_Vargas,1409,A Gonzalez,1908,2016-05-21,Adrian Gonzalez singled to left (Grounder).
C_Vargas,1409,P Goldschmidt,9218,2016-05-28,Paul Goldschmidt doubled to right (Fliner (Liner)). Michael Bourn advanced to 3B.
C_Vargas,1409,J Lamb,1332,2016-05-28,Jake Lamb singled to right (Liner). Michael Bourn scored. Paul Goldschmidt scored.
C_Vargas,1409,K Bryant,1542,2016-05-10,Kris Bryant doubled to left (Liner). Dexter Fowler scored. Jason Heyward scored.
C_Vargas,1409,J Lucroy,7870,2016-05-15,Jonathan Lucroy homered (Fly).
C_Vargas,1409,T Thompson,9952,2016-05-21,Trayce Thompson homered (Fliner (Fly)). Adrian Gonzalez scored.
