playername,playerid,vsname,vsid,date,Play
D_Barney,2430,C Villanueva,4138,2016-07-26,Darwin Barney doubled to left (Fliner (Liner)). Kevin Pillar advanced to 3B.
D_Barney,2430,T McFarland,3237,2016-06-11,Darwin Barney singled to right (Liner). Kevin Pillar advanced to 3B.
D_Barney,2430,D Betances,6216,2016-05-31,Darwin Barney singled to right (Liner). Devon Travis scored. Kevin Pillar scored. Darwin Barney out.
D_Barney,2430,S Dyson,1171,2016-05-13,Darwin Barney advanced on a wild pitch to score.
D_Barney,2430,J Kelly,9761,2016-04-08,Darwin Barney singled to right (Liner). Michael Saunders scored. Russell Martin advanced to 3B. Ryan Goins advanced to 2B.
D_Barney,2430,S Greene,1075,2016-06-07,Darwin Barney singled to right (Fliner (Liner)). Kevin Pillar advanced to 3B.
D_Barney,2430,D Robertson,8241,2016-06-24,Darwin Barney walked.
D_Barney,2430,M Pelfrey,5203,2016-07-08,Darwin Barney doubled to left (Grounder).
D_Barney,2430,Z Britton,3240,2016-06-18,Darwin Barney walked. Devon Travis advanced to 2B.
D_Barney,2430,J Chamberlain,2692,2016-07-01,Darwin Barney doubled to left (Liner). Kevin Pillar advanced to 3B.
D_Barney,2430,R Porcello,2717,2016-05-28,Darwin Barney doubled to right (Grounder).
D_Barney,2430,H Hembree,1163,2016-05-29,Darwin Barney singled to left (Liner). Justin Smoak advanced to 2B.
D_Barney,2430,T Skaggs,1019,2016-08-23,Darwin Barney doubled to center (Fliner (Fly)).
D_Barney,2430,C Buchholz,3543,2016-05-29,Darwin Barney singled to left (Grounder).
D_Barney,2430,L Hochevar,6943,2016-07-04,Darwin Barney singled to center (Grounder). Troy Tulowitzki scored. Kevin Pillar scored. Devon Travis advanced to 2B.
D_Barney,2430,S Gray,1276,2016-04-22,Darwin Barney singled to left (Grounder). Kevin Pillar scored.
D_Barney,2430,M Tanaka,1576,2016-06-01,Darwin Barney singled to right (Fliner (Liner)).
D_Barney,2430,C Sale,1060,2016-04-26,Darwin Barney singled to left (Liner).
D_Barney,2430,S Gray,1276,2016-07-16,Darwin Barney walked.
D_Barney,2430,M Tanaka,1576,2016-06-01,Darwin Barney singled to shortstop (Grounder).
D_Barney,2430,P Corbin,9323,2016-07-20,Darwin Barney singled to center (Grounder).
D_Barney,2430,K Gausman,1410,2016-06-10,Darwin Barney singled to right (Liner).
D_Barney,2430,S Morimando,1360,2016-07-02,Darwin Barney walked.
D_Barney,2430,W Harris,3192,2016-08-01,Darwin Barney walked.
D_Barney,2430,S Morimando,1360,2016-07-02,Darwin Barney singled to center (Liner).
D_Barney,2430,D Smyly,1176,2016-09-13,Darwin Barney singled to left (Grounder).
D_Barney,2430,D Otero,7385,2016-08-20,Darwin Barney singled to center (Liner).
D_Barney,2430,S Gray,1276,2016-04-22,Darwin Barney walked.
D_Barney,2430,B Snell,1354,2016-08-10,Darwin Barney doubled to right (Liner).
D_Barney,2430,A Nola,1614,2016-06-16,Darwin Barney singled to right (Grounder).
D_Barney,2430,P Hughes,7450,2016-05-22,Darwin Barney singled to center (Liner).
D_Barney,2430,P Corbin,9323,2016-07-20,Darwin Barney hit a sacrifice fly to center (Fly). Devon Travis scored. Marcus Stroman advanced to 2B.
D_Barney,2430,R Porcello,2717,2016-04-09,Darwin Barney singled to third (Grounder). Ezequiel Carrera advanced to 3B.
D_Barney,2430,E Surkamp,2540,2016-04-24,Darwin Barney singled to center (Fliner (Liner)).
D_Barney,2430,E Rodriguez,1316,2016-06-05,Darwin Barney walked.
D_Barney,2430,J Tomlin,9388,2016-08-20,Darwin Barney singled to center (Fliner (Liner)).
D_Barney,2430,D Holland,4141,2016-05-05,Darwin Barney singled to left (Grounder). Troy Tulowitzki advanced to 2B.
D_Barney,2430,I Nova,1994,2016-05-30,Darwin Barney singled to right (Grounder).
D_Barney,2430,D Holland,4141,2016-05-05,Darwin Barney singled to right (Liner). Russell Martin advanced to 2B.
D_Barney,2430,P Dean,1135,2016-05-21,Darwin Barney walked.
D_Barney,2430,D Hudson,7146,2016-07-20,Darwin Barney tripled to center (Fly). Devon Travis scored. Marcus Stroman scored.
D_Barney,2430,B Duensing,4064,2016-06-12,Darwin Barney was intentionally walked.
D_Barney,2430,D Guerra,8410,2016-09-15,Darwin Barney singled to center (Liner). Kevin Pillar advanced to 3B.
D_Barney,2430,C Sabathia,404&,2016-08-17,Darwin Barney singled to left (Fliner (Liner)).
D_Barney,2430,M Tonkin,1031,2016-05-20,Darwin Barney homered (Fliner (Fly)).
D_Barney,2430,M Tonkin,1031,2016-08-26,Darwin Barney doubled to center (Fliner (Liner)).
D_Barney,2430,M Fulmer,1321,2016-06-06,Darwin Barney singled to second (Grounder).
D_Barney,2430,J Chamberlain,2692,2016-07-03,Darwin Barney reached on error to second (Grounder). Error by Jason Kipnis.
D_Barney,2430,A Achter,1138,2016-08-23,Darwin Barney singled to left (Liner).
D_Barney,2430,Z Britton,3240,2016-08-30,Darwin Barney advanced on defensive indifference to 2B.
D_Barney,2430,K Ryan,1175,2016-07-10,Darwin Barney singled to left (Grounder).
D_Barney,2430,N Ramirez,1280,2016-04-08,Darwin Barney advanced on a stolen base to 2B.
D_Barney,2430,J Ramirez,8302,2016-08-24,Darwin Barney walked.
D_Barney,2430,T Gorzelanny,6244,2016-07-03,Darwin Barney singled to right (Fliner (Liner)). Junior Lake advanced to 2B.
D_Barney,2430,T McFarland,3237,2016-06-17,Darwin Barney singled to left (Liner).
D_Barney,2430,C Ramos,3357,2016-05-05,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,D Eveland,5508,2016-05-17,Darwin Barney struck out swinging.
D_Barney,2430,C Gimenez,7324,2016-07-03,Darwin Barney flied out to center (Fly).
D_Barney,2430,A Wimmers,1139,2016-08-26,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,A Sanchez,3284,2016-06-06,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,B Oberholtzer,3855,2016-06-14,Darwin Barney flied out to shortstop (Fly).
D_Barney,2430,A Achter,1138,2016-08-23,Darwin Barney flied out to first (Fly).
D_Barney,2430,C Young,3196,2016-08-07,Darwin Barney lined out to third (Liner).
D_Barney,2430,M Lowe,7416,2016-06-08,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,E Ramirez,1031,2016-08-09,Darwin Barney grounded out to third (Grounder).
D_Barney,2430,B Oberholtzer,3855,2016-06-14,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,V Worley,6435,2016-06-12,Darwin Barney flied out to left (Fly).
D_Barney,2430,T McFarland,3237,2016-06-12,Darwin Barney flied out to right (Fly).
D_Barney,2430,A Faulkner,1298,2016-05-13,Darwin Barney flied out to shortstop (Fly).
D_Barney,2430,F Rodriguez,7558,2016-04-24,Darwin Barney flied out to center (Fliner (Fly)).
D_Barney,2430,C Murray,1226,2016-06-16,Darwin Barney flied out to right (Fly).
D_Barney,2430,A Sanchez,3284,2016-06-08,Darwin Barney grounded out to shortstop (Grounder).
D_Barney,2430,J Benoit,1437,2016-07-24,Darwin Barney flied out to third (Fly).
D_Barney,2430,M Purke,1283,2016-06-25,Darwin Barney reached on fielder's choice to third (Grounder). Michael Saunders advanced to 3B. Troy Tulowitzki out at second.
D_Barney,2430,E Surkamp,2540,2016-04-24,Darwin Barney struck out swinging.
D_Barney,2430,L Ondrusek,3677,2016-07-31,Darwin Barney flied out to left (Fliner (Fly)).
D_Barney,2430,M Moore,1890,2016-04-06,Darwin Barney grounded out to third (Grounder).
D_Barney,2430,J Chamberlain,2692,2016-07-03,Darwin Barney was caught stealing.
