playername,playerid,vsname,vsid,date,Play
D_Butera,3411,T Kahnle,1138,2016-05-28,Drew Butera doubled to left (Fliner (Fly)). Eric Hosmer scored.
D_Butera,3411,C Carrasco,6632,2016-06-02,Drew Butera homered (Fly). Jarrod Dyson scored.
D_Butera,3411,C Kluber,2429,2016-06-15,Drew Butera advanced on a wild pitch to score.
D_Butera,3411,D Salazar,5867,2016-06-03,Drew Butera homered (Fliner (Fly)).
D_Butera,3411,L Harrell,7541,2016-07-31,Drew Butera homered (Fliner (Fly)).
D_Butera,3411,M Wright,1258,2016-04-24,Drew Butera doubled to right (Fliner (Fly)).
D_Butera,3411,M Wright,1258,2016-04-24,Drew Butera doubled to right (Fliner (Fly)). Jarrod Dyson scored.
D_Butera,3411,T Bauer,1270,2016-10-01,Drew Butera walked. Cheslor Cuthbert advanced to 2B.
D_Butera,3411,S Oh,1871,2016-06-28,Drew Butera singled to center (Grounder). Christian Colon advanced to 2B.
D_Butera,3411,S Greene,1075,2016-08-17,Drew Butera singled to right (Fliner (Fly)). Jarrod Dyson scored. Alex Gordon advanced to 3B.
D_Butera,3411,S Strasburg,1013,2016-05-04,Drew Butera doubled to left (Fliner (Liner)). Omar Infante scored.
D_Butera,3411,A Griffin,1113,2016-07-24,Drew Butera singled to left (Grounder).
D_Butera,3411,S Gray,1276,2016-04-16,Drew Butera singled to shortstop (Grounder). Reymond Fuentes advanced to 3B.
D_Butera,3411,M Andriese,1202,2016-05-30,Drew Butera walked.
D_Butera,3411,S Gray,1276,2016-04-16,Drew Butera walked. Reymond Fuentes advanced to 2B.
D_Butera,3411,V Velasquez,1118,2016-07-03,Drew Butera walked.
D_Butera,3411,C Kluber,2429,2016-06-15,Drew Butera singled to right (Grounder). Christian Colon advanced to 3B.
D_Butera,3411,M Albers,4300,2016-05-29,Drew Butera walked. Brett Eibner advanced to 3B. Cheslor Cuthbert advanced to 2B.
D_Butera,3411,M Fulmer,1321,2016-09-23,Drew Butera singled to center (Fliner (Liner)).
D_Butera,3411,S Wright,8185,2016-08-26,Drew Butera singled to center (Grounder).
D_Butera,3411,D Rollins,1192,2016-07-10,Drew Butera singled to right (Liner).
D_Butera,3411,D Eveland,5508,2016-05-31,Drew Butera walked.
D_Butera,3411,C Devenski,1276,2016-06-25,Drew Butera doubled to left (Fliner (Fly)).
D_Butera,3411,Y Petit,4020,2016-05-04,Drew Butera flied out to right (Fliner (Fly)).
D_Butera,3411,V Worley,6435,2016-06-07,Drew Butera reached on fielder's choice to shortstop (Grounder). Jarrod Dyson out at second.
D_Butera,3411,Z Neal,1129,2016-09-12,Drew Butera flied out to right (Fly).
D_Butera,3411,A Adams,7411,2016-06-05,Drew Butera struck out swinging.
D_Butera,3411,Z McAllister,2895,2016-06-15,Drew Butera struck out swinging.
D_Butera,3411,M Lowe,7416,2016-09-23,Drew Butera struck out swinging.
D_Butera,3411,K Yates,9073,2016-08-29,Drew Butera struck out looking.
D_Butera,3411,T Sipp,8280,2016-04-11,Drew Butera grounded out to third (Grounder).
D_Butera,3411,B Smith,9780,2016-09-19,Drew Butera struck out swinging.
D_Butera,3411,M Fulmer,1321,2016-09-23,Drew Butera struck out swinging.
D_Butera,3411,D Jennings,8073,2016-09-09,Drew Butera grounded out to shortstop (Grounder).
D_Butera,3411,V Velasquez,1118,2016-07-03,Drew Butera flied out to right (Fly).
D_Butera,3411,A Adams,7411,2016-06-02,Drew Butera struck out looking.
D_Butera,3411,D Salazar,5867,2016-06-03,Drew Butera flied out to right (Fly).
D_Butera,3411,R Merritt,1368,2016-09-30,Drew Butera flied out to center (Fly).
D_Butera,3411,C Hamels,4972,2016-07-28,Drew Butera struck out swinging.
D_Butera,3411,E Santana,3200,2016-08-21,Drew Butera struck out looking.
D_Butera,3411,C Allen,1218,2016-10-01,Drew Butera struck out looking.
D_Butera,3411,E Ramos,1608,2016-07-03,Drew Butera struck out swinging.
D_Butera,3411,M Wright,1258,2016-06-06,Drew Butera flied out to right (Fly).
D_Butera,3411,S Wright,8185,2016-08-26,Drew Butera grounded out to shortstop (Grounder).
D_Butera,3411,S Wright,8185,2016-08-26,Drew Butera grounded into a double play to pitcher (Grounder). Alcides Escobar out at second.
D_Butera,3411,M Montgomery,4869,2016-07-10,Drew Butera grounded out to third (Grounder).
D_Butera,3411,C Fulmer,1831,2016-08-11,Drew Butera flied out to center (Fly).
D_Butera,3411,C Sale,1060,2016-05-29,Drew Butera struck out swinging.
D_Butera,3411,E Santana,3200,2016-08-21,Drew Butera struck out swinging.
D_Butera,3411,C Sale,1060,2016-05-29,Drew Butera struck out swinging.
D_Butera,3411,D Smyly,1176,2016-05-31,Drew Butera doubled to right (Fliner (Liner)). Cheslor Cuthbert out at home. Drew Butera advanced to 3B.
D_Butera,3411,M Wacha,1407,2016-06-28,Drew Butera grounded out to second (Grounder). Cheslor Cuthbert advanced to 3B.
D_Butera,3411,M Stroman,1343,2016-08-07,Drew Butera struck out swinging.
D_Butera,3411,C Rodon,1613,2016-09-19,Drew Butera grounded out to second (Grounder).
D_Butera,3411,T Duffey,1375,2016-05-25,Drew Butera grounded out to shortstop (Grounder).
D_Butera,3411,C Fulmer,1831,2016-08-11,Drew Butera struck out looking.
D_Butera,3411,K Kela,1469,2016-07-24,Drew Butera struck out swinging.
D_Butera,3411,S Wright,8185,2016-05-18,Drew Butera grounded into a double play to third (Grounder). Christian Colon out at second.
D_Butera,3411,J Manship,6865,2016-10-01,Drew Butera struck out looking.
D_Butera,3411,C Carrasco,6632,2016-06-02,Drew Butera flied out to left (Fliner (Fly)).
D_Butera,3411,A Griffin,1113,2016-07-24,Drew Butera flied out to second (Fly).
D_Butera,3411,S Cishek,6483,2016-07-10,Drew Butera struck out swinging.
