playername,playerid,vsname,vsid,date,Play
D_Dahl,1374,K Jansen,3096,2016-09-25,David Dahl homered (Fly).
D_Dahl,1374,B Colon,375&,2016-07-30,David Dahl homered (Fly). Carlos Gonzalez scored.
D_Dahl,1374,F Rodney,494&,2016-08-05,David Dahl singled to center (Fliner (Liner)). Nolan Arenado scored. David Dahl advanced to 2B.
D_Dahl,1374,K Maeda,1849,2016-08-04,David Dahl homered (Fly). Nolan Arenado scored.
D_Dahl,1374,M Scherzer,3137,2016-08-15,David Dahl doubled to center (Fliner (Fly)). DJ LeMahieu scored. Carlos Gonzalez scored. Nolan Arenado advanced to 3B.
D_Dahl,1374,S Casilla,2873,2016-09-06,David Dahl walked.
D_Dahl,1374,A Cole,1146,2016-08-27,David Dahl doubled to left (Fliner (Liner)). Nolan Arenado advanced to 3B.
D_Dahl,1374,C Anderson,6895,2016-08-23,David Dahl singled to right (Fliner (Liner)). Charlie Blackmon advanced to 3B.
D_Dahl,1374,T Wood,9884,2016-08-19,David Dahl walked. Cristhian Adames advanced to 2B.
D_Dahl,1374,M Moore,1890,2016-09-27,David Dahl doubled to center (Fliner (Fly)).
D_Dahl,1374,K Hendricks,1204,2016-08-19,David Dahl homered (Fliner (Fly)).
D_Dahl,1374,C Martinez,1168,2016-09-19,David Dahl singled to center (Grounder). DJ LeMahieu scored. Carlos Gonzalez advanced to 2B.
D_Dahl,1374,A Cashner,8782,2016-08-06,David Dahl tripled to center (Fliner (Fly)).
D_Dahl,1374,B Maurer,4878,2016-09-16,David Dahl singled to left (Liner). Carlos Gonzalez advanced to 2B.
D_Dahl,1374,N Syndergaard,1176,2016-07-31,David Dahl doubled to left (Fliner (Fly)).
D_Dahl,1374,S Gonzalez,1469,2016-08-14,David Dahl balked to 3B. Nick Hundley advanced to 2B.
D_Dahl,1374,M Melancon,4264,2016-08-27,David Dahl singled to left (Grounder).
D_Dahl,1374,L Harrell,7541,2016-08-11,David Dahl singled to right (Grounder). Nolan Arenado advanced to 3B.
D_Dahl,1374,J Eickhoff,1266,2016-08-13,David Dahl doubled to center (Fliner (Liner)).
D_Dahl,1374,M Dunn,9948,2016-08-06,David Dahl singled to right (Fliner (Liner)). Carlos Gonzalez scored. Nolan Arenado advanced to 2B.
D_Dahl,1374,A Morgan,1258,2016-08-14,David Dahl singled to left (Liner).
D_Dahl,1374,T Cahill,6249,2016-08-20,David Dahl singled to right (Grounder). Chris Rusin advanced to 3B.
D_Dahl,1374,K Hendricks,1204,2016-08-19,David Dahl singled to center (Fliner (Liner)).
D_Dahl,1374,J Gomez,9033,2016-08-14,David Dahl walked.
D_Dahl,1374,W Peralta,7738,2016-10-01,David Dahl singled to left (Liner).
D_Dahl,1374,M Montgomery,4869,2016-08-20,David Dahl walked.
D_Dahl,1374,J Nelson,1054,2016-08-22,David Dahl advanced on a wild pitch to score.
D_Dahl,1374,S Matz,1336,2016-07-29,David Dahl singled to left (Liner).
D_Dahl,1374,R Stripling,1327,2016-08-31,David Dahl doubled to right (Fliner (Fly)).
D_Dahl,1374,B Shipley,1515,2016-09-03,David Dahl singled to center (Grounder).
D_Dahl,1374,J deGrom,1095,2016-07-28,David Dahl singled to left (Fliner (Liner)). Trevor Story advanced to 2B.
D_Dahl,1374,J Eickhoff,1266,2016-08-13,David Dahl doubled to right (Fliner (Liner)).
D_Dahl,1374,S Matz,1336,2016-07-29,David Dahl singled to second (Grounder).
D_Dahl,1374,Y Gallardo,8173,2016-07-25,David Dahl singled to center (Grounder).
D_Dahl,1374,R Stripling,1327,2016-08-31,David Dahl advanced on a stolen base to 3B.
D_Dahl,1374,E Jackson,1841,2016-09-11,David Dahl walked. DJ LeMahieu advanced to 2B.
D_Dahl,1374,E Jackson,1841,2016-09-17,David Dahl doubled to left (Fliner (Fly)).
D_Dahl,1374,C Richard,3551,2016-09-08,David Dahl singled to center (Grounder). Nick Hundley advanced to 3B.
D_Dahl,1374,J deGrom,1095,2016-07-28,David Dahl singled to center (Fliner (Liner)).
D_Dahl,1374,B McCarthy,4662,2016-08-02,David Dahl walked.
D_Dahl,1374,B Stewart,1672,2016-08-03,David Dahl singled to right (Grounder). Nolan Arenado advanced to 3B.
D_Dahl,1374,T Cahill,6249,2016-08-20,David Dahl advanced on a stolen base to 2B.
D_Dahl,1374,M Wacha,1407,2016-09-20,David Dahl singled to left (Fliner (Liner)).
D_Dahl,1374,J Cueto,6893,2016-09-29,David Dahl walked.
D_Dahl,1374,H Strickland,7836,2016-09-28,David Dahl walked.
D_Dahl,1374,J Howell,8245,2016-08-31,David Dahl singled to right (Grounder).
